distribution,n,rep,method,width,sqrt_n_width
"Beta(2,2)",10,0,Gaffke,0.4770730936312877,1.5086375862576389
"Beta(2,2)",50,0,Gaffke,0.170524995272862,1.2057938051924475
"Beta(2,2)",100,0,Gaffke,0.1234726910479513,1.2347269104795138
"Beta(2,2)",500,0,Gaffke,0.0554290666979289,1.2394316106593897
"Beta(2,2)",10,1,Gaffke,0.4544671551901709,1.4371513321381535
"Beta(2,2)",50,1,Gaffke,0.192448063160204,1.3608133048679731
"Beta(2,2)",100,1,Gaffke,0.1369913348995241,1.3699133489952415
"Beta(2,2)",500,1,Gaffke,0.0532025352456992,1.189644853847121
"Beta(2,2)",10,2,Gaffke,0.4469472216896543,1.413371214423518
"Beta(2,2)",50,2,Gaffke,0.1787119012027294,1.263683972191903
"Beta(2,2)",100,2,Gaffke,0.1242436999580781,1.242436999580781
"Beta(2,2)",500,2,Gaffke,0.0528344662996021,1.1814145820083215
"Beta(2,2)",10,3,Gaffke,0.4550157107888876,1.4388860172533358
"Beta(2,2)",50,3,Gaffke,0.170751072329753,1.20739241139243
"Beta(2,2)",100,3,Gaffke,0.1188365914305873,1.1883659143058738
"Beta(2,2)",500,3,Gaffke,0.0532895670551049,1.1915909442674797
"Beta(2,2)",10,4,Gaffke,0.4491164381399887,1.4202308791444802
"Beta(2,2)",50,4,Gaffke,0.1829606230540796,1.2937269725165552
"Beta(2,2)",100,4,Gaffke,0.1228640854414616,1.228640854414616
"Beta(2,2)",500,4,Gaffke,0.05263700154088,1.1769991357716891
"Beta(2,2)",10,5,Gaffke,0.5223287737060266,1.6517486123537128
"Beta(2,2)",50,5,Gaffke,0.2063388696561212,1.4590361395621043
"Beta(2,2)",100,5,Gaffke,0.1266951196607467,1.2669511966074676
"Beta(2,2)",500,5,Gaffke,0.0544229567665506,1.2169343086653948
"Beta(2,2)",10,6,Gaffke,0.4747253909820403,1.5012134986172057
"Beta(2,2)",50,6,Gaffke,0.1772785935793235,1.2535489567915366
"Beta(2,2)",100,6,Gaffke,0.1248296662965814,1.248296662965815
"Beta(2,2)",500,6,Gaffke,0.053149281345333,1.1884540604342626
"Beta(2,2)",10,7,Gaffke,0.4337540426370508,1.3716507190388687
"Beta(2,2)",50,7,Gaffke,0.184781626017639,1.3066034079574915
"Beta(2,2)",100,7,Gaffke,0.1268309018839322,1.268309018839322
"Beta(2,2)",500,7,Gaffke,0.0501342836112975,1.121036661581149
"Beta(2,2)",10,8,Gaffke,0.4732008034961804,1.4963923296696984
"Beta(2,2)",50,8,Gaffke,0.1700187581203601,1.2022141679582206
"Beta(2,2)",100,8,Gaffke,0.1209394316070478,1.2093943160704783
"Beta(2,2)",500,8,Gaffke,0.0547951702621659,1.2252572554487795
"Beta(2,2)",10,9,Gaffke,0.4559241868504247,1.4417588708075322
"Beta(2,2)",50,9,Gaffke,0.1865347864767436,1.3190001244489011
"Beta(2,2)",100,9,Gaffke,0.1234473016304318,1.2344730163043187
"Beta(2,2)",500,9,Gaffke,0.0533691671449348,1.193370856386228
"Beta(2,2)",10,10,Gaffke,0.4671346178366721,1.4772093662762016
"Beta(2,2)",50,10,Gaffke,0.1874170923336617,1.3252389689939752
"Beta(2,2)",100,10,Gaffke,0.1227414655274337,1.227414655274337
"Beta(2,2)",500,10,Gaffke,0.0533813804631549,1.1936439544839377
"Beta(2,2)",10,11,Gaffke,0.4528503763826013,1.4320386286335425
"Beta(2,2)",50,11,Gaffke,0.1760840113416807,1.245101984782314
"Beta(2,2)",100,11,Gaffke,0.1229427288782374,1.2294272887823745
"Beta(2,2)",500,11,Gaffke,0.0546454440933633,1.2219092765342483
"Beta(2,2)",10,12,Gaffke,0.5321437723215123,1.6827863632100468
"Beta(2,2)",50,12,Gaffke,0.2011305119043751,1.422207488711053
"Beta(2,2)",100,12,Gaffke,0.132461614433726,1.3246161443372602
"Beta(2,2)",500,12,Gaffke,0.0539545865349688,1.2064612319008512
"Beta(2,2)",10,13,Gaffke,0.4675473235030808,1.478514456185311
"Beta(2,2)",50,13,Gaffke,0.174494317887513,1.2338611545678158
"Beta(2,2)",100,13,Gaffke,0.1181340073049614,1.1813400730496149
"Beta(2,2)",500,13,Gaffke,0.0536469183590085,1.1995815623412456
"Beta(2,2)",10,14,Gaffke,0.4576732994436169,1.447290050486103
"Beta(2,2)",50,14,Gaffke,0.1956975439122628,1.383790603619132
"Beta(2,2)",100,14,Gaffke,0.1294259703075121,1.294259703075122
"Beta(2,2)",500,14,Gaffke,0.0540077334428127,1.2076496328881816
"Beta(2,2)",10,15,Gaffke,0.4739673811213554,1.4988164609685746
"Beta(2,2)",50,15,Gaffke,0.1896525891002731,1.3410463182238903
"Beta(2,2)",100,15,Gaffke,0.1231636263879865,1.231636263879865
"Beta(2,2)",500,15,Gaffke,0.0524773465613708,1.1734291419004013
"Beta(2,2)",10,16,Gaffke,0.4468248133174995,1.4129841251628354
"Beta(2,2)",50,16,Gaffke,0.1739578813438652,1.230067975390919
"Beta(2,2)",100,16,Gaffke,0.1282361525600241,1.282361525600242
"Beta(2,2)",500,16,Gaffke,0.0531431274431079,1.1883164549972398
"Beta(2,2)",10,17,Gaffke,0.4953794582635473,1.5665273941731297
"Beta(2,2)",50,17,Gaffke,0.1870202934077078,1.3224331768808797
"Beta(2,2)",100,17,Gaffke,0.1247867193966619,1.2478671939666195
"Beta(2,2)",500,17,Gaffke,0.0531447539304472,1.188352824359791
"Beta(2,2)",10,18,Gaffke,0.5068750558972024,1.6028796657603217
