distribution,n,rep,method,lower,upper,width,sqrt_n_width,backend
"Beta(2,2)",10,0,Gaffke,0.29462550009802024,0.7510931665504135,0.45646766645239323,1.4434775042115944,bspline-exact
"Beta(2,2)",10,0,Randomized Gaffke,0.29462550009802024,0.7510931665504135,0.45646766645239323,1.4434775042115944,bspline-exact+product-orthant
"Beta(2,2)",50,0,Gaffke,0.4159325694225557,0.5802486147356385,0.1643160453130828,1.1618898989863689,bspline-exact
"Beta(2,2)",50,0,Randomized Gaffke,0.4159325694225557,0.5802486147356385,0.1643160453130828,1.1618898989863689,bspline-exact+product-orthant
"Beta(2,2)",100,0,Gaffke,0.4583864727058987,0.5763119229850577,0.11792545027915902,1.1792545027915902,bspline-exact
"Beta(2,2)",100,0,Randomized Gaffke,0.4583864727058987,0.5763119229850577,0.11792545027915902,1.1792545027915902,bspline-exact+product-orthant
"Beta(2,2)",500,0,Gaffke,0.49428387856183525,0.5466693325900133,0.05238545402817801,1.1713743623919624,bspline-exact
"Beta(2,2)",500,0,Randomized Gaffke,0.49428387856183525,0.5466693325900133,0.05238545402817801,1.1713743623919624,bspline-exact+product-orthant
"Beta(2,2)",1000,0,Gaffke,0.48601660419005194,0.5227832896733637,0.0367666854833118,1.1626646814231396,bspline-exact
"Beta(2,2)",1000,0,Randomized Gaffke,0.48601660419005194,0.5227832896733637,0.0367666854833118,1.1626646814231396,bspline-exact+product-orthant
"Beta(2,2)",3000,0,Gaffke,0.4887912491220966,0.5097924065636186,0.021001157441521978,1.150280766443907,bspline-exact
"Beta(2,2)",3000,0,Randomized Gaffke,0.4887912491220966,0.5097924065636186,0.021001157441521978,1.150280766443907,bspline-exact+product-orthant
"Beta(2,2)",10000,0,Gaffke,0.49522259779539024,0.5068027171490654,0.0115801193536752,1.15801193536752,cornish-fisher-moments
"Beta(2,2)",10000,0,Randomized Gaffke,0.49522259779539024,0.5068027171490654,0.0115801193536752,1.15801193536752,cornish-fisher-moments+product-orthant
"Beta(2,2)",30000,0,Gaffke,0.4967347077030218,0.5034226892119673,0.006687981508945506,1.1583923773574782,cornish-fisher-moments
"Beta(2,2)",30000,0,Randomized Gaffke,0.4967347077030218,0.5034226892119673,0.006687981508945506,1.1583923773574782,cornish-fisher-moments+product-orthant
"Beta(2,2)",100000,0,Gaffke,0.49835890465025895,0.5020135307976705,0.003654626147411577,1.1556942622226862,cornish-fisher-moments
"Beta(2,2)",100000,0,Randomized Gaffke,0.49835890465025895,0.5020135307976705,0.003654626147411577,1.1556942622226862,cornish-fisher-moments+product-orthant
"Beta(2,2)",300000,0,Gaffke,0.4989513993238114,0.5010585547929244,0.002107155469112998,1.1541365826035694,cornish-fisher-moments
"Beta(2,2)",300000,0,Randomized Gaffke,0.4989513993238114,0.5010585547929244,0.002107155469112998,1.1541365826035694,cornish-fisher-moments+product-orthant
"Beta(2,2)",1000000,0,Gaffke,0.49947158861509483,0.5006245410432668,0.0011529524281719827,1.1529524281719827,cornish-fisher-moments
"Beta(2,2)",1000000,0,Randomized Gaffke,0.49947158861509483,0.5006245410432668,0.0011529524281719827,1.1529524281719827,cornish-fisher-moments+product-orthant
"Beta(2,2)",10,1,Gaffke,0.3255729514480639,0.8065018038877786,0.48092885243971467,1.5208305662005248,bspline-exact
"Beta(2,2)",10,1,Randomized Gaffke,0.3255729514480639,0.8065018038877786,0.48092885243971467,1.5208305662005248,bspline-exact+product-orthant
"Beta(2,2)",50,1,Gaffke,0.44624422998261687,0.627729180453754,0.18148495047113716,1.283292391614458,bspline-exact
"Beta(2,2)",50,1,Randomized Gaffke,0.44624422998261687,0.627729180453754,0.18148495047113716,1.283292391614458,bspline-exact+product-orthant
"Beta(2,2)",100,1,Gaffke,0.4657111090602143,0.593655809442174,0.1279447003819597,1.279447003819597,bspline-exact
"Beta(2,2)",100,1,Randomized Gaffke,0.4657111090602143,0.593655809442174,0.1279447003819597,1.279447003819597,bspline-exact+product-orthant
"Beta(2,2)",500,1,Gaffke,0.47276344064133574,0.5269561404230442,0.05419269978170843,1.2117856059613807,bspline-exact
