distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
"Beta(2,2)",0.5,0.05,1000,0,Square-root feedback,0.4761098907179523,0.5160383208431829,0.03992843012523062,1.2626478259061091,2.82336637036838,True,False,adaptive-topology-multiresolution,0.0006531740073114,31,0.0399284301252306,0.03992843012523062,0.03992843012523062,1.0,334.0,0.0
"Beta(2,2)",0.5,0.05,1000,0,Squared-hinge feedback,0.47566130340250495,0.5162825115282574,0.040621208125752484,1.2845553898511732,2.872353172570967,True,False,adaptive-topology-multiresolution,0.0006531740073114,31,0.0406212081257524,0.040621208125752484,0.040621208125752484,1.0,334.0,0.0
"Beta(2,2)",0.5,0.05,1000,0,Target-capped feedback,0.4764135838122468,0.5159053317730982,0.0394917479608513,1.2488387233760023,2.792488278402797,True,False,local-batched-bisection,0.0006531740073114,31,,,,,,
"Beta(2,2)",0.5,0.05,1000,0,Regularized Efficient betting,0.4765071354583511,0.5168926614535219,0.0403855259951707,1.2771024664867785,2.855687929297084,True,False,local-batched-bisection,0.0022503319778479,31,,,,,,
"Beta(2,2)",0.5,0.05,1000,0,Gaffke,0.477905380551633,0.516302993558057,0.0383976130064239,1.2142391381400517,2.7151212538219127,True,False,bspline-exact,0.0167806659592315,0,0.0383976130064239,0.0383976130064239,0.0383976130064239,1.0,,
"Beta(2,2)",0.5,0.05,3000,0,Square-root feedback,0.48831814225546616,0.5105638431336723,0.022245700878206154,1.2184472178505994,2.7245308061094353,True,False,adaptive-topology-multiresolution,0.0011819305073004,31,0.0222457008782061,0.022245700878206154,0.022245700878206154,1.0,130.0,0.0
"Beta(2,2)",0.5,0.05,3000,0,Squared-hinge feedback,0.4881225060423682,0.5104732514010348,0.022350745358666657,1.2242007409995623,2.7373960749806354,True,False,adaptive-topology-multiresolution,0.0011819305073004,31,0.0223507453586666,0.022350745358666657,0.022350745358666657,1.0,129.0,0.0
"Beta(2,2)",0.5,0.05,3000,0,Target-capped feedback,0.4885920616546448,0.5105364774544414,0.0219444157997966,1.2019451544821376,2.687631070648546,True,False,local-batched-bisection,0.0011819305073004,31,,,,,,
"Beta(2,2)",0.5,0.05,3000,0,Regularized Efficient betting,0.4895864966529057,0.512988316773805,0.0234018201208992,1.2817704766894795,2.866125917429986,True,False,local-batched-bisection,0.0050933639868162,31,,,,,,
"Beta(2,2)",0.5,0.05,3000,0,Gaffke,0.4887955241432669,0.5105649944933164,0.0217694703500495,1.1923629975661998,2.66620471641344,True,False,bspline-exact,0.1468728170148097,0,0.0217694703500495,0.0217694703500495,0.0217694703500495,1.0,,
"Beta(2,2)",0.5,0.05,10000,0,Square-root feedback,0.4921917866424774,0.5041329597228836,0.011941173080406209,1.1941173080406209,2.6701274738878844,True,False,adaptive-topology-multiresolution,0.0034990990097867,31,0.0119411730804062,0.011941173080406209,0.011941173080406209,1.0,59.0,0.0
"Beta(2,2)",0.5,0.05,10000,0,Squared-hinge feedback,0.4921960759029198,0.5041868578887174,0.011990781985797616,1.1990781985797616,2.681220362362339,True,False,adaptive-topology-multiresolution,0.0034990990097867,31,0.0119907819857976,0.011990781985797616,0.011990781985797616,1.0,59.0,0.0
"Beta(2,2)",0.5,0.05,10000,0,Target-capped feedback,0.4917939526169929,0.5035781782319083,0.0117842256149154,1.1784225614915431,2.635032953714517,True,False,local-batched-bisection,0.0034990990097867,31,,,,,,
"Beta(2,2)",0.5,0.05,10000,0,Regularized Efficient betting,0.492196659836661,0.5033071683677267,0.0111105085310656,1.1110508531065657,2.484385234005414,True,False,local-batched-bisection,0.0151151589816436,31,,,,,,
"Beta(2,2)",0.5,0.05,10000,0,Gaffke,0.4919947302153319,0.5037289854160251,0.0117342552006931,1.17342552006931,2.623859229408021,True,False,cornish-fisher-moments,0.0002439209492877,0,0.0117342552006931,0.0117342552006931,0.0117342552006931,1.0,,
"Beta(2,2)",0.5,0.05,30000,0,Square-root feedback,0.496143127776396,0.5030929125815873,0.006949784805191261,1.2037380384261436,2.691640081023111,True,False,adaptive-topology-multiresolution,0.0093180834956001,31,0.0069497848051912,0.006949784805191261,0.006949784805191261,1.0,36.0,0.0
"Beta(2,2)",0.5,0.05,30000,0,Squared-hinge feedback,0.4961247685073471,0.5031504861178857,0.0070257176105386066,1.2168899861084277,2.7210487300772193,True,False,adaptive-topology-multiresolution,0.0093180834956001,31,0.0070257176105386,0.0070257176105386066,0.0070257176105386066,1.0,36.0,0.0
"Beta(2,2)",0.5,0.05,30000,0,Target-capped feedback,0.4964821671460699,0.5032397282621655,0.0067575611160954,1.1704439188329236,2.617192166361664,True,False,local-batched-bisection,0.0093180834956001,31,,,,,,
"Beta(2,2)",0.5,0.05,30000,0,Regularized Efficient betting,0.4966100876306953,0.5032035487311604,0.0065934611004649,1.1420209623734368,2.553636503596734,True,False,local-batched-bisection,0.0432255420018918,31,,,,,,
"Beta(2,2)",0.5,0.05,30000,0,Gaffke,0.4964811004475961,0.5032260476449991,0.0067449471974029,1.1682591240271274,2.612306816659015,True,False,cornish-fisher-moments,0.0002193240216001,0,0.0067449471974029,0.0067449471974029,0.0067449471974029,1.0,,
"Beta(2,2)",0.5,0.05,100000,0,Square-root feedback,0.49834879899751505,0.5021403883483453,0.003791589350830238,1.199005830066279,2.681058541446761,True,False,adaptive-topology-multiresolution,0.0293993079976644,31,0.0037915893508302,0.003791589350830238,0.003791589350830238,1.0,36.0,0.0
"Beta(2,2)",0.5,0.05,100000,0,Squared-hinge feedback,0.49833065307491187,0.5021616277631877,0.0038309746882758677,1.2114605673405299,2.7089081806338866,True,False,adaptive-topology-multiresolution,0.0293993079976644,31,0.0038309746882758,0.0038309746882758677,0.0038309746882758677,1.0,36.0,0.0
"Beta(2,2)",0.5,0.05,100000,0,Target-capped feedback,0.498388550983501,0.5020617016858705,0.0036731507023695,1.1615522408534893,2.5973097699656105,True,False,local-batched-bisection,0.0293993079976644,31,,,,,,
"Beta(2,2)",0.5,0.05,100000,0,Regularized Efficient betting,0.4985410372855947,0.5019196057947849,0.0033785685091901,1.0683971719960432,2.389008703551688,True,False,local-batched-bisection,0.1358790849917568,31,,,,,,
"Beta(2,2)",0.5,0.05,100000,0,Gaffke,0.4983991411678874,0.5020557350700746,0.0036565939021871,1.15631652091945,2.585602344281948,True,False,cornish-fisher-moments,0.000266854010988,0,0.0036565939021871,0.0036565939021871,0.0036565939021871,1.0,,
"Beta(2,2)",0.5,0.05,300000,0,Square-root feedback,0.49906460864334834,0.5012453764050995,0.0021807677617511345,1.1944556957911483,2.670884131900817,True,False,adaptive-topology-multiresolution,0.0848836377554107,31,0.0021807677617511,0.0021807677617511345,0.0021807677617511345,1.0,37.0,0.0
"Beta(2,2)",0.5,0.05,300000,0,Squared-hinge feedback,0.4990502850701314,0.5012482204414141,0.0021979353712827665,1.2038587827900638,2.6919100736287365,True,False,adaptive-topology-multiresolution,0.0848836377554107,31,0.0021979353712827,0.0021979353712827665,0.0021979353712827665,1.0,37.0,0.0
"Beta(2,2)",0.5,0.05,300000,0,Target-capped feedback,0.4990936617558157,0.5012039187033313,0.0021102569475155,1.1558353322862585,2.5845263737881314,True,False,local-batched-bisection,0.0848836377554107,31,,,,,,
"Beta(2,2)",0.5,0.05,300000,0,Regularized Efficient betting,0.4990838676899706,0.5012027855056302,0.0021189178156596,1.160579085136363,2.595133727629424,True,False,local-batched-bisection,0.4093326900037937,31,,,,,,
"Beta(2,2)",0.5,0.05,300000,0,Gaffke,0.499098232729791,0.5012037088995714,0.0021054761697804,1.1532167924783363,2.5786711407758283,True,False,cornish-fisher-moments,0.0003855579998344,0,0.0021054761697804,0.0021054761697804,0.0021054761697804,1.0,,
"Beta(2,2)",0.5,0.05,1000000,0,Square-root feedback,0.4994009113478896,0.5006041305787121,0.0012032192308225054,1.2032192308225054,2.6904799919541325,True,False,adaptive-topology-multiresolution,0.2769021102430997,31,0.0012032192308225,0.0012032192308225054,0.0012032192308225054,1.0,42.0,0.0
"Beta(2,2)",0.5,0.05,1000000,0,Squared-hinge feedback,0.4993913510000581,0.5006113391409168,0.0012199881408587188,1.2199881408587188,2.727976414703684,True,False,adaptive-topology-multiresolution,0.2769021102430997,31,0.0012199881408587,0.0012199881408587188,0.0012199881408587188,1.0,42.0,0.0
"Beta(2,2)",0.5,0.05,1000000,0,Target-capped feedback,0.4994282839021842,0.5005822011423557,0.0011539172401715,1.1539172401715536,2.580237389432545,True,False,local-batched-bisection,0.2769021102430997,31,,,,,,
