distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),1000,Capped original feedback,50,1.0,0.05630756854797087,0.053884365873236036,0.058730244219080234,1.780601661176481,1.7039732643327397,1.857213392702307,1.7806016611764794,2.9676694352941353,0.001317126461071842,31.66,0.0
Bernoulli(0.1),1000,Common-clock Efficient betting,5,1.0,0.05026111559559158,0.04773653556300148,0.05234048766070846,1.5893960302307992,1.5095617998471316,1.6551515485177717,1.5893960302307977,2.6489933837179986,0.00189913981594142,123.0,0.0
Bernoulli(0.1),1000,Common-clock STaR betting,5,1.0,0.05194510140467792,0.048833525792334735,0.05475601292051938,1.6426483372719407,1.5442516768035648,1.7315371641844957,1.6426483372719407,2.737747228786568,0.0008319346234202385,123.0,0.0
Bernoulli(0.1),1000,Efficient betting,5,1.0,0.04966993949168598,0.04817562308004294,0.051079632131930085,1.5707014003647377,1.52344696630712,1.6152797958042147,1.570701400364737,2.617835667274563,0.00264262382406736,31.0,0.0
Bernoulli(0.1),1000,Gaffke,50,1.0,0.04995782426673191,0.04759646296148147,0.0521680029177077,1.5798051162930418,1.5051323152612477,1.64969710202266,1.5798051162930407,2.63300852715507,0.000197302381275168,0.0,0.0
Bernoulli(0.1),1000,Regularized Efficient betting,50,1.0,0.051751617739457315,0.04648853509249152,0.05685404689108233,1.6365298465505962,1.4700965597693971,1.7978828237383526,1.6365298465505946,2.7275497442509935,0.0022577175742480478,31.12,0.0
Bernoulli(0.1),1000,STaR betting,5,1.0,0.051455124181685775,0.04973121687252981,0.053079991087866235,1.627153897009347,1.5726391612898978,1.6785367001909606,1.627153897009347,2.711923161682245,0.000960101094096899,31.2,0.0
Bernoulli(0.1),1000,Square-root feedback,50,1.0,0.05122477855927325,0.047810327488997106,0.05468632802389909,1.6198697288506212,1.5118953054378999,1.7293335342661613,1.6198697288506199,2.6997828814177023,0.000571824673097536,31.16,0.0
Bernoulli(0.1),1000,Squared-hinge feedback,50,1.0,0.05154987829836086,0.04799564510227115,0.05515914051349007,1.6301502852730545,1.5177555629228199,1.744285177998984,1.6301502852730527,2.716917142121757,0.000571824673097536,31.2,0.0
Bernoulli(0.1),1000,Target-capped feedback,50,1.0,0.05097021583862414,0.04822988983479469,0.0538368974099404,1.6118197488044177,1.5251630317695346,1.702472179722317,1.611819748804416,2.6863662480073627,0.000571824673097536,31.0,0.0
