distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
Bernoulli(0.1),0.1,0.09,1000,0,Capped original feedback,0.0763198178118019,0.1318395901332547,0.0555197723214527,1.7556893570976475,2.926148928496079,True,False,local-batched-bisection,0.0013809690135531,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,1,Capped original feedback,0.070237249291514,0.1250975119245451,0.054860262633031,1.734833829554041,2.891389715923402,True,False,local-batched-bisection,0.0013242510030977,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,2,Capped original feedback,0.0732380826024824,0.1297933279192812,0.0565552453167988,1.788433888306553,2.980723147177588,True,False,local-batched-bisection,0.0015781910042278,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,3,Capped original feedback,0.0865609681797926,0.1443268699653026,0.05776590178551,1.8267182073579893,3.044530345596649,True,False,local-batched-bisection,0.0011577969999052,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,4,Capped original feedback,0.0752980770870051,0.1302904135448943,0.0549923364578891,1.73901037061246,2.8983506176874334,True,False,local-batched-bisection,0.0013840040192008,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,5,Capped original feedback,0.0846836585126175,0.1459181191810258,0.0612344606684082,1.936403670041668,3.227339450069446,True,False,local-batched-bisection,0.0012890450307168,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,6,Capped original feedback,0.0802341639567583,0.1375714325123258,0.0573372685555674,1.8131636344834567,3.0219393908057626,True,False,local-batched-bisection,0.0013822909677401,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,7,Capped original feedback,0.0730552207732403,0.1285295287667747,0.0554743079935343,1.7542516488125377,2.923752748020896,True,False,local-batched-bisection,0.0014130190247669,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,8,Capped original feedback,0.066880925088677,0.1196879029400159,0.0528069778513388,1.6699032636029534,2.7831721060049226,True,False,local-batched-bisection,0.0011918210075236,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,9,Capped original feedback,0.0716247656616102,0.1293581440885816,0.0577333784269714,1.8256897284565885,3.0428162140943145,True,False,local-batched-bisection,0.0016308610211126,32,,,,,,
