distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),1000,Capped original feedback,50,1.0,0.05630756854797087,0.053884365873236036,0.058730244219080234,1.780601661176481,1.7039732643327397,1.857213392702307,1.7806016611764794,2.9676694352941353,0.001317126461071842,31.66,0.0
Bernoulli(0.1),1000,Common-clock Efficient betting,30,1.0,0.05068052360376645,0.04582072338057048,0.05477845902535297,1.6026588759782705,1.4489784991913313,1.732246972343228,1.602658875978269,2.671098126630451,0.0018040556771059333,123.0,0.0
Bernoulli(0.1),1000,Common-clock STaR betting,30,1.0,0.0518768724129887,0.046611557867068915,0.056263466047946256,1.640490747109996,1.4739868814867791,1.779207017670626,1.6404907471099945,2.7341512451833268,0.0005417526156330566,123.0,0.0
Bernoulli(0.1),1000,Efficient betting,30,1.0,0.04983216231618057,0.046265822123675394,0.05287696044367228,1.5758313365034236,1.4630537573102267,1.6721163074863195,1.5758313365034236,2.6263855608390396,0.0021360101061872632,31.0,0.0
Bernoulli(0.1),1000,Gaffke,50,1.0,0.04995782426673191,0.04759646296148147,0.0521680029177077,1.5798051162930418,1.5051323152612477,1.64969710202266,1.5798051162930407,2.63300852715507,0.000197302381275168,0.0,0.0
Bernoulli(0.1),1000,Regularized Efficient betting,50,1.0,0.051751617739457315,0.04648853509249152,0.05685404689108233,1.6365298465505962,1.4700965597693971,1.7978828237383526,1.6365298465505946,2.7275497442509935,0.0022577175742480478,31.12,0.0
Bernoulli(0.1),1000,STaR betting,30,1.0,0.051330812529680074,0.0479985014860098,0.05464920194752907,1.623222817408986,1.5178458897076772,1.7281595046470175,1.6232228174089842,2.70537136234831,0.00080623649992044,31.2,0.0
Bernoulli(0.1),1000,Square-root feedback,50,1.0,0.05122477855927325,0.047810327488997106,0.05468632802389909,1.6198697288506212,1.5118953054378999,1.7293335342661613,1.6198697288506199,2.6997828814177023,0.000571824673097536,31.16,0.0
Bernoulli(0.1),1000,Squared-hinge feedback,50,1.0,0.051549878298360864,0.04799564510227115,0.05515914051349007,1.6301502852730545,1.5177555629228199,1.744285177998984,1.6301502852730527,2.716917142121757,0.000571824673097536,31.2,0.0
Bernoulli(0.1),1000,Target-capped feedback,50,1.0,0.05097021583862414,0.04822988983479469,0.0538368974099404,1.6118197488044177,1.5251630317695346,1.702472179722317,1.611819748804416,2.6863662480073627,0.000571824673097536,31.0,0.0
Bernoulli(0.1),3000,Capped original feedback,50,1.0,0.03195305028652939,0.03111724147652578,0.0326966696157587,1.7501406423029084,1.7043615084028545,1.7908703503844858,1.7501406423029056,2.9169010705048475,0.002231725865276488,31.42,0.0
Bernoulli(0.1),3000,Common-clock Efficient betting,30,1.0,0.02834898973228199,0.02672678954003184,0.03006708378992947,1.5527381158853215,1.46388655207686,1.6468420030142341,1.5527381158853186,2.587896859808869,0.003675933554768507,123.0,0.0
Bernoulli(0.1),3000,Common-clock STaR betting,30,1.0,0.028884872451886843,0.02650947730745126,0.030244737859917232,1.5820896212558004,1.451983870896242,1.656572517170722,1.5820896212557978,2.6368160354263344,0.0009506978172187567,123.0,0.0
Bernoulli(0.1),3000,Efficient betting,30,1.0,0.028189553739386676,0.02712461229485929,0.029273643706957005,1.544005446906619,1.4856762017476404,1.6033834998669503,1.544005446906619,2.5733424115110313,0.0047847832009816635,31.0,0.0
Bernoulli(0.1),3000,Gaffke,50,1.0,0.028481413457433765,0.02777183460582935,0.029166977780246378,1.5599912620267702,1.5211260276915355,1.5975411664492922,1.559991262026768,2.5999854367112833,0.000196159260813094,0.0,0.0
