distribution,true_mean,true_variance,n,rep,method,calibration,lower,upper,width,sqrt_n_width,covered,empty,runtime_seconds,score_evaluations,topology_escalated,backend
"Beta(2,2)",0.5,0.05,1000,0,Original STaR,deterministic_markov,0.4709943485968417,0.5087115983741515,0.0377172497773097,1.192724163737775,True,False,0.0019075060263276,84,False,
"Beta(2,2)",0.5,0.05,1000,0,Squared-hinge STaR,deterministic_markov,0.4707200262875078,0.5088880468947281,0.0381680206072203,1.206978788990591,True,False,0.0024540890008211,84,False,
"Beta(2,2)",0.5,0.05,1000,0,Efficient betting,deterministic_markov,0.4723143722797729,0.5089041117690474,0.0365897394892744,1.157069157783134,True,False,0.0015803368296474,123,False,
"Beta(2,2)",0.5,0.05,1000,0,Original STaR,randomized_markov,0.4711928531824903,0.5087115983741515,0.0375187451916611,1.1864468975713989,True,False,0.0014685860369354,84,False,
"Beta(2,2)",0.5,0.05,1000,0,Squared-hinge STaR,randomized_markov,0.4709474794585636,0.5088880468947281,0.0379405674361645,1.1997860881749498,True,False,0.0023255560081452,84,False,
"Beta(2,2)",0.5,0.05,1000,0,Efficient betting,randomized_markov,0.4727164713122407,0.5088358227983436,0.0361193514861029,1.1421941830427276,True,False,0.0013896271120756,123,False,
"Beta(2,2)",0.5,0.05,1000,0,Gaffke,not_applicable,0.4717372399185732,0.5085658293277778,0.0368285894092046,1.164622255442416,True,False,0.0162936681881546,0,False,bspline-exact
"Beta(2,2)",0.5,0.05,10000,0,Original STaR,deterministic_markov,0.4945069902729266,0.5064607294351444,0.0119537391622177,1.1953739162217758,True,False,0.0056903650984168,86,False,
"Beta(2,2)",0.5,0.05,10000,0,Squared-hinge STaR,deterministic_markov,0.4944716294116273,0.506583166417393,0.0121115370057656,1.2111537005765616,True,False,0.0136867500841617,86,False,
"Beta(2,2)",0.5,0.05,10000,0,Efficient betting,deterministic_markov,0.4945491342994462,0.5061102318979295,0.0115610975984832,1.1561097598483228,True,False,0.0090215820819139,123,False,
