distribution,n,method,calibration,replications,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,coverage,empty_rate,escalation_rate
Bernoulli(0.1),1000,Efficient betting,deterministic_markov,3,1.6452056343334676,1.6037553280571426,1.6888232373831218,1.0,0.0,0.0
Bernoulli(0.1),1000,Efficient betting,randomized_markov,3,1.5688439611228615,1.5352487575712763,1.6038531065579296,1.0,0.0,0.0
Bernoulli(0.1),1000,Gaffke,not_applicable,3,1.5321144150490218,1.507181773847189,1.5531350442510785,1.0,0.0,0.0
Bernoulli(0.1),1000,Original STaR,deterministic_markov,3,1.6020177054838314,1.5656237402862079,1.6289505206758101,1.0,0.0,0.0
Bernoulli(0.1),1000,Original STaR,randomized_markov,3,1.5994315721502963,1.5633755525312731,1.6254195543560805,1.0,0.0,0.0
Bernoulli(0.1),1000,Randomized Gaffke,product_orthant_randomized,3,1.5321144150490225,1.50718177384719,1.5531350442510792,1.0,0.0,0.0
Bernoulli(0.1),1000,Squared-hinge STaR,deterministic_markov,3,1.6099873261999151,1.5660814182601237,1.6459812325466117,1.0,0.0,0.0
Bernoulli(0.1),1000,Squared-hinge STaR,randomized_markov,3,1.6079600187859278,1.5655389103155835,1.6416582026975823,1.0,0.0,0.0
Bernoulli(0.1),10000,Efficient betting,deterministic_markov,3,1.5620908427140423,1.5236041634918422,1.5995085373530866,1.0,0.0,0.0
Bernoulli(0.1),10000,Efficient betting,randomized_markov,3,1.5472038054050892,1.51429465366074,1.5778784822779761,1.0,0.0,0.0
Bernoulli(0.1),10000,Gaffke,not_applicable,3,1.5641753376554022,1.5481464014715642,1.5828668916894142,1.0,0.0,0.0
Bernoulli(0.1),10000,Original STaR,deterministic_markov,3,1.583212311143451,1.5074491586645957,1.6420215567498389,1.0,0.0,0.0
Bernoulli(0.1),10000,Original STaR,randomized_markov,3,1.583172583463347,1.5074253220565335,1.6419977201417764,1.0,0.0,0.0
Bernoulli(0.1),10000,Randomized Gaffke,product_orthant_randomized,3,1.564175337655404,1.548146401471565,1.5828668916894193,1.0,0.0,0.0
Bernoulli(0.1),10000,Squared-hinge STaR,deterministic_markov,3,1.5975575567853835,1.5125787237182402,1.6598313361508328,1.0,0.0,0.0
Bernoulli(0.1),10000,Squared-hinge STaR,randomized_markov,3,1.597537692945331,1.5125668054142087,1.6598194178468013,1.0,0.0,0.0
Bernoulli(0.1),100000,Efficient betting,deterministic_markov,3,1.551313225148691,1.5453094474152655,1.55725252850773,1.0,0.0,0.0
Bernoulli(0.1),100000,Efficient betting,randomized_markov,3,1.5428511624415933,1.5383746021797375,1.5484489617169173,1.0,0.0,0.0
Bernoulli(0.1),100000,Gaffke,not_applicable,3,1.5444863204149506,1.5386342363967775,1.5486977792764436,1.0,0.0,0.0
Bernoulli(0.1),100000,Original STaR,deterministic_markov,3,1.6009676449721422,1.5924343927494815,1.607465446284201,1.0,0.0,0.0
Bernoulli(0.1),100000,Original STaR,randomized_markov,3,1.6009676449721422,1.5924343927494815,1.607465446284201,1.0,0.0,0.0
Bernoulli(0.1),100000,Randomized Gaffke,product_orthant_randomized,3,1.5444863204149506,1.5386342363967889,1.5486977792764305,1.0,0.0,0.0
Bernoulli(0.1),100000,Squared-hinge STaR,deterministic_markov,3,1.6160751206857589,1.609156269404438,1.6216077782456262,1.0,0.0,0.0
Bernoulli(0.1),100000,Squared-hinge STaR,randomized_markov,3,1.6160751206857589,1.609156269404438,1.6216077782456262,1.0,0.0,0.0
Bernoulli(0.1),1000000,Efficient betting,deterministic_markov,3,1.5466239684140772,1.5455022700708336,1.5477808329293268,1.0,0.0,0.0
Bernoulli(0.1),1000000,Efficient betting,randomized_markov,3,1.543865320794341,1.542733855299028,1.545382839504017,1.0,0.0,0.0
Bernoulli(0.1),1000000,Gaffke,not_applicable,3,1.5465566200684548,1.5460204307706782,1.5471467760311828,1.0,0.0,0.0
Bernoulli(0.1),1000000,Original STaR,deterministic_markov,3,1.581463946534014,1.5648703817767895,1.5965044662688388,1.0,0.0,0.0
Bernoulli(0.1),1000000,Original STaR,randomized_markov,3,1.581463946534014,1.5648703817767895,1.5965044662688388,1.0,0.0,0.0
Bernoulli(0.1),1000000,Randomized Gaffke,product_orthant_randomized,3,1.5465566200685192,1.5460204307707475,1.5471467760312412,1.0,0.0,0.0
Bernoulli(0.1),1000000,Squared-hinge STaR,deterministic_markov,3,1.5909077826488465,1.5663713862585804,1.613429328155902,1.0,0.0,0.0
Bernoulli(0.1),1000000,Squared-hinge STaR,randomized_markov,3,1.5909077826488465,1.5663713862585804,1.613429328155902,1.0,0.0,0.0
Bernoulli(0.1),10000000,Efficient betting,deterministic_markov,3,1.5461840580520694,1.545324953785311,1.547355481550846,1.0,0.0,0.0
Bernoulli(0.1),10000000,Efficient betting,randomized_markov,3,1.5451281129252454,1.5442779889393814,1.5463028168686057,1.0,0.0,0.0
Bernoulli(0.1),10000000,Gaffke,not_applicable,3,1.5458793731723437,1.5454540492743052,1.5463655556410307,1.0,0.0,0.0
Bernoulli(0.1),10000000,Original STaR,deterministic_markov,3,1.5856142026811846,1.5646381790532158,1.6009075610413772,1.0,0.0,0.0
Bernoulli(0.1),10000000,Original STaR,randomized_markov,3,1.5856142026811846,1.5646381790532158,1.6009075610413772,1.0,0.0,0.0
Bernoulli(0.1),10000000,Randomized Gaffke,product_orthant_randomized,3,1.5458793731723144,1.5454540492741913,1.546365555641092,1.0,0.0,0.0
Bernoulli(0.1),10000000,Squared-hinge STaR,deterministic_markov,3,1.5922402149476007,1.5630544716465014,1.6131826752712761,1.0,0.0,0.0
Bernoulli(0.1),10000000,Squared-hinge STaR,randomized_markov,3,1.5922402149476007,1.5630544716465014,1.6131826752712761,1.0,0.0,0.0
Bernoulli(0.5),1000,Efficient betting,deterministic_markov,3,2.618001616041776,2.613303417646556,2.6219210294686786,1.0,0.0,0.0
Bernoulli(0.5),1000,Efficient betting,randomized_markov,3,2.5696911247714374,2.5673025716484723,2.571920203026977,1.0,0.0,0.0
Bernoulli(0.5),1000,Gaffke,not_applicable,3,2.6000842285252905,2.599414714398924,2.600651667200985,1.0,0.0,0.0
Bernoulli(0.5),1000,Original STaR,deterministic_markov,3,2.6470698388285574,2.6319611538607997,2.662259364053342,1.0,0.0,0.0
Bernoulli(0.5),1000,Original STaR,randomized_markov,3,2.6451530853477974,2.6291252402973124,2.6614068595498703,1.0,0.0,0.0
Bernoulli(0.5),1000,Randomized Gaffke,product_orthant_randomized,3,2.6000842285252914,2.599414714398924,2.6006516672009856,1.0,0.0,0.0
Bernoulli(0.5),1000,Squared-hinge STaR,deterministic_markov,3,2.66742745712109,2.649571233245551,2.6866889629471524,1.0,0.0,0.0
