distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,u_plus,u_minus
"Beta(2,2)",0.5,0.05,10,0,STaR,0.14203829129082468,0.7305124404163226,0.5884741491254979,1.8609186553661574,4.161140613996232,True,False,direct-two-arm,0.0077915191650390625,,
"Beta(2,2)",0.5,0.05,10,0,Probit-STaR,0.1700879630931853,0.8829475737872559,0.7128596106940706,2.2542600217341873,5.0406786475577965,True,False,randomized,0.003943920135498047,0.1721905704578348,0.9789750688627913
"Beta(2,2)",0.5,0.05,10,0,Gaffke,0.20826114065645945,0.6853342342877472,0.47707309363128775,1.5086375862576389,3.373416196283283,True,False,bspline-exact,0.0004210472106933594,,
"Beta(2,2)",0.5,0.05,50,0,STaR,0.35809330455299226,0.545466702068975,0.1873733975159827,1.3249299999751396,2.962633545373207,True,False,direct-two-arm,0.00026702880859375,,
"Beta(2,2)",0.5,0.05,50,0,Probit-STaR,0.33119476750232413,0.5685241581827369,0.2373293906804128,1.6781722152499132,3.7525071512502155,True,False,randomized,0.0003170967102050781,0.5108883732392208,0.7712667587587912
"Beta(2,2)",0.5,0.05,50,0,Gaffke,0.37559130430011817,0.5461162995729802,0.17052499527286208,1.2057938051924475,2.6962369152584515,True,False,bspline-exact,0.0003020763397216797,,
"Beta(2,2)",0.5,0.05,100,0,STaR,0.3985151007655985,0.5249137033225248,0.12639860255692636,1.2639860255692636,2.826358675782661,True,False,direct-two-arm,0.0002655982971191406,,
"Beta(2,2)",0.5,0.05,100,0,Probit-STaR,0.38762850972490426,0.5348737611053682,0.14724525138046396,1.4724525138046396,3.2925039145076216,True,False,randomized,0.0004918575286865234,0.7180609768859594,0.5039918995813965
"Beta(2,2)",0.5,0.05,100,0,Gaffke,0.40764011018036544,0.5311128012283168,0.12347269104795139,1.2347269104795138,2.7609333054804903,True,False,bspline-exact,0.0003876686096191406,,
"Beta(2,2)",0.5,0.05,500,0,STaR,0.46366302369462176,0.5203694710571378,0.056706447362516066,1.267994710650996,2.8353223681258033,True,False,direct-two-arm,0.0008003711700439453,,
"Beta(2,2)",0.5,0.05,500,0,Probit-STaR,0.4608544207314582,0.5302525714812496,0.06939815074979139,1.5517898258931155,3.46990753748957,True,False,randomized,0.002143383026123047,0.8087686552681486,0.9400802371567245
"Beta(2,2)",0.5,0.05,500,0,Gaffke,0.46324077609282827,0.5186698427907572,0.055429066697928964,1.2394316106593897,2.7714533348964485,True,False,bspline-exact,0.004230022430419922,,
"Beta(2,2)",0.5,0.05,1000,0,STaR,0.4841664170403299,0.5227665913840935,0.038600174343763616,1.2206446900588832,2.7294445033458246,True,False,direct-two-arm,0.0016739368438720703,,
"Beta(2,2)",0.5,0.05,1000,0,Probit-STaR,0.48225768921095724,0.5244283632285749,0.04217067401761765,1.333553803601554,2.9819169565064785,True,False,randomized,0.004238605499267578,0.8081617904778918,0.4864063777730898
"Beta(2,2)",0.5,0.05,1000,0,Gaffke,0.48284303965259456,0.5208590243607628,0.03801598470816825,1.2021709917194319,2.6881360580629865,True,False,bspline-exact,0.01656937599182129,,
"Beta(2,2)",0.5,0.05,5000,0,STaR,0.4932717226435379,0.5102876579923357,0.01701593534879775,1.2032083273366772,2.6904556110186286,True,False,direct-two-arm,0.007863283157348633,,
"Beta(2,2)",0.5,0.05,5000,0,Probit-STaR,0.4940380957472301,0.5098770945696707,0.015838998822440553,1.1199863474553458,2.504365606781852,True,False,randomized,0.020159244537353516,0.13112501401727694,0.29711169564710327
"Beta(2,2)",0.5,0.05,5000,0,Gaffke,0.4927449619610267,0.5095099022376919,0.016764940276665197,1.1854602955817435,2.650769805547772,True,False,bspline-exact,0.4434194564819336,,
"Beta(2,2)",0.5,0.05,10000,0,STaR,0.4938950274210452,0.5061786039560312,0.012283576534986018,1.2283576534986018,2.746691213905006,True,False,direct-two-arm,0.01486063003540039,,
"Beta(2,2)",0.5,0.05,10000,0,Probit-STaR,0.4933118468207548,0.5051855273676502,0.011873680546895415,1.1873680546895415,2.655035684597503,True,False,randomized,0.03864097595214844,0.8445358188357558,0.09055744250702868
"Beta(2,2)",0.5,0.05,10000,0,Gaffke,0.4937003260839422,0.5055075084291832,0.01180718234524103,1.180718234524103,2.6401662346694335,True,False,cornish-fisher,0.014031648635864258,,
"Beta(2,2)",0.5,0.05,50000,0,STaR,0.4972869872256609,0.5026496500334783,0.005362662807817387,1.1991278578689566,2.6813314039086933,True,False,direct-two-arm,0.09739947319030762,,
"Beta(2,2)",0.5,0.05,50000,0,Probit-STaR,0.49723859739215304,0.502535163244016,0.005296565851863,1.1843481292069749,2.6482829259315,True,False,randomized,0.18011689186096191,0.6859307399261643,0.40087086838271635
"Beta(2,2)",0.5,0.05,50000,0,Gaffke,0.4973501887137666,0.5025461635766454,0.0051959748628787605,1.1618553002777057,2.59798743143938,True,False,cornish-fisher,0.012577295303344727,,
"Beta(2,2)",0.5,0.05,100000,0,STaR,0.49809877838273575,0.5019207107117181,0.0038219323289823137,1.2086011222616078,2.7025142670594895,True,False,direct-two-arm,0.16079235076904297,,
"Beta(2,2)",0.5,0.05,100000,0,Probit-STaR,0.4982436550983502,0.5019103371462657,0.003666682047915426,1.1595066727063397,2.5927357405359754,True,False,randomized,0.35213375091552734,0.36183276865147207,0.5477837140982259
"Beta(2,2)",0.5,0.05,100000,0,Gaffke,0.49823152344503385,0.5018874606182827,0.0036559371732488577,1.1561088449943997,2.5851379667962453,True,False,cornish-fisher,0.01421809196472168,,
