distribution,n,rep,method,calibration,width_c1,width_c05,difference_c05_minus_c1,relative_change,c05_narrower,c05_wider
"Beta(2,2)",10,0,STaR betting,Deterministic,0.47355957031250007,0.60303955078125,0.12947998046874998,0.27341856988194047,False,True
"Beta(2,2)",10,0,STaR betting,Uniformly randomized,0.46512451171875013,0.5973754882812501,0.13225097656249996,0.28433456683200786,False,True
"Beta(2,2)",10,0,Efficient betting,Deterministic,0.5340059315785766,0.6121704101562501,0.0781644785776735,0.1463738021534915,False,True
"Beta(2,2)",10,0,Efficient betting,Uniformly randomized,0.5009105290058031,0.6018127441406251,0.100902215134822,0.20143760071302674,False,True
"Beta(2,2)",10,1,STaR betting,Deterministic,0.575408935546875,0.6336364746093751,0.05822753906250011,0.10119331742243465,False,True
"Beta(2,2)",10,1,STaR betting,Uniformly randomized,0.50953369140625,0.58546142578125,0.075927734375,0.14901415874080648,False,True
"Beta(2,2)",10,1,Efficient betting,Deterministic,0.6789053371176124,0.698687744140625,0.019782407023012594,0.02913868243693818,False,True
"Beta(2,2)",10,1,Efficient betting,Uniformly randomized,0.5732545803457122,0.620989990234375,0.04773540988866276,0.08327087392808097,False,True
"Beta(2,2)",10,2,STaR betting,Deterministic,0.47435302734375,0.6072326660156251,0.13287963867187508,0.28012815563962024,False,True
"Beta(2,2)",10,2,STaR betting,Uniformly randomized,0.41796875,0.5387145996093751,0.12074584960937507,0.2888872663551403,False,True
"Beta(2,2)",10,2,Efficient betting,Deterministic,0.4907363513484597,0.618212890625,0.12747653927654023,0.2597658374527514,False,True
"Beta(2,2)",10,2,Efficient betting,Uniformly randomized,0.43152144428461325,0.5458251953125001,0.11430375102788681,0.2648854478538891,False,True
"Beta(2,2)",10,3,STaR betting,Deterministic,0.6070190429687501,0.658856201171875,0.051837158203124956,0.08539626359925179,False,True
"Beta(2,2)",10,3,STaR betting,Uniformly randomized,0.5705078125,0.6271240234375,0.05661621093749991,0.09923827456350542,False,True
"Beta(2,2)",10,3,Efficient betting,Deterministic,0.7236380875110626,0.75423583984375,0.030597752332687356,0.042283225359140086,False,True
"Beta(2,2)",10,3,Efficient betting,Uniformly randomized,0.6501675336990407,0.68109130859375,0.03092377489470932,0.04756277927132513,False,True
