distribution,n,method,calibration,replications,mean_width_c1,mean_width_c05,mean_paired_difference,mean_relative_change,fraction_c05_narrower,fraction_c05_wider,relative_change_of_means
Bernoulli(0.1),10,Efficient betting,Deterministic,120,0.5371544220121376,0.6478021393425354,0.11064771733039787,0.24143281267553618,0.008333333333333333,0.975,0.20598865576852243
Bernoulli(0.1),10,Efficient betting,Uniformly randomized,120,0.4879499600494553,0.5842688000309885,0.09631883998153316,0.24224569575540736,0.05,0.9416666666666667,0.19739491314185353
Bernoulli(0.1),10,STaR betting,Deterministic,120,0.530846970968305,0.6463861095815305,0.11553913861322554,0.24762036554821207,0.0,0.9833333333333333,0.2176505564352631
Bernoulli(0.1),10,STaR betting,Uniformly randomized,120,0.496912127983873,0.583488129865113,0.08657600188123996,0.22307282151175378,0.09166666666666666,0.9,0.17422799123962962
Bernoulli(0.1),50,Efficient betting,Deterministic,120,0.25976992740733795,0.2854127982243916,0.025642870817053614,0.136070053790316,0.15833333333333333,0.8416666666666667,0.09871377750683119
Bernoulli(0.1),50,Efficient betting,Uniformly randomized,120,0.24832822081462957,0.25345603305022535,0.0051278122355957615,0.058110116664627086,0.325,0.675,0.02064933344576869
Bernoulli(0.1),50,STaR betting,Deterministic,120,0.2746867615920471,0.2826265761390156,0.007939814546968548,0.07918719223655138,0.425,0.575,0.028904977076253724
Bernoulli(0.1),50,STaR betting,Uniformly randomized,120,0.26638004676763616,0.25121977510597426,-0.015160271661661905,-0.006132012367593673,0.6583333333333333,0.3416666666666667,-0.05691218935360509
Bernoulli(0.1),100,Efficient betting,Deterministic,120,0.1874643693924715,0.19757246358965344,0.01010809419718196,0.06310183819615006,0.13333333333333333,0.8666666666666667,0.05392008214648958
Bernoulli(0.1),100,Efficient betting,Uniformly randomized,120,0.17444287127060262,0.17305811861767859,-0.0013847526529240247,0.003788489349877113,0.43333333333333335,0.5666666666666667,-0.007938144120409274
Bernoulli(0.1),100,STaR betting,Deterministic,120,0.19064239838846722,0.1892267981473076,-0.001415600241159602,0.00867191242306884,0.6,0.4,-0.007425421905756124
Bernoulli(0.1),100,STaR betting,Uniformly randomized,120,0.18433672910706797,0.1700784921530606,-0.014258236954007375,-0.058927696717346066,0.75,0.25,-0.07734886597518931
Bernoulli(0.1),500,Efficient betting,Deterministic,120,0.07405422249531582,0.0749066414617888,0.0008524189664729762,0.011246031845903458,0.075,0.8666666666666667,0.011510740883504678
Bernoulli(0.1),500,Efficient betting,Uniformly randomized,120,0.07107540536766276,0.07155620014535749,0.0004807947776947338,0.006778479152434626,0.20833333333333334,0.7916666666666666,0.006764573134794727
Bernoulli(0.1),500,STaR betting,Deterministic,120,0.07353475192018764,0.07415391521128925,0.0006191632911016142,0.008534546691121535,0.21666666666666667,0.7833333333333333,0.00842000924642572
Bernoulli(0.1),500,STaR betting,Uniformly randomized,120,0.0728954249189598,0.07274620894312367,-0.00014921597583613666,-0.0014445182272007806,0.4,0.6,-0.00204698684453819
Bernoulli(0.1),1000,Efficient betting,Deterministic,120,0.051184720627713655,0.05145397888404452,0.0002692582563308598,0.005127253287005146,0.06666666666666667,0.875,0.00526052019096257
Bernoulli(0.1),1000,Efficient betting,Uniformly randomized,120,0.04972070954590648,0.04986155456153722,0.00014084501563074465,0.0028996453027376476,0.26666666666666666,0.7333333333333333,0.002832723364510681
Bernoulli(0.1),1000,STaR betting,Deterministic,120,0.05100195267988596,0.051267750696133006,0.00026579801624703923,0.005106828677225168,0.09166666666666666,0.8916666666666667,0.005211526270676892
Bernoulli(0.1),1000,STaR betting,Uniformly randomized,120,0.050840885047702206,0.05080789822801803,-3.2986819684171415e-05,-0.0004984015830186891,0.31666666666666665,0.6666666666666666,-0.0006488246546696441
Bernoulli(0.1),5000,Efficient betting,Deterministic,60,0.022372021576731422,0.02239797384606019,2.5952269328768467e-05,0.001128526603748159,0.1,0.6666666666666666,0.001160032375248532
Bernoulli(0.1),5000,Efficient betting,Uniformly randomized,60,0.021956202486514084,0.021987693468245327,3.149098173124328e-05,0.0014065934363744444,0.26666666666666666,0.7333333333333333,0.0014342635868194176
Bernoulli(0.1),5000,STaR betting,Deterministic,60,0.022391674339838796,0.022419682868888367,2.8008529049572638e-05,0.0012288283099719354,0.016666666666666666,0.9,0.0012508456770352616
Bernoulli(0.1),5000,STaR betting,Uniformly randomized,60,0.02236637023464949,0.022371821871199588,5.451636550098347e-06,0.0002485789355916701,0.25,0.6666666666666666,0.00024374256944259542
Bernoulli(0.1),10000,Efficient betting,Deterministic,60,0.015679449957857992,0.0156841212072698,4.671249411808178e-06,0.00029894831962302135,0.23333333333333334,0.4,0.00029792176539111814
Bernoulli(0.1),10000,Efficient betting,Uniformly randomized,60,0.015450822926419552,0.015449665206988308,-1.1577194312449116e-06,-9.851341834888339e-05,0.2833333333333333,0.7166666666666667,-7.492930549768406e-05
Bernoulli(0.1),10000,STaR betting,Deterministic,60,0.01580464846920701,0.015816604341669992,1.195587246298017e-05,0.0007485762272015972,0.05,0.8833333333333333,0.0007564782276729964
Bernoulli(0.1),10000,STaR betting,Uniformly randomized,60,0.01579753423406776,0.01579872790435223,1.1936702844710101e-06,7.720222240009678e-05,0.2833333333333333,0.6666666666666666,7.556054424595615e-05
Bernoulli(0.1),50000,Efficient betting,Deterministic,30,0.006963981145359286,0.006964173761434441,1.9261607515410247e-07,2.7476409946255072e-05,0.23333333333333334,0.4,2.7658902448823852e-05
Bernoulli(0.1),50000,Efficient betting,Uniformly randomized,30,0.006912090759273761,0.006910939855290974,-1.1509039827856115e-06,-0.00018100661328542821,0.23333333333333334,0.7666666666666667,-0.000166505913025361
Bernoulli(0.1),50000,STaR betting,Deterministic,30,0.007064217515467183,0.00706496776431329,7.502488461069711e-07,0.00010590491481060245,0.0,0.6666666666666666,0.00010620409754702465
Bernoulli(0.1),50000,STaR betting,Uniformly randomized,30,0.007063449844380636,0.007063611569312766,1.617249321309022e-07,2.2254161789351614e-05,0.23333333333333334,0.43333333333333335,2.2896026119489932e-05
Bernoulli(0.1),100000,Efficient betting,Deterministic,30,0.004912768731512413,0.004913035548571009,2.6681705859778654e-07,5.439702499124103e-05,0.2,0.4666666666666667,5.4310934053392046e-05
Bernoulli(0.1),100000,Efficient betting,Uniformly randomized,30,0.004885895452281537,0.004887427274858651,1.5318225771142797e-06,0.0003115561766513693,0.2,0.8,0.00031351931126533117
Bernoulli(0.1),100000,STaR betting,Deterministic,30,0.004994353269544904,0.004994826937701075,4.736681561710402e-07,9.607816011193056e-05,0.0,0.6666666666666666,9.484073925225545e-05
Bernoulli(0.1),100000,STaR betting,Uniformly randomized,30,0.004994299132567944,0.004994649360348937,3.5022778099395396e-07,7.1007815426453e-05,0.06666666666666667,0.6,7.012551144747192e-05
Bernoulli(0.1),500000,Efficient betting,Deterministic,30,0.002191524726720901,0.0021916112150160596,8.648829515854143e-08,3.9558990933197256e-05,0.26666666666666666,0.3333333333333333,3.946489587991486e-05
Bernoulli(0.1),500000,Efficient betting,Uniformly randomized,30,0.0021866183135728994,0.0021862416435308937,-3.766700420057556e-07,-0.00017144790915996818,0.3,0.7,-0.00017226145032611662
Bernoulli(0.1),500000,STaR betting,Deterministic,30,0.0022330585726478103,0.002233087974636928,2.940198911745758e-08,1.3019592321739103e-05,0.0,0.23333333333333334,1.3166689614818594e-05
Bernoulli(0.1),500000,STaR betting,Uniformly randomized,30,0.002233055115470628,0.0022330014249483366,-5.3690522291519975e-08,-2.359202989744199e-05,0.16666666666666666,0.13333333333333333,-2.4043527595662972e-05
Bernoulli(0.1),1000000,Efficient betting,Deterministic,30,0.0015480810711728933,0.0015481257550723747,4.4683899481460604e-08,2.8898696169639877e-05,0.06666666666666667,0.3,2.8864056484723122e-05
Bernoulli(0.1),1000000,Efficient betting,Uniformly randomized,30,0.0015453508415988382,0.0015454360134417144,8.517184287617126e-08,5.493376970798769e-05,0.26666666666666666,0.7,5.511489079590426e-05
Bernoulli(0.1),1000000,STaR betting,Deterministic,30,0.0015722615706586845,0.001572274390562771,1.2819904086451098e-08,8.372877275153457e-06,0.0,0.26666666666666666,8.153798531695955e-06
Bernoulli(0.1),1000000,STaR betting,Uniformly randomized,30,0.0015722585218095008,0.0015722591338009518,6.119914510345954e-10,5.426143373584343e-07,0.1,0.2,3.892435260777205e-07
Bernoulli(0.5),10,Efficient betting,Deterministic,120,0.8715674769623405,0.8753023243338055,0.0037348473714650028,0.005537833484310358,0.125,0.36666666666666664,0.004285207365104959
Bernoulli(0.5),10,Efficient betting,Uniformly randomized,120,0.7555150291842458,0.7659476191666931,0.010432589982447097,0.015132504920995127,0.11666666666666667,0.65,0.013808580345134436
Bernoulli(0.5),10,STaR betting,Deterministic,120,0.8047649851310492,0.8197655857306306,0.015000600599581432,0.022098127659985492,0.008333333333333333,0.48333333333333334,0.01863972821473925
Bernoulli(0.5),10,STaR betting,Uniformly randomized,120,0.7297099131855198,0.7443420666268064,0.014632153441286542,0.021388167461438175,0.14166666666666666,0.6416666666666667,0.020052014063246748
Bernoulli(0.5),50,Efficient betting,Deterministic,120,0.3957936287427409,0.3979127978983794,0.002119169155638562,0.005280821405292126,0.05,0.775,0.0053542275613940316
Bernoulli(0.5),50,Efficient betting,Uniformly randomized,120,0.3591241192122673,0.3625360670269595,0.0034119478146922315,0.009147528358194896,0.15,0.85,0.009500748159650962
Bernoulli(0.5),50,STaR betting,Deterministic,120,0.3695747594317707,0.37735153049462744,0.007776771062856774,0.02124911427603608,0.008333333333333333,0.9916666666666667,0.021042484272501882
Bernoulli(0.5),50,STaR betting,Uniformly randomized,120,0.3581069568897089,0.36097985358869056,0.002872896698981683,0.008007162459856124,0.21666666666666667,0.7833333333333333,0.008022454307879956
Bernoulli(0.5),100,Efficient betting,Deterministic,120,0.27085359670456854,0.2729281051007372,0.002074508396168591,0.007658006447167094,0.0,0.9916666666666667,0.007659150262019132
Bernoulli(0.5),100,Efficient betting,Uniformly randomized,120,0.25517887289623975,0.2571761839053771,0.0019973110091373036,0.007472288544092363,0.20833333333333334,0.7916666666666666,0.007827101775582657
Bernoulli(0.5),100,STaR betting,Deterministic,120,0.25936119116148293,0.2636329855701125,0.004271794408629558,0.016558221430202535,0.0,1.0,0.016470445672690737
Bernoulli(0.5),100,STaR betting,Uniformly randomized,120,0.25604175049648953,0.25728743870345594,0.0012456882069663668,0.004731164086583801,0.25,0.75,0.004865176107220481
Bernoulli(0.5),500,Efficient betting,Deterministic,120,0.11771654116712663,0.11811383913174449,0.00039729796461787046,0.003377574583684127,0.0,1.0,0.003375039401249502
Bernoulli(0.5),500,Efficient betting,Uniformly randomized,120,0.11483678186978147,0.11479603044891544,-4.075142086602997e-05,-0.0004366292098201459,0.31666666666666665,0.6833333333333333,-0.00035486383545857425
Bernoulli(0.5),500,STaR betting,Deterministic,120,0.11721102022256176,0.11763309462174294,0.0004220743991811775,0.0036123029464188903,0.0,1.0,0.0036009788019910616
Bernoulli(0.5),500,STaR betting,Uniformly randomized,120,0.11695079356598163,0.1168142512551257,-0.00013654231085593466,-0.001129937029986385,0.3333333333333333,0.6666666666666666,-0.0011675193189595312
Bernoulli(0.5),1000,Efficient betting,Deterministic,120,0.08270434545084256,0.08295436883487349,0.00025002338403091833,0.0030252098829800216,0.0,1.0,0.0030230985163837154
Bernoulli(0.5),1000,Efficient betting,Uniformly randomized,120,0.08136261989701711,0.08144842399531466,8.580409829756404e-05,0.0010310561453199067,0.24166666666666667,0.7583333333333333,0.001054588684658242
Bernoulli(0.5),1000,STaR betting,Deterministic,120,0.08286401658004679,0.0830336452410962,0.00016962866104940633,0.002051515170226603,0.0,1.0,0.002047072638405645
Bernoulli(0.5),1000,STaR betting,Uniformly randomized,120,0.08278124980300741,0.08279124080073712,9.99099772970441e-06,0.00012779716432501087,0.30833333333333335,0.6916666666666667,0.00012069155459104586
Bernoulli(0.5),5000,Efficient betting,Deterministic,60,0.036685143807101334,0.03673532317812564,5.017937102430685e-05,0.0013682680371593704,0.0,1.0,0.0013678390164737486
Bernoulli(0.5),5000,Efficient betting,Uniformly randomized,60,0.03642262507906898,0.03640940577043939,-1.3219308629580651e-05,-0.0003708094529689473,0.35,0.65,-0.0003629422261819393
Bernoulli(0.5),5000,STaR betting,Deterministic,60,0.03713803646159875,0.037154379161219435,1.6342699620683354e-05,0.00044036522409155826,0.0,0.95,0.0004400528724124442
Bernoulli(0.5),5000,STaR betting,Uniformly randomized,60,0.037129685317478865,0.037114155194502826,-1.553012297603277e-05,-0.0004160227809194598,0.36666666666666664,0.6,-0.00041826702389879955
Bernoulli(0.5),10000,Efficient betting,Deterministic,60,0.025888848384548486,0.02591106350441174,2.2215119863251235e-05,0.000858298181333635,0.0,1.0,0.0008580961011968036
Bernoulli(0.5),10000,Efficient betting,Uniformly randomized,60,0.025759268807669464,0.025762651329615062,3.3825219455977754e-06,0.00012926119479735507,0.31666666666666665,0.6833333333333333,0.00013131280902634046
Bernoulli(0.5),10000,STaR betting,Deterministic,60,0.026210494156772145,0.026217833723917262,7.33956714511208e-06,0.00027879266520094054,0.0,0.9,0.00028002398967452713
Bernoulli(0.5),10000,STaR betting,Uniformly randomized,60,0.02620836298652858,0.02621242696683368,4.063980305098654e-06,0.000155703115856289,0.18333333333333332,0.7,0.00015506425590894324
Bernoulli(0.5),50000,Efficient betting,Deterministic,30,0.011546681294459786,0.011549808827068849,3.127532609063325e-06,0.0002708726620490894,0.0,1.0,0.00027085987127439815
Bernoulli(0.5),50000,Efficient betting,Uniformly randomized,30,0.011524515348028971,0.011526398135095687,1.882787066716703e-06,0.00016282889189721538,0.13333333333333333,0.8666666666666667,0.0001633723423377642
Bernoulli(0.5),50000,STaR betting,Deterministic,30,0.011751769468611081,0.011752056075090346,2.8660647926614933e-07,2.4646790382920612e-05,0.0,0.5,2.4388368069283572e-05
Bernoulli(0.5),50000,STaR betting,Uniformly randomized,30,0.011751632989183669,0.011751692128863045,5.913967937587472e-08,4.173809410423779e-06,0.06666666666666667,0.5,5.0324648013244655e-06
Bernoulli(0.5),100000,Efficient betting,Deterministic,30,0.008158987137361632,0.008161027998505979,2.0408611443460217e-06,0.000250148790342708,0.0,1.0,0.00025013658067929434
Bernoulli(0.5),100000,Efficient betting,Uniformly randomized,30,0.008145807506026668,0.008144107436215998,-1.700069810669132e-06,-0.00020904161459930348,0.4,0.5666666666666667,-0.00020870488400470677
Bernoulli(0.5),100000,STaR betting,Deterministic,30,0.008321625716650795,0.008321731872388067,1.0615573727094466e-07,1.264398379669333e-05,0.0,0.3,1.2756610413111602e-05
Bernoulli(0.5),100000,STaR betting,Uniformly randomized,30,0.008321558162871912,0.008321506693154344,-5.1469717567605615e-08,-6.2315474551229615e-06,0.26666666666666666,0.16666666666666666,-6.185105789091594e-06
Bernoulli(0.5),500000,Efficient betting,Deterministic,30,0.003645484458419897,0.003645879399101228,3.949406813308354e-07,0.00010834121134975691,0.0,1.0,0.00010833695379464103
Bernoulli(0.5),500000,Efficient betting,Uniformly randomized,30,0.003642889365866549,0.003643069788804504,1.8042293795465328e-07,4.949305825625953e-05,0.23333333333333334,0.7666666666666667,4.952742722452719e-05
Bernoulli(0.5),500000,STaR betting,Deterministic,30,0.0037178575294176635,0.0037178690383166866,1.150889902268304e-08,3.0645139380040357e-06,0.0,0.16666666666666666,3.0955729024562118e-06
Bernoulli(0.5),500000,STaR betting,Uniformly randomized,30,0.003717856090803799,0.0037178618452483195,5.754444520889024e-09,1.5161388564203607e-06,0.03333333333333333,0.06666666666666667,1.5477857078227686e-06
Bernoulli(0.5),1000000,Efficient betting,Deterministic,30,0.0025771709714627463,0.002577410199191778,2.3922772903195445e-07,9.282712707242939e-05,0.0,1.0,9.282571148006014e-05
Bernoulli(0.5),1000000,Efficient betting,Uniformly randomized,30,0.002576071668861942,0.002576261720770053,1.900519081110552e-07,7.376167044162626e-05,0.2,0.7666666666666667,7.377586206480657e-05
Bernoulli(0.5),1000000,STaR betting,Deterministic,30,0.0026257988716463085,0.0026258039579094877,5.086263179151136e-09,1.9229829313719784e-06,0.0,0.13333333333333333,1.937034566523721e-06
Bernoulli(0.5),1000000,STaR betting,Uniformly randomized,30,0.002625797854393204,0.0026257998888981394,2.0345049348928037e-09,7.756008409150657e-07,0.0,0.06666666666666667,7.748139987384661e-07
"Beta(0.5,0.5)",10,Efficient betting,Deterministic,120,0.7767300745815302,0.7943353111252616,0.017605236543731414,0.02607410935571434,0.14166666666666666,0.6416666666666667,0.022665836073382906
"Beta(0.5,0.5)",10,Efficient betting,Uniformly randomized,120,0.617689899250114,0.6479770174183296,0.030287118168215676,0.05115157309590409,0.10833333333333334,0.85,0.04903288560325292
"Beta(0.5,0.5)",10,STaR betting,Deterministic,120,0.6829061419882676,0.7238385314644771,0.04093238947620947,0.0637093481916048,0.008333333333333333,0.9,0.05993852882481865
"Beta(0.5,0.5)",10,STaR betting,Uniformly randomized,120,0.5827784172642044,0.6228111534698838,0.04003273620567941,0.07025277175511549,0.1,0.9,0.06869289427980041
"Beta(0.5,0.5)",50,Efficient betting,Deterministic,120,0.2884556175470573,0.29969771120598954,0.01124209365893225,0.039641876097163284,0.008333333333333333,0.9916666666666667,0.03897339131243749
"Beta(0.5,0.5)",50,Efficient betting,Uniformly randomized,120,0.25813838199584443,0.2662235237359168,0.008085141740072327,0.029608654826480226,0.16666666666666666,0.8333333333333334,0.031320959237292056
"Beta(0.5,0.5)",50,STaR betting,Deterministic,120,0.267691290930054,0.2863954405915984,0.018704149661544402,0.07052559945769768,0.0,1.0,0.06987208883994533
"Beta(0.5,0.5)",50,STaR betting,Uniformly randomized,120,0.25752679185898897,0.2651367004440804,0.007609908585091426,0.0282563138630737,0.21666666666666667,0.7833333333333333,0.029549968491271672
"Beta(0.5,0.5)",100,Efficient betting,Deterministic,120,0.19687716368227398,0.20185226889534588,0.004975105213071916,0.025529147498298436,0.016666666666666666,0.975,0.0252700979637277
"Beta(0.5,0.5)",100,Efficient betting,Uniformly randomized,120,0.18314170917917588,0.18620354719538237,0.0030618380162065095,0.016517512326304756,0.175,0.825,0.016718409093861686
"Beta(0.5,0.5)",100,STaR betting,Deterministic,120,0.1877290408567434,0.19509700933214116,0.007367968475397757,0.03936134624234931,0.016666666666666666,0.9833333333333333,0.039247888562006006
"Beta(0.5,0.5)",100,STaR betting,Uniformly randomized,120,0.1844692637058489,0.1869205700424858,0.0024513063366368775,0.013158293884306671,0.18333333333333332,0.8166666666666667,0.013288426957380306
"Beta(0.5,0.5)",500,Efficient betting,Deterministic,120,0.0841815478602732,0.0849773265972174,0.0007957787369442216,0.009500035342174225,0.025,0.9583333333333334,0.009453125502812965
"Beta(0.5,0.5)",500,Efficient betting,Uniformly randomized,120,0.08179893690196541,0.08217051512444548,0.0003715782224800818,0.004459994466756611,0.25833333333333336,0.7416666666666667,0.004542580093985782
"Beta(0.5,0.5)",500,STaR betting,Deterministic,120,0.08340599802195214,0.08413316360914956,0.0007271655871974189,0.008769987186607642,0.0,1.0,0.008718384821749137
"Beta(0.5,0.5)",500,STaR betting,Uniformly randomized,120,0.08316690493187535,0.0833940778639103,0.00022717293203493628,0.002776480808468303,0.24166666666666667,0.7583333333333333,0.00273153043534613
"Beta(0.5,0.5)",1000,Efficient betting,Deterministic,120,0.05887986632521787,0.059258046683853996,0.0003781803586361256,0.006438371835259454,0.03333333333333333,0.925,0.00642291469459666
"Beta(0.5,0.5)",1000,Efficient betting,Uniformly randomized,120,0.05765476850305382,0.057738141968414876,8.337346536105618e-05,0.0013899005922134186,0.2833333333333333,0.7166666666666667,0.0014460810012035807
