source,distribution,n,rep,method,calibration,solvency_c,rejected
betting,"Beta(2,2)",10,0,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,0,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,0,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,0,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,0,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,0,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,0,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,0,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,0,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,0,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,1,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,1,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,1,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,1,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,1,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,1,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,1,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,1,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,1,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,1,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,2,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,2,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,2,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,2,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,2,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,2,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,2,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,2,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,2,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,2,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,3,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,3,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,3,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,3,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,3,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,3,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,3,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,3,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,3,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,3,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,4,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,4,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,4,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,4,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,4,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,4,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,4,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,4,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,4,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,4,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,5,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,5,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,5,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,5,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,5,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,5,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,5,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,5,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,5,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,5,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,6,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,6,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,6,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,6,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,6,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,6,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,6,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,6,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,6,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,6,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,7,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,7,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,7,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,7,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,7,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,7,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,7,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,7,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,7,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,7,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,8,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,8,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,8,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,8,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,8,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,8,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,8,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,8,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,8,STaR betting,Uniformly randomized,1.0,True
betting,"Beta(2,2)",10,8,Efficient betting,Uniformly randomized,1.0,True
betting,"Beta(2,2)",10,9,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,9,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,9,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,9,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,9,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,9,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,9,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,9,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,9,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,9,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,10,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,10,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,10,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,10,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,10,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,10,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,10,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,10,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,10,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,10,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,11,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,11,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,11,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,11,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,11,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,11,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,11,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,11,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,11,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,11,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,12,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,12,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,12,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,12,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,12,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,12,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,12,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,12,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,12,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,12,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,13,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,13,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,13,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,13,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,13,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,13,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,13,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,13,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,13,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,13,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,14,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,14,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,14,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,14,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,14,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,14,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,14,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,14,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,14,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,14,Efficient betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,15,Product betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,15,Product betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,15,STaR betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,15,Efficient betting,Deterministic,0.5,False
betting,"Beta(2,2)",10,15,STaR betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,15,Efficient betting,Uniformly randomized,0.5,False
betting,"Beta(2,2)",10,15,STaR betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,15,Efficient betting,Deterministic,1.0,False
betting,"Beta(2,2)",10,15,STaR betting,Uniformly randomized,1.0,False
betting,"Beta(2,2)",10,15,Efficient betting,Uniformly randomized,1.0,False
