n,method,calibration,rejections,replications,noncoverage
10,Efficient betting,Deterministic,0,1080,0.0
10,Efficient betting,Uniformly randomized,7,1080,0.006481481481481481
10,Gaffke,Deterministic,0,720,0.0
10,Gaffke,Uniformly randomized,0,720,0.0
10,Product betting,Deterministic,0,1080,0.0
10,Product betting,Uniformly randomized,7,1080,0.006481481481481481
10,STaR betting,Deterministic,0,1080,0.0
10,STaR betting,Uniformly randomized,7,1080,0.006481481481481481
50,Efficient betting,Deterministic,1,1080,0.000925925925925926
50,Efficient betting,Uniformly randomized,15,1080,0.013888888888888888
50,Gaffke,Deterministic,0,720,0.0
50,Gaffke,Uniformly randomized,0,720,0.0
50,Product betting,Deterministic,1,1080,0.000925925925925926
50,Product betting,Uniformly randomized,16,1080,0.014814814814814815
50,STaR betting,Deterministic,2,1080,0.001851851851851852
50,STaR betting,Uniformly randomized,16,1080,0.014814814814814815
100,Efficient betting,Deterministic,1,1080,0.000925925925925926
100,Efficient betting,Uniformly randomized,3,1080,0.002777777777777778
100,Gaffke,Deterministic,4,720,0.005555555555555556
100,Gaffke,Uniformly randomized,4,720,0.005555555555555556
100,Product betting,Deterministic,0,1080,0.0
100,Product betting,Uniformly randomized,3,1080,0.002777777777777778
100,STaR betting,Deterministic,1,1080,0.000925925925925926
100,STaR betting,Uniformly randomized,2,1080,0.001851851851851852
500,Efficient betting,Deterministic,6,1080,0.005555555555555556
500,Efficient betting,Uniformly randomized,9,1080,0.008333333333333333
500,Gaffke,Deterministic,6,720,0.008333333333333333
500,Gaffke,Uniformly randomized,6,720,0.008333333333333333
500,Product betting,Deterministic,0,1080,0.0
500,Product betting,Uniformly randomized,8,1080,0.007407407407407408
500,STaR betting,Deterministic,7,1080,0.006481481481481481
500,STaR betting,Uniformly randomized,10,1080,0.009259259259259259
1000,Efficient betting,Deterministic,4,1080,0.003703703703703704
1000,Efficient betting,Uniformly randomized,12,1080,0.011111111111111112
1000,Gaffke,Deterministic,4,1080,0.003703703703703704
1000,Gaffke,Uniformly randomized,4,1080,0.003703703703703704
1000,Product betting,Deterministic,1,1080,0.000925925925925926
1000,Product betting,Uniformly randomized,9,1080,0.008333333333333333
1000,STaR betting,Deterministic,6,1080,0.005555555555555556
1000,STaR betting,Uniformly randomized,10,1080,0.009259259259259259
3000,Gaffke,Deterministic,2,540,0.003703703703703704
3000,Gaffke,Uniformly randomized,2,540,0.003703703703703704
5000,Efficient betting,Deterministic,4,540,0.007407407407407408
5000,Efficient betting,Uniformly randomized,6,540,0.011111111111111112
5000,Product betting,Deterministic,0,540,0.0
5000,Product betting,Uniformly randomized,4,540,0.007407407407407408
5000,STaR betting,Deterministic,4,540,0.007407407407407408
5000,STaR betting,Uniformly randomized,6,540,0.011111111111111112
10000,Efficient betting,Deterministic,3,540,0.005555555555555556
10000,Efficient betting,Uniformly randomized,7,540,0.012962962962962963
10000,Gaffke,Deterministic,4,540,0.007407407407407408
10000,Gaffke,Uniformly randomized,4,540,0.007407407407407408
10000,Product betting,Deterministic,1,540,0.001851851851851852
10000,Product betting,Uniformly randomized,8,540,0.014814814814814815
10000,STaR betting,Deterministic,3,540,0.005555555555555556
10000,STaR betting,Uniformly randomized,6,540,0.011111111111111112
30000,Gaffke,Deterministic,2,270,0.007407407407407408
30000,Gaffke,Uniformly randomized,2,270,0.007407407407407408
50000,Efficient betting,Deterministic,4,270,0.014814814814814815
50000,Efficient betting,Uniformly randomized,5,270,0.018518518518518517
50000,Product betting,Deterministic,0,270,0.0
50000,Product betting,Uniformly randomized,1,270,0.003703703703703704
50000,STaR betting,Deterministic,4,270,0.014814814814814815
50000,STaR betting,Uniformly randomized,4,270,0.014814814814814815
100000,Efficient betting,Deterministic,1,270,0.003703703703703704
100000,Efficient betting,Uniformly randomized,1,270,0.003703703703703704
100000,Gaffke,Deterministic,4,270,0.014814814814814815
100000,Gaffke,Uniformly randomized,4,270,0.014814814814814815
100000,Product betting,Deterministic,0,270,0.0
100000,Product betting,Uniformly randomized,2,270,0.007407407407407408
100000,STaR betting,Deterministic,0,270,0.0
100000,STaR betting,Uniformly randomized,0,270,0.0
300000,Gaffke,Deterministic,2,270,0.007407407407407408
300000,Gaffke,Uniformly randomized,2,270,0.007407407407407408
500000,Efficient betting,Deterministic,3,270,0.011111111111111112
500000,Efficient betting,Uniformly randomized,3,270,0.011111111111111112
500000,Product betting,Deterministic,0,270,0.0
500000,Product betting,Uniformly randomized,2,270,0.007407407407407408
500000,STaR betting,Deterministic,3,270,0.011111111111111112
500000,STaR betting,Uniformly randomized,3,270,0.011111111111111112
1000000,Efficient betting,Deterministic,2,270,0.007407407407407408
1000000,Efficient betting,Uniformly randomized,2,270,0.007407407407407408
1000000,Gaffke,Deterministic,5,270,0.018518518518518517
1000000,Gaffke,Uniformly randomized,5,270,0.018518518518518517
1000000,Product betting,Deterministic,0,270,0.0
1000000,Product betting,Uniformly randomized,0,270,0.0
1000000,STaR betting,Deterministic,3,270,0.011111111111111112
1000000,STaR betting,Uniformly randomized,3,270,0.011111111111111112
