source,distribution,n,method,calibration,solvency_c,rejections,replications,noncoverage,wilson_lower,wilson_upper
betting,Bernoulli(0.1),10,Efficient betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,Efficient betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,Efficient betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,Efficient betting,Uniformly randomized,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,Product betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,Product betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,STaR betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,STaR betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,STaR betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),10,STaR betting,Uniformly randomized,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),50,Efficient betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),50,Efficient betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),50,Efficient betting,Uniformly randomized,0.5,1,120,0.008333333333333333,0.0014725557333420923,0.045696291245049675
betting,Bernoulli(0.1),50,Efficient betting,Uniformly randomized,1.0,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),50,Product betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),50,Product betting,Uniformly randomized,0.5,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),50,STaR betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),50,STaR betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),50,STaR betting,Uniformly randomized,0.5,1,120,0.008333333333333333,0.0014725557333420923,0.045696291245049675
betting,Bernoulli(0.1),50,STaR betting,Uniformly randomized,1.0,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),100,Efficient betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,Efficient betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,Efficient betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,Efficient betting,Uniformly randomized,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,Product betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,Product betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,STaR betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,STaR betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,STaR betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),100,STaR betting,Uniformly randomized,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),500,Efficient betting,Deterministic,0.5,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,Efficient betting,Deterministic,1.0,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,Efficient betting,Uniformly randomized,0.5,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,Efficient betting,Uniformly randomized,1.0,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,Product betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),500,Product betting,Uniformly randomized,0.5,1,120,0.008333333333333333,0.0014725557333420923,0.045696291245049675
betting,Bernoulli(0.1),500,STaR betting,Deterministic,0.5,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,STaR betting,Deterministic,1.0,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,STaR betting,Uniformly randomized,0.5,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),500,STaR betting,Uniformly randomized,1.0,2,120,0.016666666666666666,0.004582564565921141,0.0587359629721589
betting,Bernoulli(0.1),1000,Efficient betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,Efficient betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,Efficient betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,Efficient betting,Uniformly randomized,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,Product betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,Product betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,STaR betting,Deterministic,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,STaR betting,Deterministic,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,STaR betting,Uniformly randomized,0.5,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),1000,STaR betting,Uniformly randomized,1.0,0,120,0.0,0.0,0.031019166418703486
betting,Bernoulli(0.1),5000,Efficient betting,Deterministic,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,Efficient betting,Deterministic,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,Efficient betting,Uniformly randomized,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,Efficient betting,Uniformly randomized,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,Product betting,Deterministic,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,Product betting,Uniformly randomized,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,STaR betting,Deterministic,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,STaR betting,Deterministic,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,STaR betting,Uniformly randomized,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),5000,STaR betting,Uniformly randomized,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),10000,Efficient betting,Deterministic,0.5,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,Efficient betting,Deterministic,1.0,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,Efficient betting,Uniformly randomized,0.5,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,Efficient betting,Uniformly randomized,1.0,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,Product betting,Deterministic,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.1),10000,Product betting,Uniformly randomized,0.5,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,STaR betting,Deterministic,0.5,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,STaR betting,Deterministic,1.0,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,STaR betting,Uniformly randomized,0.5,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),10000,STaR betting,Uniformly randomized,1.0,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061
betting,Bernoulli(0.1),50000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,Product betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,STaR betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,STaR betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),50000,STaR betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,Product betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,STaR betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,STaR betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),100000,STaR betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,Product betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,STaR betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,STaR betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),500000,STaR betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),1000000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),1000000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),1000000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.1),1000000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
