distribution,replication,method,simultaneously_covered
"Uniform(0,1)",0,Stitched bridge-efficient,1
"Uniform(0,1)",0,Hedged-WoR,1
"Uniform(0,1)",1,Stitched bridge-efficient,1
"Uniform(0,1)",1,Hedged-WoR,1
"Uniform(0,1)",2,Stitched bridge-efficient,1
"Uniform(0,1)",2,Hedged-WoR,1
"Uniform(0,1)",3,Stitched bridge-efficient,1
"Uniform(0,1)",3,Hedged-WoR,1
"Uniform(0,1)",4,Stitched bridge-efficient,1
"Uniform(0,1)",4,Hedged-WoR,1
"Uniform(0,1)",5,Stitched bridge-efficient,1
"Uniform(0,1)",5,Hedged-WoR,1
"Uniform(0,1)",6,Stitched bridge-efficient,1
"Uniform(0,1)",6,Hedged-WoR,1
"Uniform(0,1)",7,Stitched bridge-efficient,1
"Uniform(0,1)",7,Hedged-WoR,1
"Uniform(0,1)",8,Stitched bridge-efficient,1
"Uniform(0,1)",8,Hedged-WoR,1
"Uniform(0,1)",9,Stitched bridge-efficient,1
"Uniform(0,1)",9,Hedged-WoR,1
"Uniform(0,1)",10,Stitched bridge-efficient,1
"Uniform(0,1)",10,Hedged-WoR,1
"Uniform(0,1)",11,Stitched bridge-efficient,1
"Uniform(0,1)",11,Hedged-WoR,1
"Uniform(0,1)",12,Stitched bridge-efficient,1
"Uniform(0,1)",12,Hedged-WoR,1
"Uniform(0,1)",13,Stitched bridge-efficient,1
"Uniform(0,1)",13,Hedged-WoR,1
"Uniform(0,1)",14,Stitched bridge-efficient,1
"Uniform(0,1)",14,Hedged-WoR,1
"Uniform(0,1)",15,Stitched bridge-efficient,1
"Uniform(0,1)",15,Hedged-WoR,1
"Uniform(0,1)",16,Stitched bridge-efficient,1
"Uniform(0,1)",16,Hedged-WoR,1
"Uniform(0,1)",17,Stitched bridge-efficient,1
"Uniform(0,1)",17,Hedged-WoR,1
"Uniform(0,1)",18,Stitched bridge-efficient,1
"Uniform(0,1)",18,Hedged-WoR,1
"Uniform(0,1)",19,Stitched bridge-efficient,1
"Uniform(0,1)",19,Hedged-WoR,1
"Uniform(0,1)",20,Stitched bridge-efficient,1
"Uniform(0,1)",20,Hedged-WoR,1
"Uniform(0,1)",21,Stitched bridge-efficient,1
"Uniform(0,1)",21,Hedged-WoR,1
"Uniform(0,1)",22,Stitched bridge-efficient,1
"Uniform(0,1)",22,Hedged-WoR,1
"Uniform(0,1)",23,Stitched bridge-efficient,1
"Uniform(0,1)",23,Hedged-WoR,1
"Uniform(0,1)",24,Stitched bridge-efficient,1
"Uniform(0,1)",24,Hedged-WoR,1
"Uniform(0,1)",25,Stitched bridge-efficient,1
"Uniform(0,1)",25,Hedged-WoR,1
"Uniform(0,1)",26,Stitched bridge-efficient,1
"Uniform(0,1)",26,Hedged-WoR,1
"Uniform(0,1)",27,Stitched bridge-efficient,1
"Uniform(0,1)",27,Hedged-WoR,1
"Uniform(0,1)",28,Stitched bridge-efficient,1
"Uniform(0,1)",28,Hedged-WoR,1
"Uniform(0,1)",29,Stitched bridge-efficient,1
"Uniform(0,1)",29,Hedged-WoR,1
"Uniform(0,1)",30,Stitched bridge-efficient,1
"Uniform(0,1)",30,Hedged-WoR,1
"Uniform(0,1)",31,Stitched bridge-efficient,1
"Uniform(0,1)",31,Hedged-WoR,1
"Uniform(0,1)",32,Stitched bridge-efficient,1
"Uniform(0,1)",32,Hedged-WoR,1
"Uniform(0,1)",33,Stitched bridge-efficient,1
"Uniform(0,1)",33,Hedged-WoR,1
"Uniform(0,1)",34,Stitched bridge-efficient,1
"Uniform(0,1)",34,Hedged-WoR,1
"Uniform(0,1)",35,Stitched bridge-efficient,1
"Uniform(0,1)",35,Hedged-WoR,1
"Uniform(0,1)",36,Stitched bridge-efficient,1
"Uniform(0,1)",36,Hedged-WoR,1
"Uniform(0,1)",37,Stitched bridge-efficient,1
"Uniform(0,1)",37,Hedged-WoR,1
"Uniform(0,1)",38,Stitched bridge-efficient,1
"Uniform(0,1)",38,Hedged-WoR,1
"Uniform(0,1)",39,Stitched bridge-efficient,1
"Uniform(0,1)",39,Hedged-WoR,1
"Beta(0.5,0.5)",0,Stitched bridge-efficient,1
"Beta(0.5,0.5)",0,Hedged-WoR,1
"Beta(0.5,0.5)",1,Stitched bridge-efficient,1
"Beta(0.5,0.5)",1,Hedged-WoR,1
"Beta(0.5,0.5)",2,Stitched bridge-efficient,1
"Beta(0.5,0.5)",2,Hedged-WoR,1
"Beta(0.5,0.5)",3,Stitched bridge-efficient,1
"Beta(0.5,0.5)",3,Hedged-WoR,1
"Beta(0.5,0.5)",4,Stitched bridge-efficient,1
"Beta(0.5,0.5)",4,Hedged-WoR,1
"Beta(0.5,0.5)",5,Stitched bridge-efficient,1
"Beta(0.5,0.5)",5,Hedged-WoR,1
"Beta(0.5,0.5)",6,Stitched bridge-efficient,1
"Beta(0.5,0.5)",6,Hedged-WoR,1
"Beta(0.5,0.5)",7,Stitched bridge-efficient,1
"Beta(0.5,0.5)",7,Hedged-WoR,1
"Beta(0.5,0.5)",8,Stitched bridge-efficient,1
"Beta(0.5,0.5)",8,Hedged-WoR,1
"Beta(0.5,0.5)",9,Stitched bridge-efficient,1
"Beta(0.5,0.5)",9,Hedged-WoR,1
"Beta(0.5,0.5)",10,Stitched bridge-efficient,1
"Beta(0.5,0.5)",10,Hedged-WoR,1
"Beta(0.5,0.5)",11,Stitched bridge-efficient,1
"Beta(0.5,0.5)",11,Hedged-WoR,1
"Beta(0.5,0.5)",12,Stitched bridge-efficient,1
"Beta(0.5,0.5)",12,Hedged-WoR,1
"Beta(0.5,0.5)",13,Stitched bridge-efficient,1
"Beta(0.5,0.5)",13,Hedged-WoR,1
"Beta(0.5,0.5)",14,Stitched bridge-efficient,1
"Beta(0.5,0.5)",14,Hedged-WoR,1
"Beta(0.5,0.5)",15,Stitched bridge-efficient,1
"Beta(0.5,0.5)",15,Hedged-WoR,1
"Beta(0.5,0.5)",16,Stitched bridge-efficient,1
"Beta(0.5,0.5)",16,Hedged-WoR,1
"Beta(0.5,0.5)",17,Stitched bridge-efficient,1
