distribution,population_mean,population_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333325,0,10,0.01,Stitched bridge-efficient,0.07571373271560669,0.7897239683828355,0.7140102356672289,2.004390510334984
"Uniform(0,1)",0.5,0.08333325,0,20,0.02,Stitched bridge-efficient,0.24051750089454657,0.7335336914234161,0.49301619052886947,1.9672458563503463
"Uniform(0,1)",0.5,0.08333325,0,40,0.04,Stitched bridge-efficient,0.35041978036499016,0.670675765625,0.3202559852600098,1.825942645198952
"Uniform(0,1)",0.5,0.08333325,0,75,0.075,Stitched bridge-efficient,0.3947596484327316,0.6033262962007523,0.2085666477680207,1.6588232883611538
"Uniform(0,1)",0.5,0.08333325,0,125,0.125,Stitched bridge-efficient,0.4266979858217239,0.5819923967061043,0.15529441088438034,1.6394655796495068
"Uniform(0,1)",0.5,0.08333325,0,200,0.2,Stitched bridge-efficient,0.4831413709106444,0.5832538567962644,0.10011248588562,1.398149936732353
"Uniform(0,1)",0.5,0.08333325,0,350,0.35,Stitched bridge-efficient,0.4798599031162263,0.5491610523653033,0.06930114924907704,1.4204085512409967
"Uniform(0,1)",0.5,0.08333325,0,500,0.5,Stitched bridge-efficient,0.47987426728248606,0.5338751515769959,0.05400088429450989,1.508330000837688
"Uniform(0,1)",0.5,0.08333325,0,650,0.65,Stitched bridge-efficient,0.48141592457103743,0.5219547362546922,0.04053881168365481,1.5430825774899124
"Uniform(0,1)",0.5,0.08333325,0,800,0.8,Stitched bridge-efficient,0.48501504933547995,0.5151928929061892,0.03017784357070924,1.6858296827155914
"Uniform(0,1)",0.5,0.08333325,0,900,0.9,Stitched bridge-efficient,0.4889153083190918,0.5094153781757353,0.020500069856643544,1.7177980020886872
"Uniform(0,1)",0.5,0.08333325,0,950,0.95,Stitched bridge-efficient,0.49486515792751307,0.5094250348463056,0.01455987691879257,1.7726785996273304
"Uniform(0,1)",0.5,0.08333325,0,10,0.01,Hedged-WoR,0.15019527065372462,0.6959524016342163,0.5457571309804917,1.532065451782643
"Uniform(0,1)",0.5,0.08333325,0,20,0.02,Hedged-WoR,0.2685068097286225,0.6670572867565154,0.3985504770278929,1.5903063419449
"Uniform(0,1)",0.5,0.08333325,0,40,0.04,Hedged-WoR,0.35712332879638664,0.6355482402954101,0.2784249114990235,1.5874423673270632
"Uniform(0,1)",0.5,0.08333325,0,75,0.075,Hedged-WoR,0.39472292899131767,0.5941965529227258,0.1994736239314081,1.5865024265972298
"Uniform(0,1)",0.5,0.08333325,0,125,0.125,Hedged-WoR,0.42521342038488386,0.5758100539383888,0.15059663355350494,1.5898704642105994
"Uniform(0,1)",0.5,0.08333325,0,200,0.2,Hedged-WoR,0.4649074994506836,0.5758100472869871,0.11090254783630354,1.5488416741338447
"Uniform(0,1)",0.5,0.08333325,0,350,0.35,Hedged-WoR,0.46900193955421454,0.5550375160169603,0.08603557646274573,1.7634003164855194
