distribution,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
"Uniform(0,1)",10,0.01,Stitched bridge-efficient,1.8950503499903326,0.0270597820001059,40
"Uniform(0,1)",20,0.02,Stitched bridge-efficient,1.724795372888299,0.01960394851752739,40
"Uniform(0,1)",40,0.04,Stitched bridge-efficient,1.669403794894005,0.01882652499288906,40
"Uniform(0,1)",75,0.075,Stitched bridge-efficient,1.6277438118596301,0.01522861294210664,40
"Uniform(0,1)",125,0.125,Stitched bridge-efficient,1.63126409198332,0.010497676062944546,40
"Uniform(0,1)",200,0.2,Stitched bridge-efficient,1.5952222166940522,0.013158083449020499,40
"Uniform(0,1)",350,0.35,Stitched bridge-efficient,1.5982069772304723,0.013646969524319649,40
"Uniform(0,1)",500,0.5,Stitched bridge-efficient,1.6348684833328844,0.011337197975214024,40
"Uniform(0,1)",650,0.65,Stitched bridge-efficient,1.6242979682335033,0.014654074407206435,40
"Uniform(0,1)",800,0.8,Stitched bridge-efficient,1.6329600303223089,0.011797782794666572,40
"Uniform(0,1)",900,0.9,Stitched bridge-efficient,1.654868648677283,0.009122812947959268,40
"Uniform(0,1)",950,0.95,Stitched bridge-efficient,1.6561268949890995,0.013668891394718037,40
"Uniform(0,1)",10,0.01,Hedged-WoR,1.5327186869205183,0.013013951225947352,40
"Uniform(0,1)",20,0.02,Hedged-WoR,1.46948465365092,0.012996629929612457,40
"Uniform(0,1)",40,0.04,Hedged-WoR,1.424414380454338,0.01752661641022013,40
"Uniform(0,1)",75,0.075,Hedged-WoR,1.4414253308237979,0.013747874787306226,40
"Uniform(0,1)",125,0.125,Hedged-WoR,1.4960585572503489,0.011579999365964561,40
"Uniform(0,1)",200,0.2,Hedged-WoR,1.5589084174754437,0.012551752016061485,40
"Uniform(0,1)",350,0.35,Hedged-WoR,1.6902890465894944,0.015062475645879803,40
"Uniform(0,1)",500,0.5,Hedged-WoR,1.8545556159804768,0.01109264893171572,40
"Uniform(0,1)",650,0.65,Hedged-WoR,2.055334641409399,0.010029940145903195,40
"Uniform(0,1)",800,0.8,Hedged-WoR,2.4060707121998677,0.009485888160603072,40
"Uniform(0,1)",900,0.9,Hedged-WoR,2.925111361587311,0.009742341192362098,40
"Uniform(0,1)",950,0.95,Hedged-WoR,3.595379501198439,0.010193657577704908,40
"Beta(0.5,0.5)",10,0.01,Stitched bridge-efficient,1.7892236426864976,0.029483986461238617,40
"Beta(0.5,0.5)",20,0.02,Stitched bridge-efficient,1.649261967298343,0.023272867664094615,40
"Beta(0.5,0.5)",40,0.04,Stitched bridge-efficient,1.6180900595120484,0.014949639410569978,40
"Beta(0.5,0.5)",75,0.075,Stitched bridge-efficient,1.5959072374415293,0.016440942309286503,40
"Beta(0.5,0.5)",125,0.125,Stitched bridge-efficient,1.603913675737062,0.011875102464672537,40
"Beta(0.5,0.5)",200,0.2,Stitched bridge-efficient,1.5989552001830485,0.01188305679238606,40
"Beta(0.5,0.5)",350,0.35,Stitched bridge-efficient,1.603389776770198,0.014550914069443427,40
"Beta(0.5,0.5)",500,0.5,Stitched bridge-efficient,1.6264024525824166,0.013353078136414209,40
"Beta(0.5,0.5)",650,0.65,Stitched bridge-efficient,1.6028764003079026,0.011358218340319531,40
"Beta(0.5,0.5)",800,0.8,Stitched bridge-efficient,1.6342360394696507,0.013104241351108662,40
"Beta(0.5,0.5)",900,0.9,Stitched bridge-efficient,1.6311187618916922,0.013412620676807098,40
"Beta(0.5,0.5)",950,0.95,Stitched bridge-efficient,1.659003350626802,0.0151370333708853,40
"Beta(0.5,0.5)",10,0.01,Hedged-WoR,1.400804601977064,0.019083405524362294,40
"Beta(0.5,0.5)",20,0.02,Hedged-WoR,1.3820744338159536,0.020104981058022685,40
"Beta(0.5,0.5)",40,0.04,Hedged-WoR,1.4111894898438042,0.018184532273406988,40
"Beta(0.5,0.5)",75,0.075,Hedged-WoR,1.4403896437846835,0.017950311582779644,40
"Beta(0.5,0.5)",125,0.125,Hedged-WoR,1.5223254723078896,0.015228553837852434,40
"Beta(0.5,0.5)",200,0.2,Hedged-WoR,1.6109486892061469,0.013992568629914479,40
"Beta(0.5,0.5)",350,0.35,Hedged-WoR,1.76118220490394,0.014346822527684324,40
"Beta(0.5,0.5)",500,0.5,Hedged-WoR,1.9376050273638306,0.011477315004304961,40
"Beta(0.5,0.5)",650,0.65,Hedged-WoR,2.149818803859675,0.01130678668948059,40
"Beta(0.5,0.5)",800,0.8,Hedged-WoR,2.5278798715981052,0.010083380088417238,40
"Beta(0.5,0.5)",900,0.9,Hedged-WoR,3.0812833815022524,0.009046232428068826,40
"Beta(0.5,0.5)",950,0.95,Hedged-WoR,3.6544894803779213,0.036107460575810255,40
Bernoulli(0.1),10,0.01,Stitched bridge-efficient,1.6737742407697893,0.06071302311685478,40
Bernoulli(0.1),20,0.02,Stitched bridge-efficient,1.75545221113894,0.05275363146965785,40
Bernoulli(0.1),40,0.04,Stitched bridge-efficient,1.7444110859404816,0.051294573929353285,40
Bernoulli(0.1),75,0.075,Stitched bridge-efficient,1.7559794974322656,0.042226789739256365,40
Bernoulli(0.1),125,0.125,Stitched bridge-efficient,1.722912442860834,0.03035367658156027,40
Bernoulli(0.1),200,0.2,Stitched bridge-efficient,1.716115673440892,0.023569469596926296,40
Bernoulli(0.1),350,0.35,Stitched bridge-efficient,1.6736092512893812,0.019641304641092087,40
Bernoulli(0.1),500,0.5,Stitched bridge-efficient,1.6315821249887013,0.017466307424619174,40
Bernoulli(0.1),650,0.65,Stitched bridge-efficient,1.6445660580530492,0.013948528979287183,40
Bernoulli(0.1),800,0.8,Stitched bridge-efficient,1.643653122519904,0.014287700675501109,40
Bernoulli(0.1),900,0.9,Stitched bridge-efficient,1.6258733088140722,0.01992600097500947,40
Bernoulli(0.1),950,0.95,Stitched bridge-efficient,1.5160761290786111,0.01660125223126694,40
Bernoulli(0.1),10,0.01,Hedged-WoR,1.5447475750592665,0.03807302319723034,40
Bernoulli(0.1),20,0.02,Hedged-WoR,1.518597741088001,0.037872642400980094,40
Bernoulli(0.1),40,0.04,Hedged-WoR,1.4153318784236375,0.03550025379006383,40
Bernoulli(0.1),75,0.075,Hedged-WoR,1.4208876773894026,0.037777596314389705,40
Bernoulli(0.1),125,0.125,Hedged-WoR,1.4499419287137219,0.03467223090822483,40
Bernoulli(0.1),200,0.2,Hedged-WoR,1.5351126639598056,0.031026536169464942,40
Bernoulli(0.1),350,0.35,Hedged-WoR,1.6741174397863265,0.029266184008750383,40
Bernoulli(0.1),500,0.5,Hedged-WoR,1.8219729921235728,0.030407654662057408,40
Bernoulli(0.1),650,0.65,Hedged-WoR,2.0020464738741746,0.03535112583136273,40
Bernoulli(0.1),800,0.8,Hedged-WoR,2.176468313247775,0.04980909687409333,40
Bernoulli(0.1),900,0.9,Hedged-WoR,2.268807656624042,0.07092529307478589,40
Bernoulli(0.1),950,0.95,Hedged-WoR,2.4067430397704346,0.09306589499960896,40
"Beta(2,2)",10,0.01,Stitched bridge-efficient,2.1145550484462445,0.02736685906219046,40
"Beta(2,2)",20,0.02,Stitched bridge-efficient,1.8753980308811051,0.020773718683054106,40
"Beta(2,2)",40,0.04,Stitched bridge-efficient,1.7247386495702517,0.02130448317864513,40
"Beta(2,2)",75,0.075,Stitched bridge-efficient,1.6678391757073094,0.018481482814673808,40
"Beta(2,2)",125,0.125,Stitched bridge-efficient,1.6370808974520847,0.014546900645038049,40
"Beta(2,2)",200,0.2,Stitched bridge-efficient,1.6285047326205189,0.013086327270400188,40
"Beta(2,2)",350,0.35,Stitched bridge-efficient,1.5937222258230137,0.01621646585279909,40
"Beta(2,2)",500,0.5,Stitched bridge-efficient,1.610698352637333,0.016286356281886006,40
"Beta(2,2)",650,0.65,Stitched bridge-efficient,1.5852916342099166,0.021911727566303208,40
"Beta(2,2)",800,0.8,Stitched bridge-efficient,1.607855457518453,0.02542363948222387,40
"Beta(2,2)",900,0.9,Stitched bridge-efficient,1.6233415863410747,0.02179590037601733,40
"Beta(2,2)",950,0.95,Stitched bridge-efficient,1.6401644053624693,0.02101656612090554,40
"Beta(2,2)",10,0.01,Hedged-WoR,1.829942586840835,0.01114223666747534,40
"Beta(2,2)",20,0.02,Hedged-WoR,1.683822002155361,0.012833175956428933,40
"Beta(2,2)",40,0.04,Hedged-WoR,1.50504486265358,0.01854268586396861,40
"Beta(2,2)",75,0.075,Hedged-WoR,1.4598068467762695,0.017340438291059142,40
"Beta(2,2)",125,0.125,Hedged-WoR,1.4622742889798257,0.01618111420345636,40
"Beta(2,2)",200,0.2,Hedged-WoR,1.5061794695278414,0.015115367410947027,40
"Beta(2,2)",350,0.35,Hedged-WoR,1.6016449177398193,0.015022166984663923,40
"Beta(2,2)",500,0.5,Hedged-WoR,1.7349883948459712,0.01632698643075592,40
"Beta(2,2)",650,0.65,Hedged-WoR,1.9051860696754006,0.018782222599407677,40
"Beta(2,2)",800,0.8,Hedged-WoR,2.225400467961588,0.024548824657562557,40
"Beta(2,2)",900,0.9,Hedged-WoR,2.6926999802232365,0.032705746256145786,40
"Beta(2,2)",950,0.95,Hedged-WoR,3.2964862652740052,0.04544511849202034,40
"Beta(1,5)",10,0.01,Stitched bridge-efficient,3.060362191499838,0.03284935883875228,40
"Beta(1,5)",20,0.02,Stitched bridge-efficient,2.7921185938902235,0.017673551178174565,40
"Beta(1,5)",40,0.04,Stitched bridge-efficient,2.2616121593208787,0.01812501268546892,40
"Beta(1,5)",75,0.075,Stitched bridge-efficient,1.9547327566320127,0.013812823327663652,40
"Beta(1,5)",125,0.125,Stitched bridge-efficient,1.7971120291934597,0.015150730101945729,40
"Beta(1,5)",200,0.2,Stitched bridge-efficient,1.6950165162118451,0.01651896920195371,40
"Beta(1,5)",350,0.35,Stitched bridge-efficient,1.6522571789199048,0.019980238359368838,40
