distribution,replication,n,component_count,topology_uncertain
"Uniform(0,1)",0,10,1,0
"Uniform(0,1)",0,20,1,0
"Uniform(0,1)",0,40,1,0
"Uniform(0,1)",0,75,1,0
"Uniform(0,1)",0,125,1,0
"Uniform(0,1)",0,200,1,0
"Uniform(0,1)",0,350,1,0
"Uniform(0,1)",0,500,1,0
"Uniform(0,1)",0,1000,1,0
"Uniform(0,1)",0,2000,1,0
"Uniform(0,1)",0,5000,1,0
"Uniform(0,1)",0,10000,1,0
"Uniform(0,1)",1,10,1,0
"Uniform(0,1)",1,20,1,0
"Uniform(0,1)",1,40,1,0
"Uniform(0,1)",1,75,1,0
"Uniform(0,1)",1,125,1,0
"Uniform(0,1)",1,200,1,0
"Uniform(0,1)",1,350,1,0
"Uniform(0,1)",1,500,1,0
"Uniform(0,1)",1,1000,1,0
"Uniform(0,1)",1,2000,1,0
"Uniform(0,1)",1,5000,1,0
"Uniform(0,1)",1,10000,1,0
"Uniform(0,1)",2,10,1,0
"Uniform(0,1)",2,20,1,0
"Uniform(0,1)",2,40,1,0
"Uniform(0,1)",2,75,1,0
"Uniform(0,1)",2,125,1,0
"Uniform(0,1)",2,200,1,0
"Uniform(0,1)",2,350,1,0
"Uniform(0,1)",2,500,1,0
"Uniform(0,1)",2,1000,1,0
"Uniform(0,1)",2,2000,1,0
"Uniform(0,1)",2,5000,1,0
"Uniform(0,1)",2,10000,1,0
"Uniform(0,1)",3,10,1,0
"Uniform(0,1)",3,20,1,0
"Uniform(0,1)",3,40,1,0
"Uniform(0,1)",3,75,1,0
"Uniform(0,1)",3,125,1,0
"Uniform(0,1)",3,200,1,0
"Uniform(0,1)",3,350,1,0
"Uniform(0,1)",3,500,1,0
"Uniform(0,1)",3,1000,1,0
"Uniform(0,1)",3,2000,1,0
"Uniform(0,1)",3,5000,1,0
"Uniform(0,1)",3,10000,1,0
"Uniform(0,1)",4,10,1,0
"Uniform(0,1)",4,20,1,0
"Uniform(0,1)",4,40,1,0
"Uniform(0,1)",4,75,1,0
