distribution,replication,method,simultaneously_covered
"Uniform(0,1)",0,Stitched GE,1
"Uniform(0,1)",0,aGRAPA,1
"Uniform(0,1)",0,PRECiSE-A-CO96,1
"Uniform(0,1)",0,Hedged-CS,1
"Uniform(0,1)",1,Stitched GE,1
"Uniform(0,1)",1,aGRAPA,1
"Uniform(0,1)",1,PRECiSE-A-CO96,1
"Uniform(0,1)",1,Hedged-CS,1
"Uniform(0,1)",2,Stitched GE,1
"Uniform(0,1)",2,aGRAPA,1
"Uniform(0,1)",2,PRECiSE-A-CO96,1
"Uniform(0,1)",2,Hedged-CS,1
"Uniform(0,1)",3,Stitched GE,1
"Uniform(0,1)",3,aGRAPA,1
"Uniform(0,1)",3,PRECiSE-A-CO96,1
"Uniform(0,1)",3,Hedged-CS,1
"Uniform(0,1)",4,Stitched GE,1
"Uniform(0,1)",4,aGRAPA,1
"Uniform(0,1)",4,PRECiSE-A-CO96,1
"Uniform(0,1)",4,Hedged-CS,1
"Uniform(0,1)",5,Stitched GE,1
"Uniform(0,1)",5,aGRAPA,1
"Uniform(0,1)",5,PRECiSE-A-CO96,1
"Uniform(0,1)",5,Hedged-CS,1
"Uniform(0,1)",6,Stitched GE,1
"Uniform(0,1)",6,aGRAPA,1
"Uniform(0,1)",6,PRECiSE-A-CO96,1
"Uniform(0,1)",6,Hedged-CS,1
"Uniform(0,1)",7,Stitched GE,1
"Uniform(0,1)",7,aGRAPA,1
"Uniform(0,1)",7,PRECiSE-A-CO96,1
"Uniform(0,1)",7,Hedged-CS,1
"Uniform(0,1)",8,Stitched GE,1
"Uniform(0,1)",8,aGRAPA,1
"Uniform(0,1)",8,PRECiSE-A-CO96,1
"Uniform(0,1)",8,Hedged-CS,1
"Uniform(0,1)",9,Stitched GE,1
"Uniform(0,1)",9,aGRAPA,1
"Uniform(0,1)",9,PRECiSE-A-CO96,1
"Uniform(0,1)",9,Hedged-CS,1
"Uniform(0,1)",10,Stitched GE,1
"Uniform(0,1)",10,aGRAPA,1
"Uniform(0,1)",10,PRECiSE-A-CO96,1
"Uniform(0,1)",10,Hedged-CS,1
"Uniform(0,1)",11,Stitched GE,1
"Uniform(0,1)",11,aGRAPA,1
"Uniform(0,1)",11,PRECiSE-A-CO96,1
"Uniform(0,1)",11,Hedged-CS,1
"Uniform(0,1)",12,Stitched GE,1
"Uniform(0,1)",12,aGRAPA,1
"Uniform(0,1)",12,PRECiSE-A-CO96,1
"Uniform(0,1)",12,Hedged-CS,1
"Uniform(0,1)",13,Stitched GE,1
"Uniform(0,1)",13,aGRAPA,1
"Uniform(0,1)",13,PRECiSE-A-CO96,1
"Uniform(0,1)",13,Hedged-CS,1
"Uniform(0,1)",14,Stitched GE,1
"Uniform(0,1)",14,aGRAPA,1
"Uniform(0,1)",14,PRECiSE-A-CO96,1
"Uniform(0,1)",14,Hedged-CS,1
"Uniform(0,1)",15,Stitched GE,1
"Uniform(0,1)",15,aGRAPA,1
"Uniform(0,1)",15,PRECiSE-A-CO96,1
"Uniform(0,1)",15,Hedged-CS,1
"Uniform(0,1)",16,Stitched GE,1
"Uniform(0,1)",16,aGRAPA,1
"Uniform(0,1)",16,PRECiSE-A-CO96,1
"Uniform(0,1)",16,Hedged-CS,1
"Uniform(0,1)",17,Stitched GE,1
"Uniform(0,1)",17,aGRAPA,1
"Uniform(0,1)",17,PRECiSE-A-CO96,1
"Uniform(0,1)",17,Hedged-CS,1
"Uniform(0,1)",18,Stitched GE,1
"Uniform(0,1)",18,aGRAPA,1
"Uniform(0,1)",18,PRECiSE-A-CO96,1
"Uniform(0,1)",18,Hedged-CS,1
"Uniform(0,1)",19,Stitched GE,1
"Uniform(0,1)",19,aGRAPA,1
"Uniform(0,1)",19,PRECiSE-A-CO96,1
"Uniform(0,1)",19,Hedged-CS,1
"Uniform(0,1)",20,Stitched GE,1
"Uniform(0,1)",20,aGRAPA,1
"Uniform(0,1)",20,PRECiSE-A-CO96,1
"Uniform(0,1)",20,Hedged-CS,1
"Uniform(0,1)",21,Stitched GE,1
"Uniform(0,1)",21,aGRAPA,1
"Uniform(0,1)",21,PRECiSE-A-CO96,1
"Uniform(0,1)",21,Hedged-CS,1
"Uniform(0,1)",22,Stitched GE,1
"Uniform(0,1)",22,aGRAPA,1
"Uniform(0,1)",22,PRECiSE-A-CO96,1
"Uniform(0,1)",22,Hedged-CS,1
"Uniform(0,1)",23,Stitched GE,1
"Uniform(0,1)",23,aGRAPA,1
"Uniform(0,1)",23,PRECiSE-A-CO96,1
"Uniform(0,1)",23,Hedged-CS,1
"Uniform(0,1)",24,Stitched GE,1
"Uniform(0,1)",24,aGRAPA,1
"Uniform(0,1)",24,PRECiSE-A-CO96,1
"Uniform(0,1)",24,Hedged-CS,1
"Uniform(0,1)",25,Stitched GE,1
"Uniform(0,1)",25,aGRAPA,1
"Uniform(0,1)",25,PRECiSE-A-CO96,1
"Uniform(0,1)",25,Hedged-CS,1
"Uniform(0,1)",26,Stitched GE,1
"Uniform(0,1)",26,aGRAPA,1
"Uniform(0,1)",26,PRECiSE-A-CO96,1
"Uniform(0,1)",26,Hedged-CS,1
"Uniform(0,1)",27,Stitched GE,1
"Uniform(0,1)",27,aGRAPA,1
"Uniform(0,1)",27,PRECiSE-A-CO96,1
"Uniform(0,1)",27,Hedged-CS,1
"Uniform(0,1)",28,Stitched GE,1
"Uniform(0,1)",28,aGRAPA,1
"Uniform(0,1)",28,PRECiSE-A-CO96,1
"Uniform(0,1)",28,Hedged-CS,1
"Uniform(0,1)",29,Stitched GE,1
"Uniform(0,1)",29,aGRAPA,1
"Uniform(0,1)",29,PRECiSE-A-CO96,1
"Uniform(0,1)",29,Hedged-CS,1
"Uniform(0,1)",30,Stitched GE,1
"Uniform(0,1)",30,aGRAPA,1
"Uniform(0,1)",30,PRECiSE-A-CO96,1
"Uniform(0,1)",30,Hedged-CS,1
"Uniform(0,1)",31,Stitched GE,1
"Uniform(0,1)",31,aGRAPA,1
"Uniform(0,1)",31,PRECiSE-A-CO96,1
"Uniform(0,1)",31,Hedged-CS,1
"Uniform(0,1)",32,Stitched GE,1
"Uniform(0,1)",32,aGRAPA,1
"Uniform(0,1)",32,PRECiSE-A-CO96,1
"Uniform(0,1)",32,Hedged-CS,1
"Uniform(0,1)",33,Stitched GE,1
"Uniform(0,1)",33,aGRAPA,1
"Uniform(0,1)",33,PRECiSE-A-CO96,1
"Uniform(0,1)",33,Hedged-CS,1
"Uniform(0,1)",34,Stitched GE,1
"Uniform(0,1)",34,aGRAPA,1
"Uniform(0,1)",34,PRECiSE-A-CO96,1
"Uniform(0,1)",34,Hedged-CS,1
"Uniform(0,1)",35,Stitched GE,1
