distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333333333333333,0,10,0.001,Stitched GE,0.2028629183769226,0.8588249087333679,0.6559619903564453,1.8331213319132753
"Uniform(0,1)",0.5,0.08333333333333333,0,20,0.002,Stitched GE,0.3308272361755371,0.7526193857192993,0.4217921495437622,1.6669632540491566
"Uniform(0,1)",0.5,0.08333333333333333,0,40,0.004,Stitched GE,0.32956284284591675,0.594538688659668,0.2649758458137512,1.4809787229866973
"Uniform(0,1)",0.5,0.08333333333333333,0,75,0.0075,Stitched GE,0.36122918128967285,0.5709900856018066,0.2097609043121338,1.6053425417510299
"Uniform(0,1)",0.5,0.08333333333333333,0,125,0.0125,Stitched GE,0.390174925327301,0.5579290986061096,0.1677541732788086,1.6574516789350255
"Uniform(0,1)",0.5,0.08333333333333333,0,200,0.02,Stitched GE,0.4271933436393738,0.5454870462417603,0.11829370260238647,1.4783904880190306
"Uniform(0,1)",0.5,0.08333333333333333,0,350,0.035,Stitched GE,0.44624626636505127,0.5393198132514954,0.09307354688644409,1.5387668549269296
"Uniform(0,1)",0.5,0.08333333333333333,0,500,0.05,Stitched GE,0.4612240195274353,0.5411913394927979,0.07996731996536255,1.5801928041007822
"Uniform(0,1)",0.5,0.08333333333333333,0,1000,0.1,Stitched GE,0.4735283851623535,0.5296642780303955,0.05613589286804199,1.5687479490463885
"Uniform(0,1)",0.5,0.08333333333333333,0,2000,0.2,Stitched GE,0.4804728627204895,0.5192829370498657,0.03881007432937622,1.5338115672367276
"Uniform(0,1)",0.5,0.08333333333333333,0,5000,0.5,Stitched GE,0.49017542600631714,0.5169556140899658,0.02678018808364868,1.6734439137180273
"Uniform(0,1)",0.5,0.08333333333333333,0,10000,1.0,Stitched GE,0.4933817982673645,0.5096038579940796,0.016222059726715088,1.4335687732895293
"Uniform(0,1)",0.5,0.08333333333333333,0,10,0.001,aGRAPA,0.2457668389029466,0.8058595017019854,0.5600926627990388,1.5652093004155858
"Uniform(0,1)",0.5,0.08333333333333333,0,20,0.002,aGRAPA,0.3622379985022063,0.7068677335348534,0.34462973503264716,1.3620099500986933
"Uniform(0,1)",0.5,0.08333333333333333,0,40,0.004,aGRAPA,0.3399527286254233,0.5865306701813721,0.24657794155594875,1.3781508419408777
"Uniform(0,1)",0.5,0.08333333333333333,0,75,0.0075,aGRAPA,0.375579223109814,0.5656623382786594,0.1900831151688454,1.454744449399556
"Uniform(0,1)",0.5,0.08333333333333333,0,125,0.0125,aGRAPA,0.40055188759271165,0.5554724783084488,0.15492059071573716,1.5306527889273152
"Uniform(0,1)",0.5,0.08333333333333333,0,200,0.02,aGRAPA,0.4276398323286446,0.55073111397217,0.1230912816435254,1.5383488379895232
"Uniform(0,1)",0.5,0.08333333333333333,0,350,0.035,aGRAPA,0.44238317479986544,0.5397926717322946,0.09740949693242917,1.610452274023733
"Uniform(0,1)",0.5,0.08333333333333333,0,500,0.05,aGRAPA,0.45917740801752155,0.544994157675101,0.0858167496575794,1.6957803555122613
"Uniform(0,1)",0.5,0.08333333333333333,0,1000,0.1,aGRAPA,0.47081969215616026,0.5349683786901361,0.06414868653397587,1.7926698105746972
"Uniform(0,1)",0.5,0.08333333333333333,0,2000,0.2,aGRAPA,0.4753539886461032,0.5221409620579353,0.04678697341183208,1.849066312164898
"Uniform(0,1)",0.5,0.08333333333333333,0,5000,0.5,aGRAPA,0.4879551301742906,0.5187180989683212,0.03076296879403062,1.9223204383579597
"Uniform(0,1)",0.5,0.08333333333333333,0,10000,1.0,aGRAPA,0.48924084211135915,0.5115909420538639,0.022350099942504753,1.9751132653462984
"Uniform(0,1)",0.5,0.08333333333333333,0,10,0.001,PRECiSE-A-CO96,0.12088770970392915,0.9024897468428474,0.7816020371389183,2.1842292517096378
"Uniform(0,1)",0.5,0.08333333333333333,0,20,0.002,PRECiSE-A-CO96,0.21341214276044157,0.842424390283358,0.6290122475229165,2.4859170662653245
"Uniform(0,1)",0.5,0.08333333333333333,0,40,0.004,PRECiSE-A-CO96,0.2471376140939558,0.6661774384382124,0.41903982434425663,2.3420589979893216
"Uniform(0,1)",0.5,0.08333333333333333,0,75,0.0075,PRECiSE-A-CO96,0.32278224638681674,0.6104486822382,0.2876664358513833,2.201569300153927
"Uniform(0,1)",0.5,0.08333333333333333,0,125,0.0125,PRECiSE-A-CO96,0.36905035203902314,0.5842140232455467,0.21516367120652358,2.1258689492890634
"Uniform(0,1)",0.5,0.08333333333333333,0,200,0.02,PRECiSE-A-CO96,0.4077096016093455,0.5693742253340052,0.16166462372465967,2.0204240522173906
"Uniform(0,1)",0.5,0.08333333333333333,0,350,0.035,PRECiSE-A-CO96,0.43024502491655814,0.5512231795398042,0.12097815462324601,2.0001083093094127
