distribution,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
"Uniform(0,1)",10,0.001,Stitched GE,1.7835242011243597,0.026992528653018922,40
"Uniform(0,1)",20,0.002,Stitched GE,1.6374287332620283,0.026124804044687835,40
"Uniform(0,1)",40,0.004,Stitched GE,1.560483782305647,0.02111133362384636,40
"Uniform(0,1)",75,0.0075,Stitched GE,1.5743532552060444,0.019078474996658535,40
"Uniform(0,1)",125,0.0125,Stitched GE,1.5730476390540837,0.015302481078591708,40
"Uniform(0,1)",200,0.02,Stitched GE,1.5444612361652132,0.012851863617949622,40
"Uniform(0,1)",350,0.035,Stitched GE,1.562318827625099,0.009823868158737589,40
"Uniform(0,1)",500,0.05,Stitched GE,1.542725518247026,0.01191517906309279,40
"Uniform(0,1)",1000,0.1,Stitched GE,1.5593193441927489,0.011725190155041266,40
"Uniform(0,1)",2000,0.2,Stitched GE,1.55596994726789,0.011370635764645231,40
"Uniform(0,1)",5000,0.5,Stitched GE,1.5913223549991624,0.01603496261974278,40
"Uniform(0,1)",10000,1.0,Stitched GE,1.5204075832197734,0.017746465386041268,40
"Uniform(0,1)",10,0.001,aGRAPA,1.5635957495374773,0.020799540612289343,40
"Uniform(0,1)",20,0.002,aGRAPA,1.4109806067090056,0.019615924430960777,40
"Uniform(0,1)",40,0.004,aGRAPA,1.3882076202692584,0.018980795058409997,40
"Uniform(0,1)",75,0.0075,aGRAPA,1.45152879838095,0.015725178988944166,40
"Uniform(0,1)",125,0.0125,aGRAPA,1.5111613451984467,0.011460548620438101,40
"Uniform(0,1)",200,0.02,aGRAPA,1.558468242484281,0.009906020803248573,40
"Uniform(0,1)",350,0.035,aGRAPA,1.608667028388822,0.009032221282217182,40
"Uniform(0,1)",500,0.05,aGRAPA,1.6523288115739327,0.008647043178551136,40
"Uniform(0,1)",1000,0.1,aGRAPA,1.7224620552739416,0.00927490716459357,40
"Uniform(0,1)",2000,0.2,aGRAPA,1.7866008559422617,0.009197661283547189,40
"Uniform(0,1)",5000,0.5,aGRAPA,1.8603129003926129,0.008254896667272317,40
"Uniform(0,1)",10000,1.0,aGRAPA,1.9113204214133261,0.008326657957664652,40
"Uniform(0,1)",10,0.001,PRECiSE-A-CO96,2.1599834371015527,0.004927726471215922,40
"Uniform(0,1)",20,0.002,PRECiSE-A-CO96,2.460699863699213,0.006585023480096159,40
"Uniform(0,1)",40,0.004,PRECiSE-A-CO96,2.336399206059613,0.023986671518584277,40
"Uniform(0,1)",75,0.0075,PRECiSE-A-CO96,2.2047650407301047,0.01651534293465446,40
"Uniform(0,1)",125,0.0125,PRECiSE-A-CO96,2.1318257544084496,0.01216148344725945,40
"Uniform(0,1)",200,0.02,PRECiSE-A-CO96,2.082245197560912,0.008836917710391497,40
"Uniform(0,1)",350,0.035,PRECiSE-A-CO96,2.0425233728009573,0.00622402859942291,40
"Uniform(0,1)",500,0.05,PRECiSE-A-CO96,2.040840624280947,0.004290409061865768,40
"Uniform(0,1)",1000,0.1,PRECiSE-A-CO96,2.0433151010217485,0.004076906546052515,40
"Uniform(0,1)",2000,0.2,PRECiSE-A-CO96,2.057802836882312,0.0028635833859603876,40
"Uniform(0,1)",5000,0.5,PRECiSE-A-CO96,2.084376757925016,0.00217826665106266,40
"Uniform(0,1)",10000,1.0,PRECiSE-A-CO96,2.1113003439628266,0.0013520208075396031,40
"Uniform(0,1)",10,0.001,Hedged-CS,1.5255608412338315,0.013410708568719168,40
"Uniform(0,1)",20,0.002,Hedged-CS,1.450845276207397,0.019952793920633732,40
"Uniform(0,1)",40,0.004,Hedged-CS,1.4007655980132587,0.021637812597696152,40
"Uniform(0,1)",75,0.0075,Hedged-CS,1.419245715920604,0.02146017593722714,40
"Uniform(0,1)",125,0.0125,Hedged-CS,1.446418390969872,0.01857695837612062,40
"Uniform(0,1)",200,0.02,Hedged-CS,1.4853611752371965,0.01652182710638038,40
"Uniform(0,1)",350,0.035,Hedged-CS,1.5607922210010952,0.014796407171650339,40
"Uniform(0,1)",500,0.05,Hedged-CS,1.5996511280889247,0.014381147959591271,40
"Uniform(0,1)",1000,0.1,Hedged-CS,1.707719304959974,0.01242255302214518,40
"Uniform(0,1)",2000,0.2,Hedged-CS,1.8520697232947092,0.009316445537762313,40
"Uniform(0,1)",5000,0.5,Hedged-CS,2.037173082938871,0.007501545222904551,40
"Uniform(0,1)",10000,1.0,Hedged-CS,2.1709166529126547,0.00761869912332459,40
"Beta(0.5,0.5)",10,0.001,Stitched GE,1.664300701685455,0.026715329629966814,40
"Beta(0.5,0.5)",20,0.002,Stitched GE,1.5876861171236911,0.020123088739482826,40
"Beta(0.5,0.5)",40,0.004,Stitched GE,1.5429596118810813,0.019382499051388554,40
"Beta(0.5,0.5)",75,0.0075,Stitched GE,1.5597555280864577,0.016846123449099963,40
"Beta(0.5,0.5)",125,0.0125,Stitched GE,1.5445143471149272,0.016897012999501977,40
"Beta(0.5,0.5)",200,0.02,Stitched GE,1.5380479653513113,0.016487314897638463,40
"Beta(0.5,0.5)",350,0.035,Stitched GE,1.543958578328931,0.013167302340599998,40
"Beta(0.5,0.5)",500,0.05,Stitched GE,1.5253490114219361,0.0165534704369113,40
"Beta(0.5,0.5)",1000,0.1,Stitched GE,1.574477234290729,0.01098413379203883,40
"Beta(0.5,0.5)",2000,0.2,Stitched GE,1.5286979047463258,0.01748618269617828,40
"Beta(0.5,0.5)",5000,0.5,Stitched GE,1.6001953123983306,0.012155180530033114,40
"Beta(0.5,0.5)",10000,1.0,Stitched GE,1.5325683187790955,0.018541555633275263,40
"Beta(0.5,0.5)",10,0.001,aGRAPA,1.47290550047647,0.02122956959409414,40
"Beta(0.5,0.5)",20,0.002,aGRAPA,1.3871049103688418,0.01645181626416838,40
"Beta(0.5,0.5)",40,0.004,aGRAPA,1.412063237937168,0.014868301325406789,40
"Beta(0.5,0.5)",75,0.0075,aGRAPA,1.4840412898800412,0.011664868480857755,40
"Beta(0.5,0.5)",125,0.0125,aGRAPA,1.5399845810485462,0.011477655731494675,40
"Beta(0.5,0.5)",200,0.02,aGRAPA,1.5965357626547791,0.00963157210454378,40
"Beta(0.5,0.5)",350,0.035,aGRAPA,1.6592720366875509,0.008335404541313709,40
"Beta(0.5,0.5)",500,0.05,aGRAPA,1.6979491313388053,0.0072664914941691135,40
"Beta(0.5,0.5)",1000,0.1,aGRAPA,1.7646441520921592,0.007546661153999386,40
"Beta(0.5,0.5)",2000,0.2,aGRAPA,1.8271755444515407,0.007547163896570442,40
"Beta(0.5,0.5)",5000,0.5,aGRAPA,1.9012922147698241,0.007070156067962702,40
"Beta(0.5,0.5)",10000,1.0,aGRAPA,1.9503991289875338,0.006855035933582843,40
"Beta(0.5,0.5)",10,0.001,PRECiSE-A-CO96,1.7494367444261187,0.007833907107112622,40
"Beta(0.5,0.5)",20,0.002,PRECiSE-A-CO96,2.019783029366679,0.0030456427957383007,40
"Beta(0.5,0.5)",40,0.004,PRECiSE-A-CO96,2.1817035872220907,0.011379774285519255,40
"Beta(0.5,0.5)",75,0.0075,PRECiSE-A-CO96,2.1315688829905532,0.011849401512870788,40
"Beta(0.5,0.5)",125,0.0125,PRECiSE-A-CO96,2.0679500267879205,0.010631676102656407,40
"Beta(0.5,0.5)",200,0.02,PRECiSE-A-CO96,2.0397659746574965,0.007748917099012841,40
"Beta(0.5,0.5)",350,0.035,PRECiSE-A-CO96,2.022016724459208,0.0052339189488215905,40
"Beta(0.5,0.5)",500,0.05,PRECiSE-A-CO96,2.0197524014601944,0.0039321735557760916,40
"Beta(0.5,0.5)",1000,0.1,PRECiSE-A-CO96,2.0222844412804166,0.002608883649288845,40
"Beta(0.5,0.5)",2000,0.2,PRECiSE-A-CO96,2.041082325505088,0.002302100362416058,40
"Beta(0.5,0.5)",5000,0.5,PRECiSE-A-CO96,2.074577674595735,0.0013753105705136223,40
"Beta(0.5,0.5)",10000,1.0,PRECiSE-A-CO96,2.103632751195795,0.0011615192730002218,40
"Beta(0.5,0.5)",10,0.001,Hedged-CS,1.3825800681543983,0.01660099698643195,40
"Beta(0.5,0.5)",20,0.002,Hedged-CS,1.3843748041212571,0.019329949243948197,40
"Beta(0.5,0.5)",40,0.004,Hedged-CS,1.3855197765991738,0.02164559276997586,40
"Beta(0.5,0.5)",75,0.0075,Hedged-CS,1.4298013024011536,0.01982291808140911,40
"Beta(0.5,0.5)",125,0.0125,Hedged-CS,1.4814958624451275,0.016786193037426754,40
"Beta(0.5,0.5)",200,0.02,Hedged-CS,1.5434095624905295,0.014759999437745577,40
"Beta(0.5,0.5)",350,0.035,Hedged-CS,1.6195222995136063,0.014007309376063391,40
"Beta(0.5,0.5)",500,0.05,Hedged-CS,1.6713671363247034,0.014284319933215385,40
"Beta(0.5,0.5)",1000,0.1,Hedged-CS,1.8077026474689757,0.012261153037773122,40
"Beta(0.5,0.5)",2000,0.2,Hedged-CS,1.9408461217912638,0.009921884166792414,40
"Beta(0.5,0.5)",5000,0.5,Hedged-CS,2.142382732809906,0.006447578793470064,40
"Beta(0.5,0.5)",10000,1.0,Hedged-CS,2.2885768984372454,0.008159834970870038,40
Bernoulli(0.1),10,0.001,Stitched GE,1.511011617724639,0.05683414285443741,40
Bernoulli(0.1),20,0.002,Stitched GE,1.5485783731077003,0.06604228840513413,40
Bernoulli(0.1),40,0.004,Stitched GE,1.6495474990006394,0.059428737087137105,40
Bernoulli(0.1),75,0.0075,Stitched GE,1.6896201205882455,0.04543889768491997,40
Bernoulli(0.1),125,0.0125,Stitched GE,1.630345900773166,0.03165161622790792,40
Bernoulli(0.1),200,0.02,Stitched GE,1.6092962565096158,0.03022115401650155,40
Bernoulli(0.1),350,0.035,Stitched GE,1.5673030883418235,0.026340968652033458,40
Bernoulli(0.1),500,0.05,Stitched GE,1.5541386215093402,0.029439061747808703,40
Bernoulli(0.1),1000,0.1,Stitched GE,1.5341643763138832,0.029746222360381876,40
Bernoulli(0.1),2000,0.2,Stitched GE,1.5305335111197556,0.027433536160680207,40
Bernoulli(0.1),5000,0.5,Stitched GE,1.5582874004324403,0.03371758077335089,40
Bernoulli(0.1),10000,1.0,Stitched GE,1.4998213242540779,0.040869871994025045,40
Bernoulli(0.1),10,0.001,aGRAPA,1.4435946969510485,0.03760169548978265,40
Bernoulli(0.1),20,0.002,aGRAPA,1.4442661069828397,0.04332848682325113,40
Bernoulli(0.1),40,0.004,aGRAPA,1.4678149036858728,0.04205926451342672,40
Bernoulli(0.1),75,0.0075,aGRAPA,1.4858775714605714,0.03560940071125517,40
Bernoulli(0.1),125,0.0125,aGRAPA,1.467594918038184,0.030051273992297255,40
Bernoulli(0.1),200,0.02,aGRAPA,1.5117884299243165,0.025789234746208034,40
Bernoulli(0.1),350,0.035,aGRAPA,1.5663932393737185,0.021805136919480595,40
Bernoulli(0.1),500,0.05,aGRAPA,1.659057830899919,0.023761433394078244,40
Bernoulli(0.1),1000,0.1,aGRAPA,1.7545867875248562,0.025885206086055584,40
Bernoulli(0.1),2000,0.2,aGRAPA,1.8854121287193735,0.027752051687173717,40
Bernoulli(0.1),5000,0.5,aGRAPA,1.9105379135821514,0.032765410197911495,40
Bernoulli(0.1),10000,1.0,aGRAPA,1.9222910735693712,0.028731742769316133,40
Bernoulli(0.1),10,0.001,PRECiSE-A-CO96,1.4041965278424686,0.05076491188876197,40
Bernoulli(0.1),20,0.002,PRECiSE-A-CO96,1.4812138173184608,0.05778674082786583,40
Bernoulli(0.1),40,0.004,PRECiSE-A-CO96,1.6092840704503797,0.05128321857533857,40
Bernoulli(0.1),75,0.0075,PRECiSE-A-CO96,1.7185153873457728,0.042541637855399196,40
Bernoulli(0.1),125,0.0125,PRECiSE-A-CO96,1.7380051732888941,0.0327908169490579,40
Bernoulli(0.1),200,0.02,PRECiSE-A-CO96,1.7944370056391459,0.023774265303379873,40
Bernoulli(0.1),350,0.035,PRECiSE-A-CO96,1.8147688252684635,0.017119445454843635,40
Bernoulli(0.1),500,0.05,PRECiSE-A-CO96,1.8556589311904284,0.013941974375473277,40
Bernoulli(0.1),1000,0.1,PRECiSE-A-CO96,1.8850479840494898,0.010613295253693268,40
Bernoulli(0.1),2000,0.2,PRECiSE-A-CO96,1.9502344387617623,0.007777861810535886,40
Bernoulli(0.1),5000,0.5,PRECiSE-A-CO96,2.013311256749649,0.005752579811419892,40
Bernoulli(0.1),10000,1.0,PRECiSE-A-CO96,2.056809207793985,0.004660720588909882,40
Bernoulli(0.1),10,0.001,Hedged-CS,1.4679109978447706,0.031273214637691865,40
Bernoulli(0.1),20,0.002,Hedged-CS,1.4486700648314472,0.04202166539371693,40
Bernoulli(0.1),40,0.004,Hedged-CS,1.4307807194192712,0.03900661493531765,40
Bernoulli(0.1),75,0.0075,Hedged-CS,1.4269116588083317,0.03618481681590154,40
Bernoulli(0.1),125,0.0125,Hedged-CS,1.4543344061751005,0.03495574375161608,40
Bernoulli(0.1),200,0.02,Hedged-CS,1.4959045817994006,0.036671070603057444,40
Bernoulli(0.1),350,0.035,Hedged-CS,1.5643868470457787,0.03193760641883404,40
Bernoulli(0.1),500,0.05,Hedged-CS,1.6180419353904636,0.03238268547297604,40
Bernoulli(0.1),1000,0.1,Hedged-CS,1.730929359751856,0.03157120457588586,40
Bernoulli(0.1),2000,0.2,Hedged-CS,1.8653225704571263,0.032615119453363456,40
Bernoulli(0.1),5000,0.5,Hedged-CS,2.047406891573213,0.03916439645956811,40
