distribution,n,repetition,order_index,width,scaled_midpoint
"Beta(1,5)",50,0,0,0.1523757530376315,0.11515486135800831
"Beta(1,5)",50,0,1,0.16745033394545317,0.06609064157892855
"Beta(1,5)",50,0,2,0.15152823273092508,0.07716452846181357
"Beta(1,5)",50,0,3,0.14381983783096075,0.16297983208196617
"Beta(1,5)",50,0,4,0.16614635568112135,0.07198614274863241
"Beta(1,5)",50,0,5,0.14670751336961985,0.146115435780285
"Beta(1,5)",50,0,6,0.16075125709176064,0.09405511178585468
"Beta(1,5)",50,0,7,0.16133236791938543,0.07310574085209891
"Beta(1,5)",50,1,0,0.14726012479513884,0.12951797668122714
"Beta(1,5)",50,1,1,0.14069425035268068,0.16342822463831908
"Beta(1,5)",50,1,2,0.14536445308476686,0.13858249280502005
"Beta(1,5)",50,1,3,0.15552778542041779,0.08210536347911028
"Beta(1,5)",50,1,4,0.13081297650933266,0.15851445857205806
"Beta(1,5)",50,1,5,0.14858853071928024,0.13845176842746293
"Beta(1,5)",50,1,6,0.14233253058046103,0.13215110104194525
"Beta(1,5)",50,1,7,0.14752612076699734,0.10855444704054974
"Beta(1,5)",50,2,0,0.1551912957802415,0.22223184344063274
"Beta(1,5)",50,2,1,0.14620512258261442,0.2705123162298721
"Beta(1,5)",50,2,2,0.1433197120204568,0.234009115127049
"Beta(1,5)",50,2,3,0.14747502375394106,0.25037656057211627
"Beta(1,5)",50,2,4,0.1510829385370016,0.24491537938359464
"Beta(1,5)",50,2,5,0.16344882268458605,0.20284860659214876
"Beta(1,5)",50,2,6,0.14916076231747866,0.19479964512500617
"Beta(1,5)",50,2,7,0.13309922814369202,0.2602897594669592
"Beta(1,5)",50,3,0,0.12087208591401577,0.11201136314099056
"Beta(1,5)",50,3,1,0.11412697657942772,0.1425099290782469
"Beta(1,5)",50,3,2,0.11251804418861866,0.1543214319081881
"Beta(1,5)",50,3,3,0.12190827075392008,0.1341127259825605
"Beta(1,5)",50,3,4,0.12056674808263779,0.1187645197506657
"Beta(1,5)",50,3,5,0.11719184275716543,0.1418533437401754
"Beta(1,5)",50,3,6,0.11550107598304749,0.13482530736014572
"Beta(1,5)",50,3,7,0.12050571944564581,0.12144358746898322
"Beta(1,5)",50,4,0,0.1536356220021844,0.12373041535399534
"Beta(1,5)",50,4,1,0.13566267024725676,0.17534540191762488
"Beta(1,5)",50,4,2,0.14058845955878496,0.12819688811226684
"Beta(1,5)",50,4,3,0.13747061137109995,0.18837190619390407
"Beta(1,5)",50,4,4,0.14215763751417398,0.18635710244262108
"Beta(1,5)",50,4,5,0.145748695358634,0.14712291397247113
"Beta(1,5)",50,4,6,0.12795691192150116,0.1942628930410057
"Beta(1,5)",50,4,7,0.15149359311908484,0.1119298575337768
"Beta(1,5)",50,5,0,0.13670629914849997,0.0692201798060767
"Beta(1,5)",50,5,1,0.1348968083038926,0.08189006906039308
"Beta(1,5)",50,5,2,0.12747428566217422,0.11104729508017751
"Beta(1,5)",50,5,3,0.14433593302965164,0.05287961285510275
"Beta(1,5)",50,5,4,0.12641651183366776,0.11806109702066714
