distribution,n,repetition,width_range,width_sd,scaled_midpoint_range,scaled_midpoint_sd
Bernoulli(0.5),50,0,0.005163252353668213,0.0022051119411316375,0.18221589361093754,0.061502610212053506
Bernoulli(0.5),50,1,0.03423423878848553,0.011185843488347143,0.1968714822420066,0.0659293698642224
Bernoulli(0.5),50,2,0.004756303504109383,0.0019078520560785938,0.13470320139994252,0.04598663413257455
Bernoulli(0.5),50,3,0.016653274185955524,0.0057210821543268705,0.20175458318325337,0.0692332894318356
Bernoulli(0.5),50,4,0.0076271649450063705,0.002688568686602372,0.11734715881765923,0.04048790677999663
Bernoulli(0.5),50,5,0.026239417493343353,0.009189591754119516,0.1272616649233505,0.04831016120386936
Bernoulli(0.5),50,6,0.0028099138289690018,0.0009080195705619333,0.09420164731690238,0.03414830519201686
Bernoulli(0.5),50,7,0.005775465629994869,0.002230693119931254,0.14352875806356885,0.052343081023857624
Bernoulli(0.5),50,8,0.0070008691400289536,0.0020769565673545484,0.14640990016416086,0.047483198331993735
Bernoulli(0.5),50,9,0.06870737113058567,0.02302156435805163,0.11975127103300381,0.04783373011860732
Bernoulli(0.5),200,0,0.002688370645046234,0.0009709757022971367,0.08413182019628083,0.031924460805006855
Bernoulli(0.5),200,1,0.0011907918378710747,0.0004141167468181095,0.08800910635415038,0.03829674852427095
Bernoulli(0.5),200,2,0.00605599582195282,0.00186574485880564,0.10292463238068782,0.03110472873832357
Bernoulli(0.5),200,3,0.002772068604826927,0.0008607171627050671,0.06121854770898662,0.021356641001707654
Bernoulli(0.5),200,4,0.0032393410801887512,0.0011531058842285816,0.07367498293193055,0.02613786872161793
Bernoulli(0.5),200,5,0.0009794263169169426,0.00032796990781313673,0.06421212640614907,0.025008563220317987
Bernoulli(0.5),200,6,0.002968895249068737,0.001132614216974243,0.07605099176039695,0.026497924433322266
Bernoulli(0.5),200,7,0.0013999463990330696,0.00048406086148180036,0.08511328858919796,0.0273299326956977
Bernoulli(0.5),200,8,0.0034321649000048637,0.001113033883237874,0.06069683557887255,0.019352987751577268
Bernoulli(0.5),200,9,0.0032201427966356277,0.0011431243030781456,0.052020999009136135,0.019976709282591803
Bernoulli(0.5),1000,0,0.00037470273673534393,0.00013260249863757494,0.023082696950058733,0.009082670781599767
Bernoulli(0.5),1000,1,0.0002258792519569397,7.530846370330071e-05,0.02629033851267713,0.01021744813578031
