distribution,n,repetition,plus_violations,minus_violations,max_plus_increase,max_minus_decrease
"Beta(1,5)",50,0,9,37,0.020034066754398117,0.007706523645549357
"Beta(1,5)",50,1,10,38,0.014310504050670803,0.016622858630372717
"Beta(1,5)",50,2,6,37,0.009810231934441527,0.019976208584724153
"Beta(1,5)",50,3,9,42,0.018928052185353428,0.00842185804296225
"Beta(1,5)",50,4,8,40,0.013635111487210638,0.024688172640915163
"Beta(1,5)",50,5,12,34,0.018488813148283878,0.014979965541188411
"Beta(1,5)",50,6,9,32,0.00623421526796597,0.013554585174945233
"Beta(1,5)",50,7,12,34,0.013322042504346987,0.013592605101530486
"Beta(1,5)",50,8,10,38,0.007384281309032126,0.0168034620121722
"Beta(1,5)",50,9,10,40,0.015027674499005661,0.00745105544256508
"Beta(1,5)",200,0,13,42,0.008762461990397208,0.000356691682875665
"Beta(1,5)",200,1,12,41,0.009260199207054676,8.33117670016037e-05
"Beta(1,5)",200,2,13,42,0.037695003560925366,0.00035922795002218955
"Beta(1,5)",200,3,10,38,0.03387487130599509,0.00036325661734615267
"Beta(1,5)",200,4,11,41,0.02752243084019823,0.003141203472681653
"Beta(1,5)",200,5,12,39,0.005279627142598331,0.0021425076519987485
"Beta(1,5)",200,6,14,38,0.019377900899505196,0.0005359461976575108
"Beta(1,5)",200,7,11,40,0.02125161795917241,8.99892429147009e-05
"Beta(1,5)",200,8,11,35,0.0062784844171910326,0.00010315202029076431
"Beta(1,5)",200,9,14,38,0.0033894950817783265,0.00013691361467782492
"Beta(1,5)",1000,0,8,1,0.012699528820399486,4.759488358985209e-09
"Beta(1,5)",1000,1,8,6,0.006263343998876847,2.0814807655256118e-09
"Beta(1,5)",1000,2,9,6,0.0009726198936239605,7.298359388840936e-06
"Beta(1,5)",1000,3,6,6,0.004028195070042484,1.522914148122112e-07
"Beta(1,5)",1000,4,6,5,0.0008146328159557292,1.4344073862027074e-06
"Beta(1,5)",1000,5,4,4,5.282214370350147e-06,3.0670761486106812e-09
"Beta(1,5)",1000,6,8,5,9.953145287666665e-05,0.0006326361442192674
"Beta(1,5)",1000,7,8,3,0.0002177285191087286,0.00014179663899693828
"Beta(1,5)",1000,8,5,6,3.177555474942473e-05,4.367364615065483e-06
"Beta(1,5)",1000,9,12,1,0.0013198752342278297,5.694005812850733e-06
"Beta(1,5)",5000,0,1,1,1.7610846114735068e-10,4.739616712878814e-06
"Beta(1,5)",5000,1,0,0,3.9901415505028126e-13,2.220446049250313e-16
"Beta(1,5)",5000,2,0,0,2.481259642195255e-11,2.220446049250313e-16
"Beta(1,5)",5000,3,1,0,4.252971188112298e-06,2.220446049250313e-16
"Beta(1,5)",5000,4,0,0,9.092726571680032e-13,-0.0
"Beta(1,5)",5000,5,0,0,1.1490586260265445e-11,2.220446049250313e-16
"Beta(1,5)",5000,6,0,0,1.580957587066223e-13,2.220446049250313e-16
"Beta(1,5)",5000,7,1,0,3.1661695487628094e-10,2.220446049250313e-16
"Beta(1,5)",5000,8,0,0,3.1041835768519377e-13,2.220446049250313e-16
"Beta(1,5)",5000,9,1,0,2.027333478871185e-08,6.661338147750939e-15
Bernoulli(0.5),50,0,24,30,0.03940782773832674,0.026473411286356052
Bernoulli(0.5),50,1,22,28,0.02388692007239701,0.03314790585407046
Bernoulli(0.5),50,2,26,28,0.035368602785443626,0.026156659609900546
Bernoulli(0.5),50,3,20,26,0.026074647088566216,0.029054464937736002
