distribution,n,repetition,method,lower,upper,empty,width,scaled_width,normalized_width
"Beta(1,5)",50,0,Chronological GE,0.10921993432566524,0.27230310114100575,False,0.16308316681534052,1.1531721315250423,1.5891406292372767
"Beta(1,5)",50,0,Permutation-integrated GE (randomized),0.12296131053487883,0.2719452128929696,False,0.14898390235809075,1.0534752764504045,1.4517523602398594
"Beta(1,5)",50,1,Chronological GE,0.1306910696439445,0.27298662764951587,False,0.14229555800557137,1.0061815399846323,1.3865787438545878
"Beta(1,5)",50,1,Permutation-integrated GE (randomized),0.1320796858188637,0.2737355291639266,False,0.14165584334506293,1.0016580742399326,1.3803451357024736
"Beta(1,5)",50,2,Chronological GE,0.13610043609514832,0.25485893385484815,False,0.11875849775969982,0.8397493908941116,1.1572252216000667
"Beta(1,5)",50,2,Permutation-integrated GE (randomized),0.12198672471839428,0.2698550357317686,False,0.14786831101337433,1.0455868544015845,1.4408816396981026
"Beta(1,5)",50,3,Chronological GE,0.12828931445255876,0.24212597543373704,False,0.11383666098117828,0.8049467492742522,1.1092650859958864
"Beta(1,5)",50,3,Permutation-integrated GE (randomized),0.1264905220228792,0.24124942727771398,False,0.11475890525483479,0.811468001072382,1.1182517636154623
"Beta(1,5)",50,4,Chronological GE,0.1309222993440926,0.2731179413385689,False,0.14219564199447632,1.0054750270946882,1.385605126553409
"Beta(1,5)",50,4,Permutation-integrated GE (randomized),0.13440613397881218,0.27346512119287836,False,0.13905898721406618,0.983295528439996,1.3550404419892126
"Beta(1,5)",50,5,Chronological GE,0.10774613777175546,0.24413846945390105,False,0.1363923316821456,0.9644394263428995,1.3290555979816538
"Beta(1,5)",50,5,Permutation-integrated GE (randomized),0.10872820422047028,0.2444833452129322,False,0.13575514099246191,0.9599338077670568,1.322846584302795
"Beta(1,5)",50,6,Chronological GE,0.13449916103854775,0.2968979771248996,False,0.16239881608635187,1.148333041113264,1.5824720712903033
"Beta(1,5)",50,6,Permutation-integrated GE (randomized),0.14131376560847508,0.29531516190979223,False,0.15400139630131715,1.0889543163685826,1.5006446134247724
"Beta(1,5)",50,7,Chronological GE,0.13656372530385852,0.22311311261728406,False,0.08654938731342554,0.6119965867686414,0.8433681446172415
"Beta(1,5)",50,7,Permutation-integrated GE (randomized),0.1411975925645573,0.22238717928603624,False,0.08118958672147894,0.5740970733249103,0.7911403331784514
"Beta(1,5)",50,8,Chronological GE,0.13913664547726512,0.28485512593761086,False,0.14571848046034575,1.030385256777099,1.4199329228899369
"Beta(1,5)",50,8,Permutation-integrated GE (randomized),0.12834644664684247,0.2849913038497951,False,0.15664485720295263,1.107646407662062,1.5264034406699272
"Beta(1,5)",50,9,Chronological GE,0.0958988475613296,0.24496482172980905,False,0.14906597416847944,1.0540556117871054,1.4525520972755732
"Beta(1,5)",50,9,Permutation-integrated GE (randomized),0.08505542994421914,0.24183435326075964,False,0.1567789233165405,1.1085943982425153,1.527709828767895
"Beta(1,5)",50,10,Chronological GE,0.11971450923010707,0.25557791581377387,False,0.1358634065836668,0.9606993611041582,1.3239015628949564
"Beta(1,5)",50,10,Permutation-integrated GE (randomized),0.10265427854300324,0.26686647217505965,False,0.1642121936320564,1.161155556707455,1.600142269817222
"Beta(1,5)",50,11,Chronological GE,0.11959364311769605,0.2312527080066502,False,0.11165906488895416,0.7895488196392823,1.0880458118562077
"Beta(1,5)",50,11,Permutation-integrated GE (randomized),0.12285730109282213,0.23025136204498342,False,0.1073940609521613,0.7593906875843467,1.0464860900764064
"Beta(1,5)",50,12,Chronological GE,0.1298632468096912,0.29459588089957833,False,0.16473263408988714,1.1648356264768143,1.60521362753481
"Beta(1,5)",50,12,Permutation-integrated GE (randomized),0.1327063030511852,0.293627319499672,False,0.16092101644848683,1.13788341966157,1.5680718637626765
"Beta(1,5)",50,13,Chronological GE,0.12944361893460155,0.2334183626808226,False,0.10397474374622107,0.7352124637508649,1.0131670418734586
"Beta(1,5)",50,13,Permutation-integrated GE (randomized),0.12270008163254245,0.2319213206059504,False,0.10922123897340794,0.7723107872769318,1.0642907653664084
"Beta(1,5)",50,14,Chronological GE,0.09187535149976611,0.2305703074671328,False,0.1386949559673667,0.9807214388089461,1.3514931914928014
"Beta(1,5)",50,14,Permutation-integrated GE (randomized),0.09112688040672312,0.22949265078931436,False,0.13836577038259124,0.9783937452163102,1.3482854895727236
"Beta(1,5)",50,15,Chronological GE,0.09813181171193719,0.22132951160892844,False,0.12319769989699125,0.8711392902374775,1.2004823928675012
"Beta(1,5)",50,15,Permutation-integrated GE (randomized),0.1088557732097766,0.22001106767757223,False,0.11115529446779562,0.7859866248296582,1.0831368929303353
"Beta(1,5)",50,16,Chronological GE,0.10868362290784717,0.17467386974021792,False,0.06599024683237076,0.4666215102734345,0.6430325362363052
"Beta(1,5)",50,16,Permutation-integrated GE (randomized),0.10390797636011351,0.17503364735637233,False,0.07112567099625883,0.5029344427789796,0.6930739436149221
"Beta(1,5)",50,17,Chronological GE,0.08611717959865928,0.23469679383561015,False,0.14857961423695087,1.0506165277302926,1.44781283237952
"Beta(1,5)",50,17,Permutation-integrated GE (randomized),0.09169300825517912,0.23537113603192905,False,0.14367812777674993,1.0159577845912713,1.4000509975459998
"Beta(1,5)",50,18,Chronological GE,0.10329242283478379,0.2128847143612802,False,0.10959229152649641,0.7749345250415862,1.0679064339802193
"Beta(1,5)",50,18,Permutation-integrated GE (randomized),0.11361674265404004,0.21232112698137812,False,0.09870438432733808,0.6979453949070394,0.9618107771725546
"Beta(1,5)",50,19,Chronological GE,0.15226619457826018,0.28500628052279353,False,0.13274008594453335,0.9386141490666465,1.2934668109661913
"Beta(1,5)",50,19,Permutation-integrated GE (randomized),0.150593127331462,0.28662868506250927,False,0.13603555773104728,0.9619166535411761,1.3255790651658186
"Beta(1,5)",50,20,Chronological GE,0.10304822726175189,0.27084168745204806,False,0.16779346019029617,1.1864789353931344,1.635039410355777
"Beta(1,5)",50,20,Permutation-integrated GE (randomized),0.08365677251505307,0.2687291990505816,False,0.18507242653552855,1.308659678139214,1.8034118303096027
"Beta(1,5)",50,21,Chronological GE,0.09382887789979577,0.18613424943760037,False,0.0923053715378046,0.6526975415432538,0.8994565108835579
"Beta(1,5)",50,21,Permutation-integrated GE (randomized),0.07199140106840403,0.18419675080039674,False,0.11220534973199271,0.7934116368090022,1.0933690064946344
"Beta(1,5)",50,22,Chronological GE,0.06908719008788466,0.20078470977023244,False,0.13169751968234777,0.9312420923283693,1.2833076729124944
"Beta(1,5)",50,22,Permutation-integrated GE (randomized),0.07280291379752815,0.2032764852333671,False,0.13047357143583896,0.9225874712790916,1.271381084015596
"Beta(1,5)",50,23,Chronological GE,0.11958199879154563,0.23981571523472667,False,0.12023371644318104,0.8501807622423382,1.1716002793862845
"Beta(1,5)",50,23,Permutation-integrated GE (randomized),0.13221076702135076,0.24039006079243722,False,0.10817929377108645,0.7649431220950688,1.0541376791418642
"Beta(1,5)",50,24,Chronological GE,0.07875474216416478,0.19779930030927062,False,0.11904455814510584,0.841772143277606,1.160012696173569
"Beta(1,5)",50,24,Permutation-integrated GE (randomized),0.08578845447664962,0.19825404364347088,False,0.11246558916682126,0.7952518074999964,1.0959048725027065
"Beta(1,5)",50,25,Chronological GE,0.11810591304674745,0.26732637779787183,False,0.14922046475112438,1.0551480251732823,1.454057508695463
"Beta(1,5)",50,25,Permutation-integrated GE (randomized),0.12525206199046213,0.2682468975759556,False,0.14299483558549347,1.0111261791715789,1.3933927543687892
"Beta(1,5)",50,26,Chronological GE,0.11514891078695655,0.24360615899786353,False,0.12845724821090698,0.9083299130249584,1.2517333102999784
"Beta(1,5)",50,26,Permutation-integrated GE (randomized),0.09378098842708499,0.2580155902702065,False,0.1642346018431215,1.1613140066874388,1.6003606234298446
"Beta(1,5)",50,27,Chronological GE,0.1379760461859405,0.2654354400001466,False,0.12745939381420612,0.9012740169195184,1.2420098606342262
"Beta(1,5)",50,27,Permutation-integrated GE (randomized),0.13505116610135565,0.27562670664247535,False,0.1405755405411197,0.9940191798559017,1.3698182793067488
"Beta(1,5)",50,28,Chronological GE,0.11223627766594291,0.27378744864836335,False,0.16155117098242044,1.142339285102969,1.5742123146266573
"Beta(1,5)",50,28,Permutation-integrated GE (randomized),0.09570190594783728,0.2767349789989756,False,0.1810330730511383,1.2800971357349953,1.7640509271382527
"Beta(1,5)",50,29,Chronological GE,0.1082710581831634,0.24608496902510524,False,0.13781391084194183,0.9744915089817534,1.3429079730895468
"Beta(1,5)",50,29,Permutation-integrated GE (randomized),0.09629035677269646,0.24530293647376689,False,0.14901257970107043,1.0536780558872778,1.4520318025131331
"Beta(1,5)",50,30,Chronological GE,0.10285831661894917,0.2512658485211432,False,0.14840753190219402,1.0493997218720028,1.4461360006434418
"Beta(1,5)",50,30,Permutation-integrated GE (randomized),0.10126839842797852,0.2545514210828961,False,0.15328302265491756,1.083874647600634,1.4936445240178775
"Beta(1,5)",50,31,Chronological GE,0.1189684928394854,0.2269711564294994,False,0.10800266359001398,0.7636941581070832,1.052416531566838
"Beta(1,5)",50,31,Permutation-integrated GE (randomized),0.10865858854844102,0.22747866607508072,False,0.1188200775266397,0.8401848256019824,1.1578252768448483
"Beta(1,5)",50,32,Chronological GE,0.07887817965820432,0.2271761200390756,False,0.1482979403808713,1.0486247927931243,1.445068101714602
"Beta(1,5)",50,32,Permutation-integrated GE (randomized),0.08942379503482178,0.22722119024675777,False,0.13779739521193599,0.9743747258420263,1.3427470388915406
"Beta(1,5)",50,33,Chronological GE,0.12378510786220431,0.2712902300991118,False,0.14750512223690748,1.043018721934679,1.4373425985325603
"Beta(1,5)",50,33,Permutation-integrated GE (randomized),0.12558089453614482,0.2724265620151207,False,0.1468456674789759,1.0383556726224874,1.4309166358201761
"Beta(1,5)",50,34,Chronological GE,0.1357601103372872,0.18339671613648534,False,0.04763660579919815,0.3368416699332343,0.4641881022593986
"Beta(1,5)",50,34,Permutation-integrated GE (randomized),0.13653856550435095,0.18180945868998488,False,0.04527089318563393,0.3201135556193362,0.4411357535423122
"Beta(1,5)",50,35,Chronological GE,0.1435431339778006,0.28267352981492877,False,0.13913039583712816,0.9838004636560193,1.3557362731188238
"Beta(1,5)",50,35,Permutation-integrated GE (randomized),0.14311442467771973,0.28458670145957554,False,0.1414722767818558,1.000360062623504,1.3785563975423165
"Beta(1,5)",50,36,Chronological GE,0.10708902170881629,0.22620250703766942,False,0.11911348532885313,0.8422595320679639,1.1606843472721506
"Beta(1,5)",50,36,Permutation-integrated GE (randomized),0.10134599680370113,0.22905161193396953,False,0.1277056151302684,0.9030150645421215,1.2444091290858985
"Beta(1,5)",50,37,Chronological GE,0.10608908208087087,0.2590511296875775,False,0.15296204760670662,1.0816050112688176,1.4905168284988117
"Beta(1,5)",50,37,Permutation-integrated GE (randomized),0.1303162937905526,0.2576583609728714,False,0.12734206718231883,0.9004443923493056,1.2408665880251362
"Beta(1,5)",50,38,Chronological GE,0.10266460897400975,0.23083649342879653,False,0.12817188445478678,0.9063120865543837,1.2489526239310664
"Beta(1,5)",50,38,Permutation-integrated GE (randomized),0.09679941965514163,0.23094912472560888,False,0.13414970507046725,0.9485816614950278,1.307202643232117
"Beta(1,5)",50,39,Chronological GE,0.1247051483951509,0.24496813071891665,False,0.12026298232376575,0.8503877032685266,1.171885456580202
"Beta(1,5)",50,39,Permutation-integrated GE (randomized),0.11657650712601182,0.24493815819736156,False,0.12836165107134972,0.9076539391685285,1.250801777625724
"Beta(1,5)",50,40,Chronological GE,0.10612197825685143,0.24779671477153897,False,0.14167473651468754,1.0017916691235293,1.3805292374957603
"Beta(1,5)",50,40,Permutation-integrated GE (randomized),0.10532490043810208,0.2514090237664306,False,0.1460841233283285,1.0329707422915302,1.4234958775997888
"Beta(1,5)",50,41,Chronological GE,0.08433691831305623,0.25781778851523995,False,0.17348087020218372,1.226694997261074,1.690459565001506
"Beta(1,5)",50,41,Permutation-integrated GE (randomized),0.09536398022289182,0.25677413292377005,False,0.16141015270087822,1.1413421352714712,1.572838182120893
"Beta(1,5)",50,42,Chronological GE,0.14959013974294066,0.26932942448183894,False,0.11973928473889828,0.8466846021330185,1.1667823602533525
"Beta(1,5)",50,42,Permutation-integrated GE (randomized),0.14549729998243216,0.2681385171580909,False,0.12264121717565873,0.8672043631788038,1.1950598264603909
"Beta(1,5)",50,43,Chronological GE,0.11364201596006751,0.2656596484594047,False,0.1520176324993372,1.0749269880020582,1.4813141103563219
"Beta(1,5)",50,43,Permutation-integrated GE (randomized),0.10344440681488618,0.2646025745555415,False,0.1611581677406553,1.1395603325301649,1.5703827506617996
"Beta(1,5)",50,44,Chronological GE,0.12924268981441855,0.25988201377913356,False,0.130639323964715,0.9237595186507623,1.272996235862224
"Beta(1,5)",50,44,Permutation-integrated GE (randomized),0.13109409116742216,0.27672956719588787,False,0.14563547602846572,1.02979832681059,1.4191240980572877
"Beta(1,5)",50,45,Chronological GE,0.1312952903099358,0.271663271356374,False,0.14036798104643822,0.9925515125940124,1.3677957454522538
"Beta(1,5)",50,45,Permutation-integrated GE (randomized),0.12473932243040167,0.27220765080671844,False,0.14746832837631677,1.0427585500513816,1.4369840660125401
"Beta(1,5)",50,46,Chronological GE,0.08289900748059154,0.23167359409853816,False,0.14877458661794662,1.0519951906577545,1.4497127129022618
"Beta(1,5)",50,46,Permutation-integrated GE (randomized),0.08152382124299948,0.2310376686315017,False,0.14951384738850224,1.0572225536970052,1.4569163339076192
"Beta(1,5)",50,47,Chronological GE,0.10232940362766385,0.26102435728535056,False,0.1586949536576867,1.1221427787143519,1.54638031280022
"Beta(1,5)",50,47,Permutation-integrated GE (randomized),0.09478331960663802,0.2592400527777423,False,0.1644567331711043,1.1628847123707449,1.602525150432951
"Beta(1,5)",50,48,Chronological GE,0.12429561791941524,0.2605373137630522,False,0.136241695843637,0.9633742701139079,1.327587748565507
"Beta(1,5)",50,48,Permutation-integrated GE (randomized),0.11254466661034068,0.27350529335344165,False,0.16096062674310097,1.1381635067408344,1.568457840621825
"Beta(1,5)",50,49,Chronological GE,0.11366698378697038,0.27680173283442855,False,0.16313474904745817,1.1535368729862334,1.5896432649317238
"Beta(1,5)",50,49,Permutation-integrated GE (randomized),0.12840367812691217,0.27579691969872255,False,0.14739324157181038,1.0422276061649407,1.4362523933691225
"Beta(1,5)",50,50,Chronological GE,0.13727198401466012,0.23119391268119216,False,0.09392192866653204,0.66412832662224,0.9152088209650314
