distribution,n,method,mean,standard_error,q10,q50,q90,empty_rate
"Beta(1,5)",50,Chronological GE,1.298715923751815,0.0231687551434365,1.0484915825975,1.3301586358519026,1.5601395116324832,0.0
"Beta(1,5)",50,Permutation-integrated GE (randomized),1.3163606954928242,0.023919059940700857,1.0462841570584176,1.35575977826835,1.5732046216080262,0.0
"Beta(1,5)",200,Chronological GE,1.0829127446985773,0.009578698607011377,0.9268450124416875,1.0887024254480964,1.196531106027358,0.0
"Beta(1,5)",200,Permutation-integrated GE (randomized),1.086416971492175,0.010484760530973195,0.9587804200256372,1.0912438486569656,1.2193266375700729,0.0
"Beta(1,5)",1000,Chronological GE,1.0196211834764077,0.005208154825806896,0.9636889864743147,1.0192745127159428,1.0730332680350734,0.0
"Beta(1,5)",1000,Permutation-integrated GE (randomized),1.0233451079064217,0.005834593661985294,0.9555963945965402,1.0302425991708561,1.0900065906562852,0.0
"Beta(1,5)",5000,Chronological GE,1.0032898620615827,0.0020671892571279492,0.9793092016528617,1.0036438533182648,1.025133212694329,0.0
"Beta(1,5)",5000,Permutation-integrated GE (randomized),1.0034778330909773,0.0023176117920973463,0.9781599668026353,1.0031550486214371,1.029153612750075,0.0
Bernoulli(0.5),50,Chronological GE,0.9813889375455357,0.005904322087464766,0.9077721462026754,0.9897964162517955,1.0454303959897462,0.0
Bernoulli(0.5),50,Permutation-integrated GE (randomized),0.9805716265266676,0.005547006046085877,0.8946348820176119,0.9862224137093385,1.0443037292814759,0.0
Bernoulli(0.5),50,Exact binomial (randomized),0.9572010316333199,0.0027048699384212608,0.9278987995990893,0.9577551331805203,0.9856081470474174,0.0
Bernoulli(0.5),200,Chronological GE,0.9965788019841793,0.0017601838065171647,0.972369275435289,0.9993684990077041,1.0175664241909734,0.0
Bernoulli(0.5),200,Permutation-integrated GE (randomized),0.9957052942429648,0.00244734642581353,0.9636409869011311,0.998000796011475,1.0262193413612073,0.0
Bernoulli(0.5),200,Exact binomial (randomized),0.9902392354649152,0.0011055333181132208,0.973700541369789,0.9901307203636996,1.005377488601626,0.0
Bernoulli(0.5),1000,Chronological GE,0.9982954722995419,0.0006573874504902752,0.9899278173582656,0.9984031528148615,1.0075287869322382,0.0
Bernoulli(0.5),1000,Permutation-integrated GE (randomized),0.9980994464530757,0.0008512439848534399,0.9876670470764146,0.9977660529664193,1.0091854671701095,0.0
Bernoulli(0.5),1000,Exact binomial (randomized),0.9973706929430353,0.000505653460139394,0.9907706412400049,0.996901021196787,1.0045838340055422,0.0
Bernoulli(0.5),5000,Chronological GE,1.0001881830331865,0.0002730701712698238,0.996685677801906,1.0000188317949323,1.0039117678179932,0.0
Bernoulli(0.5),5000,Permutation-integrated GE (randomized),1.0001638403446644,0.00035275201406112543,0.9957288786854456,0.9998882655490686,1.0050124922073012,0.0
Bernoulli(0.5),5000,Exact binomial (randomized),0.9996092976713142,0.00023293856472920174,0.9966538384944517,0.9993024176212932,1.0028982225350118,0.0
"Uniform(0.45,0.55)",50,Chronological GE,4.152226627928871,0.06275534503811929,3.30223013898422,4.2735850466404095,4.8162981928347,0.0
"Uniform(0.45,0.55)",50,Permutation-integrated GE (randomized),4.152209947793124,0.06283681630217511,3.2960864346429446,4.27236152825725,4.816702194396931,0.0
"Uniform(0.45,0.55)",200,Chronological GE,2.241393952814313,0.034998779435393035,1.7591985092396176,2.2940431915364132,2.6383068962477934,0.0
"Uniform(0.45,0.55)",200,Permutation-integrated GE (randomized),2.2417281848464996,0.035296454887238676,1.757195626672367,2.2937044572653207,2.641554397223312,0.0
"Uniform(0.45,0.55)",1000,Chronological GE,1.2921178452319817,0.015253538678843468,1.09196960489441,1.332789161726144,1.4361403949256248,0.0
"Uniform(0.45,0.55)",1000,Permutation-integrated GE (randomized),1.2939254368780302,0.016197458167935358,1.0802681011144966,1.3256129486147685,1.4729310395868767,0.0
"Uniform(0.45,0.55)",5000,Chronological GE,1.0394326392697237,0.006448269657351501,0.9538314475938132,1.0525758110914851,1.095605748602639,0.0
"Uniform(0.45,0.55)",5000,Permutation-integrated GE (randomized),1.0402876131106895,0.007605091721966983,0.9598934523837466,1.045572822319249,1.1264523994196354,0.0
