distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,0,PE-betting,Deterministic,0.1670413636602461,0.779211210552603,0.6121698468923569,1.9358510310563972,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,0,PE-betting,Uniformly randomized,0.1697691702283918,0.7715791263617575,0.6018099561333656,1.9030901799474549,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,1,PE-betting,Deterministic,0.1122629740275442,0.8109530578367412,0.698690083809197,2.2094520434109963,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,1,PE-betting,Uniformly randomized,0.1420339127071201,0.7630236712284386,0.6209897585213184,1.9637420405653216,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,2,PE-betting,Deterministic,0.1639040666632354,0.7825049958191812,0.6186009291559458,1.9561878988292496,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,2,PE-betting,Uniformly randomized,0.1677301651798188,0.7138213510625064,0.5460911858826876,1.7268919575316808,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,3,PE-betting,Deterministic,0.1960158296860754,0.950248880777508,0.7542330510914326,2.385094328027073,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,3,PE-betting,Uniformly randomized,0.1961497901938855,0.8772384370677173,0.6810886468738317,2.1537914126034283,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,4,PE-betting,Deterministic,0.0790063380263745,0.7776774480007589,0.6986711099743843,2.2093920428770404,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,4,PE-betting,Uniformly randomized,0.2121914667077362,0.743681747931987,0.5314902812242508,1.6807198429120578,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,5,PE-betting,Deterministic,0.2360197971574962,1.0,0.7639802028425038,2.4159175282597567,False,False,False,0.0,32,0.5,10.0,0.05
"Beta(2,2)",10,5,PE-betting,Uniformly randomized,0.2574498555622995,0.86084422795102,0.6033943723887205,1.908100544076171,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,6,PE-betting,Deterministic,0.18799051316455,0.8093985333107412,0.6214080201461911,1.9650646999577623,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,6,PE-betting,Uniformly randomized,0.2447641654871404,0.807006239425391,0.5622420739382505,1.777965550021668,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,7,PE-betting,Deterministic,0.1384467291645705,0.7746025645174086,0.636155835352838,2.011701386522033,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,7,PE-betting,Uniformly randomized,0.1848440920002758,0.6653169547207654,0.4804728627204895,1.5193886000981525,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,8,PE-betting,Deterministic,0.1559691899456083,0.762409616727382,0.6064404267817736,1.9177330138349804,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,8,PE-betting,Uniformly randomized,0.1580057782121002,0.5309440023265779,0.3729382241144776,1.1793342147400812,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,9,PE-betting,Deterministic,0.2205683984793722,0.9228323926217854,0.7022639941424131,2.220753740217171,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,9,PE-betting,Uniformly randomized,0.2326929955743253,0.8423190652392805,0.6096260696649551,1.92780690115774,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,10,PE-betting,Deterministic,0.1867574951611459,0.8338306681253016,0.6470731729641557,2.0462250393588195,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,10,PE-betting,Uniformly randomized,0.2863913648761809,0.806840147357434,0.5204487824812531,1.6458035581022992,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,11,PE-betting,Deterministic,0.1782869552262127,0.7740563270635903,0.5957693718373775,1.883988175173888,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,11,PE-betting,Uniformly randomized,0.1845125439576804,0.768411657307297,0.5838991133496165,1.8464511219376167,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,12,PE-betting,Deterministic,0.2345349541865289,0.8764572604559362,0.6419223062694073,2.029936568679511,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,12,PE-betting,Uniformly randomized,0.3564434233121574,0.8427607859484851,0.4863173626363277,1.5378705316168635,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,13,PE-betting,Deterministic,0.1960640274919569,0.8533271909691393,0.6572631634771824,2.078448618715492,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,13,PE-betting,Uniformly randomized,0.2669133986346423,0.7915356797166169,0.5246222810819745,1.6590013194921045,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,14,PE-betting,Deterministic,0.0682318019680678,0.7578359260223806,0.6896041240543127,2.1807197158569367,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,14,PE-betting,Uniformly randomized,0.1185817304067313,0.7483223988674581,0.6297406684607267,1.991414847572858,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,15,PE-betting,Deterministic,0.0176532487384974,0.7479061218909919,0.7302528731524944,2.3092623470439064,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,15,PE-betting,Uniformly randomized,0.140038866084069,0.7291412786580622,0.5891024125739932,1.8629053988340345,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,16,PE-betting,Deterministic,0.2226008088327944,0.9257127097807824,0.703111900947988,2.223435056966345,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,16,PE-betting,Uniformly randomized,0.334896236192435,0.8457522341050208,0.5108559979125857,1.6154685097619943,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,17,PE-betting,Deterministic,0.1603548838756978,0.8667954900301993,0.7064406061545014,2.2339613470781887,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,17,PE-betting,Uniformly randomized,0.176224039401859,0.8089779843576252,0.6327539449557662,2.000943664517032,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,18,PE-betting,Deterministic,0.2030062829144299,0.9195920177735388,0.7165857348591089,2.266043060940302,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,18,PE-betting,Uniformly randomized,0.3981099431402981,0.8826871155761182,0.4845771724358201,1.5323675670213546,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,19,PE-betting,Deterministic,0.2025102372281253,0.8398441695608199,0.6373339323326945,2.0154268562829456,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,19,PE-betting,Uniformly randomized,0.2180903176777064,0.7332305465824902,0.5151402289047837,1.629016437719623,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,20,PE-betting,Deterministic,0.234376132953912,0.9148133299313486,0.6804371969774365,2.151731347149339,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,20,PE-betting,Uniformly randomized,0.296548109035939,0.8818818456493318,0.5853337366133928,1.8509877990354144,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,21,PE-betting,Deterministic,0.1689940639771521,0.810706150252372,0.6417120862752199,2.029271794688172,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,21,PE-betting,Uniformly randomized,0.1972196386195719,0.7329520820640028,0.5357324434444308,1.6941347377317435,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,22,PE-betting,Deterministic,0.1923690293915569,0.7990664434619248,0.6066974140703678,1.9185456789966493,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,22,PE-betting,Uniformly randomized,0.2073991778306663,0.7917018323205411,0.5843026544898748,1.8477272310704145,False,False,False,0.0,61,0.5,10.0,0.05
