distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
Bernoulli(0.1),10,PE-betting,Deterministic,2.048227780467301,1.8431740893878683,2.286902634587015,120,0.0,0.0,0.0,0.4125
Bernoulli(0.1),10,PE-betting,Uniformly randomized,1.8477099202110168,1.4861908707087714,2.2007736934668856,120,0.0,0.0,0.0,0.4125
Bernoulli(0.1),50,PE-betting,Deterministic,2.013479999991732,1.6267475645917613,2.434459673634662,120,0.0,0.0,0.0,0.8480000000000001
Bernoulli(0.1),50,PE-betting,Uniformly randomized,1.7848174620406154,1.3545525527679176,2.2391947169760527,120,0.008333333333333333,0.0,0.008333333333333333,0.8480000000000001
Bernoulli(0.1),100,PE-betting,Deterministic,1.9592275316050898,1.6172888851724563,2.2643722663633525,120,0.0,0.0,0.0,0.9140833333333334
Bernoulli(0.1),100,PE-betting,Uniformly randomized,1.7154711694844689,1.3635991937480867,2.023118562996387,120,0.0,0.0,0.0,0.9140833333333334
Bernoulli(0.1),500,PE-betting,Deterministic,1.6589552516866926,1.4750168285188818,1.8386045333933578,120,0.016666666666666666,0.0,0.0,0.9810833333333334
Bernoulli(0.1),500,PE-betting,Uniformly randomized,1.5873637112121315,1.4182023328391118,1.7885105586541123,120,0.016666666666666666,0.0,0.0,0.9810833333333334
Bernoulli(0.1),1000,PE-betting,Deterministic,1.6159610400372233,1.4927070108646707,1.7615467498067416,120,0.0,0.0,0.0,0.9901666666666666
Bernoulli(0.1),1000,PE-betting,Uniformly randomized,1.565899994475909,1.4553569450088242,1.7033804127069136,120,0.0,0.0,0.0,0.9901666666666666
Bernoulli(0.1),5000,PE-betting,Deterministic,1.5743729523162873,1.5156326579585022,1.6339660793730968,120,0.0,0.0,0.0,0.9982066666666667
Bernoulli(0.1),5000,PE-betting,Uniformly randomized,1.5520286771011413,1.4913264979823737,1.6194665361559166,120,0.0,0.0,0.0,0.9982066666666667
Bernoulli(0.1),10000,PE-betting,Deterministic,1.559706781214724,1.5186664927750826,1.6023882012814283,120,0.025,0.0,0.0,0.9992608333333334
Bernoulli(0.1),10000,PE-betting,Uniformly randomized,1.5451447882999976,1.5021851286292076,1.5895298402756453,120,0.03333333333333333,0.0,0.0,0.9992608333333334
Bernoulli(0.5),10,PE-betting,Deterministic,2.766572064839535,2.280348490558823,3.1622776601683795,120,0.0,0.0,0.0,0.26166666666666666
Bernoulli(0.5),10,PE-betting,Uniformly randomized,2.4203598765104477,2.091262494639258,2.8216451777793967,120,0.008333333333333333,0.0,0.0,0.26166666666666666
Bernoulli(0.5),50,PE-betting,Deterministic,2.810465810559019,2.707596709998845,2.886677547820337,120,0.008333333333333333,0.0,0.0,0.43200000000000005
Bernoulli(0.5),50,PE-betting,Uniformly randomized,2.5603474273035696,2.3540775505490963,2.746692039091131,120,0.008333333333333333,0.0,0.0,0.43200000000000005
Bernoulli(0.5),100,PE-betting,Deterministic,2.7262509093464664,2.680689393542707,2.7637275652959943,120,0.008333333333333333,0.0,0.0,0.4998333333333333
Bernoulli(0.5),100,PE-betting,Uniformly randomized,2.5687781277423105,2.4157235929742455,2.688130368478596,120,0.016666666666666666,0.0,0.0,0.4998333333333333
Bernoulli(0.5),500,PE-betting,Deterministic,2.6409253144255445,2.6330658286202477,2.647881191772901,120,0.016666666666666666,0.0,0.0,0.28791666666666665
Bernoulli(0.5),500,PE-betting,Uniformly randomized,2.5667220599862923,2.4921071866377074,2.616975212913858,120,0.016666666666666666,0.0,0.0,0.28791666666666665
Bernoulli(0.5),1000,PE-betting,Deterministic,2.6232965960680903,2.6189891174955178,2.6280682912098428,120,0.0,0.0,0.0,0.19991666666666666
Bernoulli(0.5),1000,PE-betting,Uniformly randomized,2.5756178163445065,2.5429476250027503,2.6081362628518345,120,0.0,0.0,0.0,0.19991666666666666
Bernoulli(0.5),5000,PE-betting,Deterministic,2.597423229508483,2.595929450805877,2.599537412016317,120,0.0,0.0,0.0,0.04708166666666667
Bernoulli(0.5),5000,PE-betting,Uniformly randomized,2.5757880344092876,2.5554327238540804,2.591393047206303,120,0.0,0.0,0.0,0.04708166666666667
Bernoulli(0.5),10000,PE-betting,Deterministic,2.591111575408528,2.5903121661394835,2.5920853950083256,120,0.0,0.0,0.0,0.0221075
Bernoulli(0.5),10000,PE-betting,Uniformly randomized,2.5763764426422617,2.566788736730814,2.5858399551361804,120,0.0,0.0,0.0,0.0221075
"Beta(0.5,0.5)",10,PE-betting,Deterministic,2.5123396431851144,2.2444374897845503,2.7838972616741287,120,0.0,0.0,0.0,0.12833333333333333
"Beta(0.5,0.5)",10,PE-betting,Uniformly randomized,2.0501029626557985,1.6739229701739333,2.414651990859973,120,0.025,0.0,0.0,0.12833333333333333
"Beta(0.5,0.5)",50,PE-betting,Deterministic,2.1193309144063117,1.9587354022651338,2.284045865008815,120,0.0,0.0,0.0,0.3486666666666667
