distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
Bernoulli(0.1),10,PE-betting,Deterministic,1.8313850950875337,1.5250885315473748,2.231587868438865,120,0.0,0.0,0.0,0.4125
Bernoulli(0.1),10,PE-betting,Uniformly randomized,1.642956907726487,1.2964317294967456,2.084986753765994,120,0.0,0.0,0.0,0.4125
Bernoulli(0.1),50,PE-betting,Deterministic,1.8413283714345015,1.336015363524635,2.3510960222286132,120,0.0,0.0,0.0,0.8480000000000001
Bernoulli(0.1),50,PE-betting,Uniformly randomized,1.6881489952966529,1.1894634314444428,2.2031443537967035,120,0.008333333333333333,0.0,0.0,0.8480000000000001
Bernoulli(0.1),100,PE-betting,Deterministic,1.8683066800391923,1.4768281155265868,2.2296855226159096,120,0.0,0.0,0.0,0.9140833333333334
Bernoulli(0.1),100,PE-betting,Uniformly randomized,1.7022916327308242,1.3453915612772107,2.032436926383525,120,0.0,0.0,0.0,0.9140833333333334
Bernoulli(0.1),500,PE-betting,Deterministic,1.6371288632738774,1.4725963609954893,1.8029783274689855,120,0.016666666666666666,0.0,0.0,0.9810833333333334
Bernoulli(0.1),500,PE-betting,Uniformly randomized,1.57705427002223,1.4153254270023203,1.7546721315851528,120,0.016666666666666666,0.0,0.0,0.9810833333333334
Bernoulli(0.1),1000,PE-betting,Deterministic,1.6028621775788803,1.4862205682194105,1.740714843023823,120,0.0,0.0,0.0,0.9901666666666666
Bernoulli(0.1),1000,PE-betting,Uniformly randomized,1.5625318572033629,1.4546326269741177,1.7033447180879797,120,0.0,0.0,0.0,0.9901666666666666
Bernoulli(0.1),5000,PE-betting,Deterministic,1.569178411408751,1.511906303616417,1.626782649538241,120,0.0,0.0,0.0,0.9982066666666667
Bernoulli(0.1),5000,PE-betting,Uniformly randomized,1.5517824083457232,1.4992737472502584,1.610498470460763,120,0.0,0.0,0.0,0.9982066666666667
Bernoulli(0.1),10000,PE-betting,Deterministic,1.5561922065292795,1.5163419023156166,1.5990581642836332,120,0.025,0.0,0.0,0.9992608333333334
Bernoulli(0.1),10000,PE-betting,Uniformly randomized,1.544656891686221,1.5053338930010796,1.5848477836698294,120,0.03333333333333333,0.0,0.0,0.9992608333333334
Bernoulli(0.5),10,PE-betting,Deterministic,2.7562753980345884,2.2285182778765447,3.1622776601683795,120,0.0,0.0,0.0,0.26166666666666666
Bernoulli(0.5),10,PE-betting,Uniformly randomized,2.3916713350673464,2.0718813121493125,2.8216451777793967,120,0.008333333333333333,0.0,0.0,0.26166666666666666
Bernoulli(0.5),50,PE-betting,Deterministic,2.7946564490413923,2.71853165189308,2.8525011253927417,120,0.008333333333333333,0.0,0.0,0.43200000000000005
Bernoulli(0.5),50,PE-betting,Uniformly randomized,2.5391069533555055,2.384899698257251,2.7076933705031827,120,0.008333333333333333,0.0,0.0,0.43200000000000005
Bernoulli(0.5),100,PE-betting,Deterministic,2.7055110737370947,2.670051174238324,2.7352634435519576,120,0.008333333333333333,0.0,0.0,0.4998333333333333
Bernoulli(0.5),100,PE-betting,Uniformly randomized,2.5541572916166237,2.4365800209343433,2.6546228220686316,120,0.008333333333333333,0.0,0.0,0.4998333333333333
Bernoulli(0.5),500,PE-betting,Deterministic,2.6323668990794675,2.624733166923718,2.6385215657374803,120,0.016666666666666666,0.0,0.0,0.28791666666666665
Bernoulli(0.5),500,PE-betting,Uniformly randomized,2.5667196949597937,2.5213306424684467,2.6049501152436227,120,0.016666666666666666,0.0,0.0,0.28791666666666665
Bernoulli(0.5),1000,PE-betting,Deterministic,2.6158513300370934,2.6114890713667536,2.6198641304362975,120,0.0,0.0,0.0,0.19991666666666666
Bernoulli(0.5),1000,PE-betting,Uniformly randomized,2.5740827410824516,2.552476857206105,2.599095048538783,120,0.0,0.0,0.0,0.19991666666666666
Bernoulli(0.5),5000,PE-betting,Deterministic,2.594246558974488,2.592920304116546,2.5954428522689286,120,0.0,0.0,0.0,0.04708166666666667
Bernoulli(0.5),5000,PE-betting,Uniformly randomized,2.575801247007266,2.5617657356531076,2.5876092019286707,120,0.0,0.0,0.0,0.04708166666666667
Bernoulli(0.5),10000,PE-betting,Deterministic,2.589095896886041,2.5882618967443705,2.5897798221558332,120,0.0,0.0,0.0,0.0221075
Bernoulli(0.5),10000,PE-betting,Uniformly randomized,2.5760986927586296,2.568999892100692,2.582786362618208,120,0.0,0.0,0.0,0.0221075
"Beta(0.5,0.5)",10,PE-betting,Deterministic,2.469045870702252,2.1542502982951466,2.7838972616741287,120,0.0,0.0,0.0,0.12833333333333333
