distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,0,PE-betting,Deterministic,0.19961924338713288,0.7336251749657094,0.5340059315785766,1.688675027828337,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,0,PE-betting,Uniformly randomized,0.20772350253537297,0.708634031470865,0.500910528935492,1.5840181753958331,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,1,PE-betting,Deterministic,0.11226297402754426,0.7911683111451566,0.6789053371176124,2.1468871809361083,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,1,PE-betting,Uniformly randomized,0.14203391270712018,0.7152884933166206,0.5732545806095004,1.8127901538506166,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,2,PE-betting,Deterministic,0.21084148297086358,0.7015809579752386,0.490739475004375,1.551854478769094,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,2,PE-betting,Uniformly randomized,0.2169990069232881,0.6486382209695876,0.43163921404629946,1.3649630438312501,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,3,PE-betting,Deterministic,0.2266107932664454,0.950248880777508,0.7236380875110626,2.288344558183204,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,3,PE-betting,Uniformly randomized,0.22707090387120843,0.8772384370677173,0.6501675331965089,2.0560102655941033,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,4,PE-betting,Deterministic,0.07900633802637458,0.7062583160586655,0.6272519780322909,1.9835449174279407,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,4,PE-betting,Uniformly randomized,0.2352310330606997,0.6593404277227819,0.4241093946620822,1.341151664207437,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,5,PE-betting,Deterministic,0.300001613330096,1.0,0.699998386669904,2.213589260320145,False,False,False,0.0,32,1.0,10.0,0.05
"Beta(2,2)",10,5,PE-betting,Uniformly randomized,0.32482112059369683,0.8580205994658172,0.5331994788721204,1.686124800450728,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,6,PE-betting,Deterministic,0.2298402083106339,0.7558584553189576,0.5260182470083237,1.6634157513553545,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,6,PE-betting,Uniformly randomized,0.3061769022606313,0.7519109812565148,0.44573407899588346,1.40953492038441,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,7,PE-betting,Deterministic,0.13844672916457057,0.716061086859554,0.5776143576949835,1.8265769795313538,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,7,PE-betting,Uniformly randomized,0.23238103976473212,0.5952420844696462,0.3628610447049141,1.1474673754157094,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,8,PE-betting,Deterministic,0.18209000723436475,0.6793506140820682,0.49726060684770346,1.5724761083162642,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,8,PE-betting,Uniformly randomized,0.18813377572223544,0.4884244496934116,0.30029067397117615,0.9496024898559566,False,True,False,0.2,60,1.0,10.0,0.05
"Beta(2,2)",10,9,PE-betting,Deterministic,0.2534778225235641,0.9228323926217854,0.6693545700982213,2.116685003753215,False,False,False,0.0,61,1.0,10.0,0.05
