distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,0,Chronological GE,0.13376264600083232,0.293021400924772,False,0.1592587549239397,1.5518741937231513
"Beta(1,5)",50,0,Exact Bernoulli rounding,0.08321133702633456,0.37449373857311913,False,0.2912824015467846,2.8383597640333558
"Beta(1,5)",50,0,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,0,Optimistic hard-boundary benchmark (not valid),0.13253470215591617,0.32072429383182177,False,0.1881895916759056,1.8337866008597983
"Beta(1,5)",50,1,Chronological GE,0.10642904927954078,0.24347299663349986,False,0.13704394735395908,1.3354051738388546
"Beta(1,5)",50,1,Exact Bernoulli rounding,0.0720796140553994,0.3534540160353042,False,0.2813744019799048,2.7418126772084945
"Beta(1,5)",50,1,Symmetric empirical-variance bound,0.0,0.9537068164707778,False,0.9537068164707778,9.293259874885432
"Beta(1,5)",50,1,Optimistic hard-boundary benchmark (not valid),0.0959229379224169,0.2657655910790384,False,0.1698426531566215,1.655007478572297
"Beta(1,5)",50,2,Chronological GE,0.11897043837234378,0.24706997675821185,False,0.12809953838586807,1.2482476579941804
"Beta(1,5)",50,2,Exact Bernoulli rounding,0.11933153750143258,0.42520896259772767,False,0.3058774250962951,2.9805788867062932
"Beta(1,5)",50,2,Symmetric empirical-variance bound,0.0,0.9798191772672268,False,0.9798191772672268,9.547708045578156
"Beta(1,5)",50,2,Optimistic hard-boundary benchmark (not valid),0.09045113276475772,0.27724429498421777,False,0.18679316221946005,1.8201792934445942
"Beta(1,5)",50,3,Chronological GE,0.10559834307059646,0.263768648263067,False,0.15817030519247055,1.541267950755607
"Beta(1,5)",50,3,Exact Bernoulli rounding,0.03948660104029753,0.27045702188574283,False,0.2309704208454453,2.2506582812016087
"Beta(1,5)",50,3,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
