distribution,population_mean,population_variance,population_size,replication,n,sampling_fraction,method,calibration,width,sqrt_n_width
"Uniform(0,1)",0.49999999999999994,0.0833,50,0,25,0.5,Bridge-efficient betting,Deterministic Markov,0.2825337648391723,1.4126688241958616
"Uniform(0,1)",0.49999999999999994,0.0833,50,0,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.19093784689903254,0.9546892344951627
"Uniform(0,1)",0.49999999999999994,0.0833,50,0,25,0.5,WSR running intersection,Deterministic Markov,0.2810045480728149,1.4050227403640745
"Uniform(0,1)",0.49999999999999994,0.0833,50,0,25,0.5,WSR running intersection,Uniformly randomized Markov,0.22553312778472895,1.1276656389236448
"Uniform(0,1)",0.49999999999999994,0.0833,50,0,25,0.5,Bardenet--Maillard EBS,As published,0.4999999999999999,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,0,25,0.5,Shekhar--Ramdas AS-CI,As published,0.4999999999999999,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,1,25,0.5,Bridge-efficient betting,Deterministic Markov,0.2824805974960327,1.4124029874801636
"Uniform(0,1)",0.49999999999999994,0.0833,50,1,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.2607848346233368,1.303924173116684
"Uniform(0,1)",0.49999999999999994,0.0833,50,1,25,0.5,WSR running intersection,Deterministic Markov,0.2818832993507385,1.4094164967536926
"Uniform(0,1)",0.49999999999999994,0.0833,50,1,25,0.5,WSR running intersection,Uniformly randomized Markov,0.2768639028072357,1.3843195140361786
"Uniform(0,1)",0.49999999999999994,0.0833,50,1,25,0.5,Bardenet--Maillard EBS,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,1,25,0.5,Shekhar--Ramdas AS-CI,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,2,25,0.5,Bridge-efficient betting,Deterministic Markov,0.27130433917045593,1.3565216958522797
"Uniform(0,1)",0.49999999999999994,0.0833,50,2,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.22999146580696106,1.1499573290348053
"Uniform(0,1)",0.49999999999999994,0.0833,50,2,25,0.5,WSR running intersection,Deterministic Markov,0.2664586007595062,1.3322930037975311
"Uniform(0,1)",0.49999999999999994,0.0833,50,2,25,0.5,WSR running intersection,Uniformly randomized Markov,0.2518969774246216,1.259484887123108
"Uniform(0,1)",0.49999999999999994,0.0833,50,2,25,0.5,Bardenet--Maillard EBS,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,2,25,0.5,Shekhar--Ramdas AS-CI,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,3,25,0.5,Bridge-efficient betting,Deterministic Markov,0.26429277658462524,1.3214638829231262
"Uniform(0,1)",0.49999999999999994,0.0833,50,3,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.25276875495910645,1.2638437747955322
"Uniform(0,1)",0.49999999999999994,0.0833,50,3,25,0.5,WSR running intersection,Deterministic Markov,0.2472529113292694,1.236264556646347
"Uniform(0,1)",0.49999999999999994,0.0833,50,3,25,0.5,WSR running intersection,Uniformly randomized Markov,0.2472529113292694,1.236264556646347
"Uniform(0,1)",0.49999999999999994,0.0833,50,3,25,0.5,Bardenet--Maillard EBS,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,3,25,0.5,Shekhar--Ramdas AS-CI,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,4,25,0.5,Bridge-efficient betting,Deterministic Markov,0.2974960505962372,1.487480252981186
"Uniform(0,1)",0.49999999999999994,0.0833,50,4,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.2452593445777893,1.2262967228889465
"Uniform(0,1)",0.49999999999999994,0.0833,50,4,25,0.5,WSR running intersection,Deterministic Markov,0.2692820727825165,1.3464103639125824
"Uniform(0,1)",0.49999999999999994,0.0833,50,4,25,0.5,WSR running intersection,Uniformly randomized Markov,0.26314860582351685,1.3157430291175842
"Uniform(0,1)",0.49999999999999994,0.0833,50,4,25,0.5,Bardenet--Maillard EBS,As published,0.49999999999999994,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,4,25,0.5,Shekhar--Ramdas AS-CI,As published,0.49999999999999994,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,5,25,0.5,Bridge-efficient betting,Deterministic Markov,0.2543097734451294,1.271548867225647
"Uniform(0,1)",0.49999999999999994,0.0833,50,5,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.21330928802490234,1.0665464401245117
"Uniform(0,1)",0.49999999999999994,0.0833,50,5,25,0.5,WSR running intersection,Deterministic Markov,0.2523728013038635,1.2618640065193176
"Uniform(0,1)",0.49999999999999994,0.0833,50,5,25,0.5,WSR running intersection,Uniformly randomized Markov,0.22731053829193115,1.1365526914596558
"Uniform(0,1)",0.49999999999999994,0.0833,50,5,25,0.5,Bardenet--Maillard EBS,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,5,25,0.5,Shekhar--Ramdas AS-CI,As published,0.5,2.5
"Uniform(0,1)",0.49999999999999994,0.0833,50,6,25,0.5,Bridge-efficient betting,Deterministic Markov,0.2660273015499116,1.330136507749558
"Uniform(0,1)",0.49999999999999994,0.0833,50,6,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.21708104014396679,1.0854052007198338
"Uniform(0,1)",0.49999999999999994,0.0833,50,6,25,0.5,WSR running intersection,Deterministic Markov,0.250425159931183,1.2521257996559148
"Uniform(0,1)",0.49999999999999994,0.0833,50,6,25,0.5,WSR running intersection,Uniformly randomized Markov,0.2204389274120332,1.1021946370601658
"Uniform(0,1)",0.49999999999999994,0.0833,50,6,25,0.5,Bardenet--Maillard EBS,As published,0.5000000000000001,2.5000000000000004
"Uniform(0,1)",0.49999999999999994,0.0833,50,6,25,0.5,Shekhar--Ramdas AS-CI,As published,0.5000000000000001,2.5000000000000004
"Uniform(0,1)",0.49999999999999994,0.0833,50,7,25,0.5,Bridge-efficient betting,Deterministic Markov,0.32183638215065,1.6091819107532501
"Uniform(0,1)",0.49999999999999994,0.0833,50,7,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.22653260827064514,1.1326630413532257
"Uniform(0,1)",0.49999999999999994,0.0833,50,7,25,0.5,WSR running intersection,Deterministic Markov,0.3064436614513397,1.5322183072566986
"Uniform(0,1)",0.49999999999999994,0.0833,50,7,25,0.5,WSR running intersection,Uniformly randomized Markov,0.2546485662460327,1.2732428312301636
"Uniform(0,1)",0.49999999999999994,0.0833,50,7,25,0.5,Bardenet--Maillard EBS,As published,0.4999999999999999,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,7,25,0.5,Shekhar--Ramdas AS-CI,As published,0.4999999999999999,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,8,25,0.5,Bridge-efficient betting,Deterministic Markov,0.28040701150894165,1.4020350575447083
"Uniform(0,1)",0.49999999999999994,0.0833,50,8,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.23853832483291626,1.1926916241645813
"Uniform(0,1)",0.49999999999999994,0.0833,50,8,25,0.5,WSR running intersection,Deterministic Markov,0.2739265561103821,1.3696327805519104
"Uniform(0,1)",0.49999999999999994,0.0833,50,8,25,0.5,WSR running intersection,Uniformly randomized Markov,0.25559449195861816,1.2779724597930908
"Uniform(0,1)",0.49999999999999994,0.0833,50,8,25,0.5,Bardenet--Maillard EBS,As published,0.49999999999999994,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,8,25,0.5,Shekhar--Ramdas AS-CI,As published,0.49999999999999994,2.4999999999999996
"Uniform(0,1)",0.49999999999999994,0.0833,50,9,25,0.5,Bridge-efficient betting,Deterministic Markov,0.28563961386680603,1.4281980693340302
"Uniform(0,1)",0.49999999999999994,0.0833,50,9,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.2773113250732422,1.386556625366211
