distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
"Uniform(0,1)",0.49999999999999994,0.0833,50,25,0.5,Bridge-efficient betting,Deterministic Markov,1.418896698951721,0.01272130854371382,1.062041629209329,50
"Uniform(0,1)",0.5,0.08332500000000001,100,50,0.5,Bridge-efficient betting,Deterministic Markov,1.2658972177417551,0.010390550546561721,1.056822719840894,50
"Uniform(0,1)",0.5,0.083333,500,250,0.5,Bridge-efficient betting,Deterministic Markov,1.1345522423693677,0.005789250646804321,1.0526289623464398,50
"Uniform(0,1)",0.5,0.08333325,1000,500,0.5,Bridge-efficient betting,Deterministic Markov,1.108794776646847,0.004053055559893633,1.0521035672738557,50
"Uniform(0,1)",0.5,0.08333333,5000,2500,0.5,Bridge-efficient betting,Deterministic Markov,1.0740386247634888,0.0016629569048536002,1.0516830622341677,50
"Uniform(0,1)",0.5,0.08333333250000001,10000,5000,0.5,Bridge-efficient betting,Deterministic Markov,1.066897905359434,0.0009881612278968158,1.0516304872816398,50
"Uniform(0,1)",0.5,0.08333333329999999,50000,25000,0.5,Bridge-efficient betting,Deterministic Markov,1.0585440689774137,0.0006057816867067476,1.0515884254270798,30
"Uniform(0,1)",0.5,0.08333333332499998,100000,50000,0.5,Bridge-efficient betting,Deterministic Markov,1.056493975064972,0.00046727319914940734,1.0515831675769651,30
"Uniform(0,1)",0.5,0.08333333333300001,500000,250000,0.5,Bridge-efficient betting,Deterministic Markov,1.0539636015891958,0.0002168728632456198,1.0515789612779454,20
"Uniform(0,1)",0.5,0.08333333333324999,1000000,500000,0.5,Bridge-efficient betting,Deterministic Markov,1.0532423685887584,0.0002469482547422246,1.051578435489385,20
"Uniform(0,1)",0.49999999999999994,0.0833,50,25,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.1828269630670547,0.015743121730964607,1.062041629209329,50
"Uniform(0,1)",0.5,0.08332500000000001,100,50,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.1064155870986847,0.012862740593977911,1.056822719840894,50
"Uniform(0,1)",0.5,0.083333,500,250,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.062581193993028,0.005422188451049614,1.0526289623464398,50
"Uniform(0,1)",0.5,0.08333325,1000,500,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0604979561806518,0.003918208616034483,1.0521035672738557,50
"Uniform(0,1)",0.5,0.08333333,5000,2500,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0539570450782776,0.001594949516535452,1.0516830622341677,50
"Uniform(0,1)",0.5,0.08333333250000001,10000,5000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0534212398138327,0.0013111672049553242,1.0516304872816398,50
"Uniform(0,1)",0.5,0.08333333329999999,50000,25000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0524284694693935,0.0006767160679784687,1.0515884254270798,30
"Uniform(0,1)",0.5,0.08333333332499998,100000,50000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.051938685516874,0.0005681307480470058,1.0515831675769651,30
"Uniform(0,1)",0.5,0.08333333333300001,500000,250000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0518327355384756,0.000404834830221012,1.0515789612779454,20
"Uniform(0,1)",0.5,0.08333333333324999,1000000,500000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.051544904264982,0.00016209819129598747,1.051578435489385,20
"Uniform(0,1)",0.49999999999999994,0.0833,50,25,0.5,WSR running intersection,Deterministic Markov,1.36635961830616,0.012265823490565887,1.062041629209329,50
"Uniform(0,1)",0.5,0.08332500000000001,100,50,0.5,WSR running intersection,Deterministic Markov,1.3073318182302938,0.00922233893067517,1.056822719840894,50
"Uniform(0,1)",0.5,0.083333,500,250,0.5,WSR running intersection,Deterministic Markov,1.2762457336305113,0.011806852835523032,1.0526289623464398,50
"Uniform(0,1)",0.5,0.08333325,1000,500,0.5,WSR running intersection,Deterministic Markov,1.2693781227959382,0.009645239269871498,1.0521035672738557,50
"Uniform(0,1)",0.5,0.08333333,5000,2500,0.5,WSR running intersection,Deterministic Markov,1.2707486152648926,0.008498274049741392,1.0516830622341677,50
"Uniform(0,1)",0.5,0.08333333250000001,10000,5000,0.5,WSR running intersection,Deterministic Markov,1.2681658392978117,0.007800575312894391,1.0516304872816398,50
"Uniform(0,1)",0.5,0.08333333329999999,50000,25000,0.5,WSR running intersection,Deterministic Markov,1.2730325236680715,0.008515577681569636,1.0515884254270798,30
"Uniform(0,1)",0.5,0.08333333332499998,100000,50000,0.5,WSR running intersection,Deterministic Markov,1.2690385385884089,0.008175116652987455,1.0515831675769651,30
"Uniform(0,1)",0.5,0.08333333333300001,500000,250000,0.5,WSR running intersection,Deterministic Markov,1.2767039239406515,0.018370635692825234,1.0515789612779454,20
"Uniform(0,1)",0.5,0.08333333333324999,1000000,500000,0.5,WSR running intersection,Deterministic Markov,1.2713923491387202,0.00961671755395408,1.051578435489385,20
"Uniform(0,1)",0.49999999999999994,0.0833,50,25,0.5,WSR running intersection,Uniformly randomized Markov,1.2466625541448593,0.01593993345525335,1.062041629209329,50
"Uniform(0,1)",0.5,0.08332500000000001,100,50,0.5,WSR running intersection,Uniformly randomized Markov,1.2023495651149207,0.013816077992386816,1.056822719840894,50
"Uniform(0,1)",0.5,0.083333,500,250,0.5,WSR running intersection,Uniformly randomized Markov,1.1829747189385076,0.017082659804692653,1.0526289623464398,50
"Uniform(0,1)",0.5,0.08333325,1000,500,0.5,WSR running intersection,Uniformly randomized Markov,1.1856673302875733,0.013024030366523505,1.0521035672738557,50
"Uniform(0,1)",0.5,0.08333333,5000,2500,0.5,WSR running intersection,Uniformly randomized Markov,1.2066649794578552,0.01117062266518698,1.0516830622341677,50
"Uniform(0,1)",0.5,0.08333333250000001,10000,5000,0.5,WSR running intersection,Uniformly randomized Markov,1.193906758997437,0.01029065858741031,1.0516304872816398,50
"Uniform(0,1)",0.5,0.08333333329999999,50000,25000,0.5,WSR running intersection,Uniformly randomized Markov,1.2021173291880425,0.011588378969334436,1.0515884254270798,30
"Uniform(0,1)",0.5,0.08333333332499998,100000,50000,0.5,WSR running intersection,Uniformly randomized Markov,1.183050701066164,0.02003162567715963,1.0515831675769651,30
"Uniform(0,1)",0.5,0.08333333333300001,500000,250000,0.5,WSR running intersection,Uniformly randomized Markov,1.1627271771430898,0.03342523920344396,1.0515789612779454,20
"Uniform(0,1)",0.5,0.08333333333324999,1000000,500000,0.5,WSR running intersection,Uniformly randomized Markov,1.1928274625007758,0.016231080323555865,1.051578435489385,20
"Uniform(0,1)",0.49999999999999994,0.0833,50,25,0.5,Bardenet--Maillard EBS,As published,2.5,3.8064789415719653e-17,1.062041629209329,50
"Uniform(0,1)",0.5,0.08332500000000001,100,50,0.5,Bardenet--Maillard EBS,As published,3.5355339059327378,6.531683220313437e-17,1.056822719840894,50
"Uniform(0,1)",0.5,0.083333,500,250,0.5,Bardenet--Maillard EBS,As published,5.409573171282276,0.005001288206243285,1.0526289623464398,50
"Uniform(0,1)",0.5,0.08333325,1000,500,0.5,Bardenet--Maillard EBS,As published,4.270328449022234,0.003479558654685564,1.0521035672738557,50
"Uniform(0,1)",0.5,0.08333333,5000,2500,0.5,Bardenet--Maillard EBS,As published,2.7446571172582783,0.0012205682427037065,1.0516830622341677,50
"Uniform(0,1)",0.5,0.08333333250000001,10000,5000,0.5,Bardenet--Maillard EBS,As published,2.3874823155025795,0.001050065912907002,1.0516304872816398,50
"Uniform(0,1)",0.5,0.08333333329999999,50000,25000,0.5,Bardenet--Maillard EBS,As published,1.9068219514528666,0.0005115021695733419,1.0515884254270798,30
"Uniform(0,1)",0.5,0.08333333332499998,100000,50000,0.5,Bardenet--Maillard EBS,As published,1.792407748197731,0.00041607831159699724,1.0515831675769651,30
"Uniform(0,1)",0.5,0.08333333333300001,500000,250000,0.5,Bardenet--Maillard EBS,As published,1.6410411024348854,0.00017641318649566802,1.0515789612779454,20
"Uniform(0,1)",0.5,0.08333333333324999,1000000,500000,0.5,Bardenet--Maillard EBS,As published,1.604491335643927,0.00012789868288526834,1.051578435489385,20
"Uniform(0,1)",0.49999999999999994,0.0833,50,25,0.5,Shekhar--Ramdas AS-CI,As published,2.5,3.8064789415719653e-17,1.062041629209329,50
"Uniform(0,1)",0.5,0.08332500000000001,100,50,0.5,Shekhar--Ramdas AS-CI,As published,3.5305075818023828,0.0020582394458860836,1.056822719840894,50
"Uniform(0,1)",0.5,0.083333,500,250,0.5,Shekhar--Ramdas AS-CI,As published,4.081131447802994,0.007210649438092424,1.0526289623464398,50
"Uniform(0,1)",0.5,0.08333325,1000,500,0.5,Shekhar--Ramdas AS-CI,As published,4.158744293563447,0.005208544398876315,1.0521035672738557,50
"Uniform(0,1)",0.5,0.08333333,5000,2500,0.5,Shekhar--Ramdas AS-CI,As published,4.345072294956813,0.002325465325437775,1.0516830622341677,50
"Uniform(0,1)",0.5,0.08333333250000001,10000,5000,0.5,Shekhar--Ramdas AS-CI,As published,4.421068569373364,0.0020300721814659173,1.0516304872816398,50
"Uniform(0,1)",0.5,0.08333333329999999,50000,25000,0.5,Shekhar--Ramdas AS-CI,As published,4.585954055287781,0.001014948839632313,1.0515884254270798,30
"Uniform(0,1)",0.5,0.08333333332499998,100000,50000,0.5,Shekhar--Ramdas AS-CI,As published,4.655782581069228,0.0009574484738411885,1.0515831675769651,30
"Uniform(0,1)",0.5,0.08333333333300001,500000,250000,0.5,Shekhar--Ramdas AS-CI,As published,4.817622629760073,0.000582830407182703,1.0515789612779454,20
"Uniform(0,1)",0.5,0.08333333333324999,1000000,500000,0.5,Shekhar--Ramdas AS-CI,As published,4.883846298915173,0.0002600414513911793,1.051578435489385,20
