distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,0,400,0.1,Bridge-efficient betting,0.07735552657395595,Deterministic Markov,1.0964513219321048
"Uniform(0,1)",0.5,0.08333332812500001,0,400,0.1,Bridge-efficient betting,0.07098847115412377,Uniformly randomized Markov,1.0062035188198655
"Uniform(0,1)",0.5,0.08333332812500001,0,400,0.1,WSR running intersection,0.08640691582113502,Deterministic Markov,1.2247473615939029
"Uniform(0,1)",0.5,0.08333332812500001,0,400,0.1,WSR running intersection,0.08284163139760492,Uniformly randomized Markov,1.1742123708520822
"Uniform(0,1)",0.5,0.08333332812500001,0,400,0.1,Bardenet--Maillard EBS,0.25601084773915533,As published,3.628744381491456
"Uniform(0,1)",0.5,0.08333332812500001,0,400,0.1,Shekhar--Ramdas AS-CI,0.2983490984141204,As published,4.228854457356256
"Uniform(0,1)",0.5,0.08333332812500001,0,1200,0.3,Bridge-efficient betting,0.037112200353294544,Deterministic Markov,1.0331124015196753
"Uniform(0,1)",0.5,0.08333332812500001,0,1200,0.3,Bridge-efficient betting,0.036352374963462275,Uniformly randomized Markov,1.0119607310244616
"Uniform(0,1)",0.5,0.08333332812500001,0,1200,0.3,WSR running intersection,0.042746752686798506,Deterministic Markov,1.1899644835126475
"Uniform(0,1)",0.5,0.08333332812500001,0,1200,0.3,WSR running intersection,0.04238109141588198,Uniformly randomized Markov,1.1797853728659307
"Uniform(0,1)",0.5,0.08333332812500001,0,1200,0.3,Bardenet--Maillard EBS,0.103400498782724,As published,2.8784156314857032
"Uniform(0,1)",0.5,0.08333332812500001,0,1200,0.3,Shekhar--Ramdas AS-CI,0.14952361396533798,As published,4.162369744641618
"Uniform(0,1)",0.5,0.08333332812500001,0,2000,0.5,Bridge-efficient betting,0.02410500030964613,Deterministic Markov,1.0250059934405666
"Uniform(0,1)",0.5,0.08333332812500001,0,2000,0.5,Bridge-efficient betting,0.023591793607920408,Uniformly randomized Markov,1.0031831376685125
"Uniform(0,1)",0.5,0.08333332812500001,0,2000,0.5,WSR running intersection,0.0294697186909616,Deterministic Markov,1.2531274795775589
"Uniform(0,1)",0.5,0.08333332812500001,0,2000,0.5,WSR running intersection,0.028270121663808823,Uniformly randomized Markov,1.2021175593639077
"Uniform(0,1)",0.5,0.08333332812500001,0,2000,0.5,Bardenet--Maillard EBS,0.064520066402727,As published,2.743557515471751
"Uniform(0,1)",0.5,0.08333332812500001,0,2000,0.5,Shekhar--Ramdas AS-CI,0.09672826371001769,As published,4.113132078998231
"Uniform(0,1)",0.5,0.08333332812500001,0,2800,0.7,Bridge-efficient betting,0.015883634425699733,Deterministic Markov,1.0317097598747795
"Uniform(0,1)",0.5,0.08333332812500001,0,2800,0.7,Bridge-efficient betting,0.015649175550788652,Uniformly randomized Markov,1.0164806565693272
"Uniform(0,1)",0.5,0.08333332812500001,0,2800,0.7,WSR running intersection,0.019924919307231892,Deterministic Markov,1.2942084388902684
"Uniform(0,1)",0.5,0.08333332812500001,0,2800,0.7,WSR running intersection,0.019390605669468597,Uniformly randomized Markov,1.2595024906078869
"Uniform(0,1)",0.5,0.08333332812500001,0,2800,0.7,Bardenet--Maillard EBS,0.04420139464657602,As published,2.8710689905556883
"Uniform(0,1)",0.5,0.08333332812500001,0,2800,0.7,Shekhar--Ramdas AS-CI,0.06182291404404627,As published,4.015661787074417
"Uniform(0,1)",0.5,0.08333332812500001,0,3200,0.8,Bridge-efficient betting,0.01189231388270845,Deterministic Markov,1.011382937072575
"Uniform(0,1)",0.5,0.08333332812500001,0,3200,0.8,Bridge-efficient betting,0.01178348660469053,Uniformly randomized Markov,1.0021277111206757
"Uniform(0,1)",0.5,0.08333332812500001,0,3200,0.8,WSR running intersection,0.01601607035845548,Deterministic Markov,1.3620881889981336
"Uniform(0,1)",0.5,0.08333332812500001,0,3200,0.8,WSR running intersection,0.01562786512076869,Uniformly randomized Markov,1.3290732385561088
"Uniform(0,1)",0.5,0.08333332812500001,0,3200,0.8,Bardenet--Maillard EBS,0.03610178938379349,As published,3.070280026298875
"Uniform(0,1)",0.5,0.08333332812500001,0,3200,0.8,Shekhar--Ramdas AS-CI,0.04632595963157532,As published,3.939795533232046
"Uniform(0,1)",0.5,0.08333332812500001,0,3600,0.9,Bridge-efficient betting,0.00832630675286028,Deterministic Markov,1.0621672949937089
"Uniform(0,1)",0.5,0.08333332812500001,0,3600,0.9,Bridge-efficient betting,0.00824142126366495,Uniformly randomized Markov,1.0513386535421017
"Uniform(0,1)",0.5,0.08333332812500001,0,3600,0.9,WSR running intersection,0.011979129817336731,Deterministic Markov,1.528149309426788
"Uniform(0,1)",0.5,0.08333332812500001,0,3600,0.9,WSR running intersection,0.011722141597420022,Uniformly randomized Markov,1.4953659289321395
"Uniform(0,1)",0.5,0.08333332812500001,0,3600,0.9,Bardenet--Maillard EBS,0.028415263509171618,As published,3.624868080641171
"Uniform(0,1)",0.5,0.08333332812500001,0,3600,0.9,Shekhar--Ramdas AS-CI,0.02991230286417962,As published,3.8158418568189147
"Uniform(0,1)",0.5,0.08333332812500001,1,400,0.1,Bridge-efficient betting,0.07385967867448939,Deterministic Markov,1.046900537128396
