distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
"Uniform(0,1)",0.5,0.08333332812500001,4000,400,0.1,Bridge-efficient betting,Deterministic Markov,1.4736975026316947,0.0033344108578236787,1.4110161577924756,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.2797087707806436,0.0016019077167178301,1.2443992831375876,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.0786040816568925,0.0010741571442241674,1.0517093487248483,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2800,0.7,Bridge-efficient betting,Deterministic Markov,0.8381356571091183,0.0008654600648073196,0.8146505585323972,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3200,0.8,Bridge-efficient betting,Deterministic Markov,0.6856868029413938,0.0006543811782100649,0.6651593956925647,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3600,0.9,Bridge-efficient betting,Deterministic Markov,0.4903467055689521,0.0006222336899703967,0.4703387192641585,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.4172711908910431,0.0029402282515167345,1.4110161577924756,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.249745242481276,0.001417928839603042,1.2443992831375876,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0549188903591014,0.0012278655930019853,1.0517093487248483,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,0.8181761258760418,0.0006856190029163367,0.8146505585323972,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,0.6672616116908685,0.0007472435266965552,0.6651593956925647,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,0.4730194123182425,0.0007472937534488429,0.4703387192641585,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,400,0.1,WSR running intersection,Deterministic Markov,1.6422806351166224,0.006408058114267878,1.4110161577924756,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,1200,0.3,WSR running intersection,Deterministic Markov,1.4718508182784447,0.0053292320963869095,1.2443992831375876,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2000,0.5,WSR running intersection,Deterministic Markov,1.275098876646972,0.003652465580781454,1.0517093487248483,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2800,0.7,WSR running intersection,Deterministic Markov,1.047393176395799,0.0023029807810450316,0.8146505585323972,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3200,0.8,WSR running intersection,Deterministic Markov,0.9045386222958025,0.001847910756542059,0.6651593956925647,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3600,0.9,WSR running intersection,Deterministic Markov,0.7205303797312075,0.0012258872231764532,0.4703387192641585,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,400,0.1,WSR running intersection,Uniformly randomized Markov,1.5477574258111424,0.009104630305921827,1.4110161577924756,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.3835058932381026,0.007641790070071363,1.2443992831375876,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.1905922072885966,0.007077609827125321,1.0517093487248483,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2800,0.7,WSR running intersection,Uniformly randomized Markov,0.9786923790409212,0.004610458440397615,0.8146505585323972,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3200,0.8,WSR running intersection,Uniformly randomized Markov,0.8330940761385953,0.004559482683383851,0.6651593956925647,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3600,0.9,WSR running intersection,Uniformly randomized Markov,0.6544284990057321,0.004063286030415061,0.4703387192641585,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,400,0.1,Bardenet--Maillard EBS,As published,5.103575113986429,0.003118573685078296,1.4110161577924756,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,1200,0.3,Bardenet--Maillard EBS,As published,3.5720131624046174,0.0014266046009564748,1.2443992831375876,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2000,0.5,Bardenet--Maillard EBS,As published,2.8937459854976617,0.0008022480934039929,1.0517093487248483,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2800,0.7,Bardenet--Maillard EBS,As published,2.338286938216859,0.00041034026911310895,0.8146505585323972,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3200,0.8,Bardenet--Maillard EBS,As published,2.047651001567023,0.00026010379756974156,0.6651593956925647,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3600,0.9,Bardenet--Maillard EBS,As published,1.7044512776717147,0.00012032618213325428,0.4703387192641585,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,400,0.1,Shekhar--Ramdas AS-CI,As published,5.872178225849632,0.005479136786890753,1.4110161577924756,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,1200,0.3,Shekhar--Ramdas AS-CI,As published,5.161584544189161,0.002271881509521096,1.2443992831375876,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2000,0.5,Shekhar--Ramdas AS-CI,As published,4.321429259147013,0.0014562826179784249,1.0517093487248483,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,2800,0.7,Shekhar--Ramdas AS-CI,As published,3.2841647996094037,0.0007596183504122796,0.8146505585323972,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3200,0.8,Shekhar--Ramdas AS-CI,As published,2.634318483435881,0.0004546018340377067,0.6651593956925647,200
"Uniform(0,1)",0.5,0.08333332812500001,4000,3600,0.9,Shekhar--Ramdas AS-CI,As published,1.798577880486264,0.00020868343889328324,0.4703387192641585,200
"Beta(0.5,0.5)",0.5,0.125,4000,400,0.1,Bridge-efficient betting,Deterministic Markov,1.797540065143258,0.003148522451834088,1.7281348567112151,200
"Beta(0.5,0.5)",0.5,0.125,4000,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.5608778558978198,0.001342525614694296,1.5240716876133718,200
