distribution,population_mean,population_variance,n,sampling_fraction,method,calibration,normalized_mean_width,normalized_standard_error,num_simulations
"Uniform(0,1)",0.5,0.08333332812500001,400,0.1,Bridge-efficient betting,Deterministic Markov,1.0444228398754012,0.002363127338697766,200
"Uniform(0,1)",0.5,0.08333332812500001,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.0283747251557613,0.0012872939886937503,200
"Uniform(0,1)",0.5,0.08333332812500001,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.0255724007442293,0.00102134410569473,200
"Uniform(0,1)",0.5,0.08333332812500001,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.0288284324250998,0.0010623696942729116,200
"Uniform(0,1)",0.5,0.08333332812500001,3200,0.8,Bridge-efficient betting,Deterministic Markov,1.0308608844462852,0.0009837960381341715,200
"Uniform(0,1)",0.5,0.08333332812500001,3600,0.9,Bridge-efficient betting,Deterministic Markov,1.0425395262718233,0.0013229480467690953,200
"Uniform(0,1)",0.5,0.08333332812500001,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.004432998916436,0.0020837665361087727,200
"Uniform(0,1)",0.5,0.08333332812500001,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.0042960160907592,0.0011394484542195512,200
"Uniform(0,1)",0.5,0.08333332812500001,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0030517382375124,0.001167495177722552,200
"Uniform(0,1)",0.5,0.08333332812500001,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,1.0043277050592048,0.0008416111616635817,200
"Uniform(0,1)",0.5,0.08333332812500001,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,1.0031604695234213,0.0011234052041293417,200
"Uniform(0,1)",0.5,0.08333332812500001,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,1.005699494734939,0.0015888416641903912,200
"Uniform(0,1)",0.5,0.08333332812500001,400,0.1,WSR running intersection,Deterministic Markov,1.163899241016459,0.004541449138536613,200
"Uniform(0,1)",0.5,0.08333332812500001,1200,0.3,WSR running intersection,Deterministic Markov,1.1827801881783213,0.004282574064933528,200
"Uniform(0,1)",0.5,0.08333332812500001,2000,0.5,WSR running intersection,Deterministic Markov,1.2124061445236496,0.0034728849612394425,200
"Uniform(0,1)",0.5,0.08333332812500001,2800,0.7,WSR running intersection,Deterministic Markov,1.2856962601028477,0.0028269553821872765,200
"Uniform(0,1)",0.5,0.08333332812500001,3200,0.8,WSR running intersection,Deterministic Markov,1.359882500575664,0.0027781472659166337,200
"Uniform(0,1)",0.5,0.08333332812500001,3600,0.9,WSR running intersection,Deterministic Markov,1.5319393241927264,0.00260639231465856,200
"Uniform(0,1)",0.5,0.08333332812500001,400,0.1,WSR running intersection,Uniformly randomized Markov,1.0969097818359483,0.006452534406243763,200
"Uniform(0,1)",0.5,0.08333332812500001,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.1117861541592788,0.006140947020480116,200
"Uniform(0,1)",0.5,0.08333332812500001,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.132054410975939,0.006729625286403144,200
"Uniform(0,1)",0.5,0.08333332812500001,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.2013646449884563,0.005659430773242715,200
"Uniform(0,1)",0.5,0.08333332812500001,3200,0.8,WSR running intersection,Uniformly randomized Markov,1.2524728381400623,0.006854721910131802,200
"Uniform(0,1)",0.5,0.08333332812500001,3600,0.9,WSR running intersection,Uniformly randomized Markov,1.3913983097746678,0.008639063432353692,200
"Uniform(0,1)",0.5,0.08333332812500001,400,0.1,Bardenet--Maillard EBS,As published,3.6169501573751894,0.0022101615689201454,200
"Uniform(0,1)",0.5,0.08333332812500001,1200,0.3,Bardenet--Maillard EBS,As published,2.8704718901784156,0.0011464203011749415,200
"Uniform(0,1)",0.5,0.08333332812500001,2000,0.5,Bardenet--Maillard EBS,As published,2.7514692999603,0.0007628039955874514,200
"Uniform(0,1)",0.5,0.08333332812500001,2800,0.7,Bardenet--Maillard EBS,As published,2.8702944025832506,0.0005037009608786634,200
"Uniform(0,1)",0.5,0.08333332812500001,3200,0.8,Bardenet--Maillard EBS,As published,3.0784365594580625,0.00039103980076673274,200
"Uniform(0,1)",0.5,0.08333332812500001,3600,0.9,Bardenet--Maillard EBS,As published,3.623880424597652,0.00025582878297050114,200
"Uniform(0,1)",0.5,0.08333332812500001,400,0.1,Shekhar--Ramdas AS-CI,As published,4.161666181793844,0.0038831141348961047,200
"Uniform(0,1)",0.5,0.08333332812500001,1200,0.3,Shekhar--Ramdas AS-CI,As published,4.1478523928227515,0.0018256853248845052,200
"Uniform(0,1)",0.5,0.08333332812500001,2000,0.5,Shekhar--Ramdas AS-CI,As published,4.108957730942068,0.0013846816325671204,200
"Uniform(0,1)",0.5,0.08333332812500001,2800,0.7,Shekhar--Ramdas AS-CI,As published,4.0313785649713,0.0009324468539992661,200
"Uniform(0,1)",0.5,0.08333332812500001,3200,0.8,Shekhar--Ramdas AS-CI,As published,3.9604318912056042,0.0006834479629719051,200
"Uniform(0,1)",0.5,0.08333332812500001,3600,0.9,Shekhar--Ramdas AS-CI,As published,3.824005566244101,0.00044368756036025815,200
"Beta(0.5,0.5)",0.5,0.125,400,0.1,Bridge-efficient betting,Deterministic Markov,1.040161916856493,0.0018219194176928941,200
"Beta(0.5,0.5)",0.5,0.125,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.0241498930684063,0.0008808808834948114,200
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.021342468147232,0.0007547662588034067,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.0233345223143622,0.000797450752618717,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,Bridge-efficient betting,Deterministic Markov,1.02841828703136,0.0008375822751977686,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,Bridge-efficient betting,Deterministic Markov,1.034413495497883,0.0010172657750864094,200
