distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,normalized_width
Bernoulli(0.5),0.5,0.25,0,400,0.1,Bridge-efficient betting,0.12607251489534976,1.0317103420203853
Bernoulli(0.5),0.5,0.25,0,400,0.1,WSR running intersection,0.1411197518929838,1.1548489185941715
Bernoulli(0.5),0.5,0.25,0,400,0.1,Exact hypergeometric,0.12375,1.012704116603071
Bernoulli(0.5),0.5,0.25,0,400,0.1,Bardenet--Maillard EBS,0.32981897398217797,2.6990628903883054
Bernoulli(0.5),0.5,0.25,0,400,0.1,Shekhar--Ramdas AS-CI,0.2841390155494412,2.3252424301774797
Bernoulli(0.5),0.5,0.25,0,400,0.1,Shekhar--Ramdas rate CI,0.4643482910364612,3.799979198951314
Bernoulli(0.5),0.5,0.25,0,1200,0.3,Bridge-efficient betting,0.06351832784712308,1.0208672846873112
Bernoulli(0.5),0.5,0.25,0,1200,0.3,WSR running intersection,0.07311374209821214,1.1750848912265692
Bernoulli(0.5),0.5,0.25,0,1200,0.3,Exact hypergeometric,0.06275,1.0085187108248193
Bernoulli(0.5),0.5,0.25,0,1200,0.3,Bardenet--Maillard EBS,0.14105636525610699,2.2670595002665155
Bernoulli(0.5),0.5,0.25,0,1200,0.3,Shekhar--Ramdas AS-CI,0.1475005724575691,2.370630871407656
Bernoulli(0.5),0.5,0.25,0,1200,0.3,Shekhar--Ramdas rate CI,0.24744940753552508,3.977009680989531
Bernoulli(0.5),0.5,0.25,0,2000,0.5,Bridge-efficient betting,0.041511131916195154,1.0191150103365805
Bernoulli(0.5),0.5,0.25,0,2000,0.5,WSR running intersection,0.051363857463002205,1.2610033914520167
Bernoulli(0.5),0.5,0.25,0,2000,0.5,Exact hypergeometric,0.041,1.0065665158963855
Bernoulli(0.5),0.5,0.25,0,2000,0.5,Bardenet--Maillard EBS,0.08955366723739167,2.198578605289893
Bernoulli(0.5),0.5,0.25,0,2000,0.5,Shekhar--Ramdas AS-CI,0.0962041577232754,2.3618508257137476
Bernoulli(0.5),0.5,0.25,0,2000,0.5,Shekhar--Ramdas rate CI,0.16327586581265346,4.0084882775855695
Bernoulli(0.5),0.5,0.25,0,2800,0.7,Bridge-efficient betting,0.02719401977956304,1.019812719211723
Bernoulli(0.5),0.5,0.25,0,2800,0.7,WSR running intersection,0.03520224401727318,1.3201320174294149
Bernoulli(0.5),0.5,0.25,0,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,0,2800,0.7,Bardenet--Maillard EBS,0.060460336522002334,2.2673448314285882
Bernoulli(0.5),0.5,0.25,0,2800,0.7,Shekhar--Ramdas AS-CI,0.06201379927721368,2.3256017970934
Bernoulli(0.5),0.5,0.25,0,2800,0.7,Shekhar--Ramdas rate CI,0.10697399664294782,4.011670333614183
Bernoulli(0.5),0.5,0.25,0,3200,0.8,Bridge-efficient betting,0.020862786844372816,1.024379642235575
Bernoulli(0.5),0.5,0.25,0,3200,0.8,WSR running intersection,0.027032113075256547,1.3272985305111271
Bernoulli(0.5),0.5,0.25,0,3200,0.8,Exact hypergeometric,0.02025,0.9942913144830149
Bernoulli(0.5),0.5,0.25,0,3200,0.8,Bardenet--Maillard EBS,0.04861986707858512,2.387274644323746
Bernoulli(0.5),0.5,0.25,0,3200,0.8,Shekhar--Ramdas AS-CI,0.046853049836292404,2.30052249428471
Bernoulli(0.5),0.5,0.25,0,3200,0.8,Shekhar--Ramdas rate CI,0.08147223553844107,4.000352403327722
Bernoulli(0.5),0.5,0.25,0,3600,0.9,Bridge-efficient betting,0.014064669795334384,1.0358799273016726
Bernoulli(0.5),0.5,0.25,0,3600,0.9,WSR running intersection,0.02080544177442789,1.532345929651536
Bernoulli(0.5),0.5,0.25,0,3600,0.9,Exact hypergeometric,0.01375,1.0127041166030706
Bernoulli(0.5),0.5,0.25,0,3600,0.9,Bardenet--Maillard EBS,0.03668787703774545,2.7021064804037884
Bernoulli(0.5),0.5,0.25,0,3600,0.9,Shekhar--Ramdas AS-CI,0.030034445126635168,2.212073179609634
Bernoulli(0.5),0.5,0.25,0,3600,0.9,Shekhar--Ramdas rate CI,0.053703530866180016,3.9553299479491324
Bernoulli(0.5),0.5,0.25,1,400,0.1,Bridge-efficient betting,0.1261404485441744,1.032266274835097
Bernoulli(0.5),0.5,0.25,1,400,0.1,WSR running intersection,0.14167076647281618,1.1593581285602688
Bernoulli(0.5),0.5,0.25,1,400,0.1,Exact hypergeometric,0.124,1.0147499835052993
Bernoulli(0.5),0.5,0.25,1,400,0.1,Bardenet--Maillard EBS,0.33018966878986455,2.702096459339801
Bernoulli(0.5),0.5,0.25,1,400,0.1,Shekhar--Ramdas AS-CI,0.29276850968647683,2.3958616159292214
