distribution,population_mean,population_variance,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
Bernoulli(0.5),0.5,0.25,400,0.1,Bridge-efficient betting,1.0303923382414129,0.00023956394220085391,200
Bernoulli(0.5),0.5,0.25,1200,0.3,Bridge-efficient betting,1.0203361444054186,9.08219102996874e-05,200
Bernoulli(0.5),0.5,0.25,2000,0.5,Bridge-efficient betting,1.0190007434891648,8.270176428805122e-05,200
Bernoulli(0.5),0.5,0.25,2800,0.7,Bridge-efficient betting,1.0207784275816456,7.613629339315662e-05,200
Bernoulli(0.5),0.5,0.25,3200,0.8,Bridge-efficient betting,1.0239302923395213,8.915527406399625e-05,200
Bernoulli(0.5),0.5,0.25,3600,0.9,Bridge-efficient betting,1.0322453766299977,0.00012260346357012022,200
Bernoulli(0.5),0.5,0.25,400,0.1,WSR running intersection,1.1537040202405338,0.004332602450308108,200
Bernoulli(0.5),0.5,0.25,1200,0.3,WSR running intersection,1.1813604371430355,0.003935576522245058,200
Bernoulli(0.5),0.5,0.25,2000,0.5,WSR running intersection,1.2084292761753104,0.00348386463409016,200
Bernoulli(0.5),0.5,0.25,2800,0.7,WSR running intersection,1.2853052500888906,0.0024882531962705933,200
Bernoulli(0.5),0.5,0.25,3200,0.8,WSR running intersection,1.3608930788127516,0.002242215359961389,200
Bernoulli(0.5),0.5,0.25,3600,0.9,WSR running intersection,1.5352132031134387,0.0017142966049621161,200
Bernoulli(0.5),0.5,0.25,400,0.1,Exact hypergeometric,1.0124381539057814,0.00012668977504966334,200
Bernoulli(0.5),0.5,0.25,1200,0.3,Exact hypergeometric,1.0077352002725852,0.0001128493199204409,200
Bernoulli(0.5),0.5,0.25,2000,0.5,Exact hypergeometric,1.0065665158963852,1.5740324710485608e-17,200
Bernoulli(0.5),0.5,0.25,2800,0.7,Exact hypergeometric,1.002973866916699,9.304403184898992e-05,200
Bernoulli(0.5),0.5,0.25,3200,0.8,Exact hypergeometric,1.0038659715854437,0.00036046303114189564,200
Bernoulli(0.5),0.5,0.25,3600,0.9,Exact hypergeometric,1.000643731214434,0.0006204739391760777,200
Bernoulli(0.5),0.5,0.25,400,0.1,Bardenet--Maillard EBS,2.7005423244036093,0.00017166288789303278,200
Bernoulli(0.5),0.5,0.25,1200,0.3,Bardenet--Maillard EBS,2.2669856029906925,3.677497138992829e-05,200
Bernoulli(0.5),0.5,0.25,2000,0.5,Bardenet--Maillard EBS,2.1984564067875914,1.6837088566000255e-05,200
Bernoulli(0.5),0.5,0.25,2800,0.7,Bardenet--Maillard EBS,2.2672696013044074,7.518918566459539e-06,200
Bernoulli(0.5),0.5,0.25,3200,0.8,Bardenet--Maillard EBS,2.3873217121501553,3.906557135759794e-06,200
Bernoulli(0.5),0.5,0.25,3600,0.9,Bardenet--Maillard EBS,2.702095019421913,1.783407457890129e-06,200
Bernoulli(0.5),0.5,0.25,400,0.1,Shekhar--Ramdas AS-CI,2.3978374709696713,0.003818639364368562,200
Bernoulli(0.5),0.5,0.25,1200,0.3,Shekhar--Ramdas AS-CI,2.3940678380386364,0.001878357964432913,200
Bernoulli(0.5),0.5,0.25,2000,0.5,Shekhar--Ramdas AS-CI,2.373783140491205,0.001327995826632803,200
Bernoulli(0.5),0.5,0.25,2800,0.7,Shekhar--Ramdas AS-CI,2.3293557217419703,0.0008696898584579573,200
Bernoulli(0.5),0.5,0.25,3200,0.8,Shekhar--Ramdas AS-CI,2.2885895499473476,0.0006454042338970885,200
Bernoulli(0.5),0.5,0.25,3600,0.9,Shekhar--Ramdas AS-CI,2.2087951485825954,0.0004237701594311182,200
